mjd,night,band,n,flux,err,snr
59024.377777799964,59024,ZTF_g,1,-12.750383144731506,13.572822189209443,-0.9394054506120484
59027.37393519981,59027,ZTF_g,1,2.2095272501617416,6.28864739971433,0.3513517470008117
59035.35482640006,59035,ZTF_r,1,7.226297941096269,16.162783665106105,0.4470948872932793
59035.44003470009,59035,ZTF_g,1,-8.962762368864496,11.902516995571965,-0.7530140366276199
59040.377453700174,59040,ZTF_r,1,-4.31789410705705,5.075720583134028,-0.8506957852260153
59043.35611109994,59043,ZTF_g,1,5.244898129162379,4.123123091796328,1.2720692573059527
59043.39613430015,59043,ZTF_r,1,0.5468384005299063,3.254851549612314,0.1680071708938739
59046.397060200106,59046,ZTF_r,1,-2.9006345006376124,2.5982816728343074,-1.1163664551709234
59046.46032410022,59046,ZTF_g,1,-2.761088818170988,2.900558388834556,-0.9519163030123979
59049.39454266433,59049,ZTF_r,2,2.258521983766796,2.03007201465427,1.1125329384689007
59049.439722199924,59049,ZTF_g,1,3.926164068477296,2.8504563905498936,1.3773808578491822
59052.397002299775,59052,ZTF_r,1,-0.8460738058569344,2.555851768503234,-0.33103398885781815
59052.456435199834,59052,ZTF_g,1,-0.3063840664483342,2.483476901310647,-0.12336900185648636
59055.37084490014,59055,ZTF_r,1,6.68964953576701,2.8941251719877106,2.3114582605190153
59055.37733800011,59055,ZTF_g,1,3.372017739735326,2.7924818365207513,1.2075343501380258
59061.40127152415,59061,ZTF_r,2,-5.43987204914802,2.8289724299513996,-1.9229144800260476
59069.33453699993,59069,ZTF_g,1,9.29681323438773,5.393420151322027,1.7237324320281093
59069.401157400105,59069,ZTF_r,1,-4.322190328615394,4.828075024607501,-0.8952202081753623
59076.355532399844,59076,ZTF_r,1,-0.4224489033792566,4.323586499762572,-0.09770798003057304
59099.31275459984,59099,ZTF_r,1,-1.5827152087096235,6.613392582410177,-0.2393197120823002
59099.35702549992,59099,ZTF_g,1,0.3787828319219203,7.939539565986499,0.047708412909062185
59111.2531134002,59111,ZTF_r,1,4.476561079302904,3.4332894780028047,1.303869396386286
59111.31660880009,59111,ZTF_g,1,5.152900839333854,4.298150228496948,1.1988647593492352
59114.23006939982,59114,ZTF_g,1,-2.4353371231119896,3.161257989393549,-0.7703696222462315
59114.292673599906,59114,ZTF_r,1,5.746805872007534,3.68643098356025,1.5589077613647422
59124.16556710005,59124,ZTF_g,1,4.120494500701614,12.306071930605944,0.33483426100035185
59128.26351850014,59128,ZTF_r,1,2.98796428597064,7.044440330836492,0.4241592157280483
59130.23218750022,59130,ZTF_g,1,-2.793161342337568,3.905731622368122,-0.7151442066170484
59130.26965280016,59130,ZTF_r,1,-2.949921539754248,4.965226703681296,-0.5941161835706577
59134.192835600115,59134,ZTF_r,1,5.810916486473759,4.2218514665359175,1.3763905557865799
59134.21130790003,59134,ZTF_g,1,1.4217223232464464,4.137095335287182,0.34365229902243855
59136.189942100085,59136,ZTF_r,1,1.2652432154036828,3.5270204647350747,0.3587286288963223
59136.2118286998,59136,ZTF_g,1,0.08068683694237902,3.1155902654061327,0.02589776898402945
59138.210486100055,59138,ZTF_g,1,-0.887202567878012,4.909891662855863,-0.18069697435278365
59140.15119209978,59140,ZTF_g,1,-0.7750415901412541,3.2128858436523973,-0.24122910923600993
59143.19133100007,59143,ZTF_g,1,1.8308176181395397,2.9784516121649665,0.6146877158124323
59143.228043999996,59143,ZTF_r,1,1.8776448779146246,3.4208317399839805,0.5488854818458325
59145.148958299775,59145,ZTF_r,1,6.1592770445953455,3.9033705200584903,1.5779380955367392
59145.18952549994,59145,ZTF_g,1,1.4399273068577656,4.392413255050156,0.3278214555978348
59150.16997689986,59150,ZTF_g,1,-15.504160268873195,9.700892908321784,-1.5982199180420964
59150.18988429988,59150,ZTF_r,1,10.486453880286494,11.908098269100227,0.8806153294432669
59151.1651504999,59151,ZTF_g,1,-3.429278740383789,9.134048193892934,-0.37543908983057706
59151.21128469985,59151,ZTF_r,1,4.928411571355095,9.309005812973256,0.5294240513295997
59152.2047917,59152,ZTF_r,1,-6.972561794162998,8.286972292299168,-0.841388331977698
59152.23553240019,59152,ZTF_g,1,-2.5351837350686304,11.63695986524958,-0.21785618962554168
59153.14749999996,59153,ZTF_g,1,-7.849946223178167,10.852463377436743,-0.7233331226437416
59153.164343684766,59153,ZTF_r,2,2.2240463267369233,3.8822870065000723,0.5728701466463519
