###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57548.536824 -20.805  0.913   -17   16 c  0   0.94 306.74802 -11.81856  7605.91  4557.50 4.00 3.70  70.2 -0.412 19.50 21.48 02a57548o0598c
57548.550735  21.604  2.043     8   17 c  0   0.77 306.74802 -11.81856  7547.34  4478.17 3.90 3.62  71.5 -0.426 19.55 21.51 02a57548o0624c
57548.564653  20.447  0.662    24   16 c  0   1.01 306.74802 -11.81856  7528.98  4593.05 3.98 3.65  73.1 -0.422 19.54 21.52 02a57548o0650c
57548.578739  20.406  0.739    25   18 c  0   0.67 306.74802 -11.81856  2994.18  6010.24 3.86 3.64 -54.4 -0.412 19.55 21.53 02a57548o0676c
57552.511144  20.735  1.333    18   25 o  0   0.89 306.74802 -11.81856  4858.46  3782.58 3.77 3.49 -16.0 -0.488 19.08 20.72 02a57552o0487o
57552.525083  20.602  1.255    21   26 o  0   0.89 306.74802 -11.81856  4877.87  3822.44 3.73 3.60 -29.8 -0.471 19.07 20.72 02a57552o0513o
57552.539012 -20.959  1.564   -15   24 o  0   0.80 306.74802 -11.81856  4819.80  3745.02 3.66 3.50 -14.6 -0.467 19.11 20.73 02a57552o0539o
57552.552965  21.310  2.241    11   24 o  0   0.88 306.74802 -11.81856  4799.95  3863.42 3.58 3.46 -19.9 -0.469 19.18 20.92 02a57552o0565o
57552.566721  22.465  6.400     4   24 o  0   0.68 306.74802 -11.81856  4837.35  3805.54 3.58 3.47 -10.6 -0.466 19.15 20.77 02a57552o0591o
57555.507034  21.255 19.500    11  223 o  0   1.14 306.74802 -11.81856  5974.33  4130.67 3.64 3.62   6.5 -0.482 16.45 17.10 02a57555o0509o
57555.519498  21.213 14.000    12  166 o  0   0.91 306.74802 -11.81856  5997.00  4169.76 3.47 3.36  72.2 -0.498 16.85 17.57 02a57555o0532o
57555.531990  20.397  2.939    25   74 o  0   0.89 306.74802 -11.81856  5938.76  4093.76 3.64 3.56  76.6 -0.467 17.87 19.00 02a57555o0556o
57555.544056 -19.803  1.905   -44   83 o  0   0.72 306.74802 -11.81856  5917.82  4211.77 3.64 3.56  83.9 -0.463 17.78 19.12 02a57555o0580o
57555.555541  21.486  6.455     9   60 o  0   0.81 306.74802 -11.81856  5953.96  4155.01 3.58 3.49  84.5 -0.466 18.21 19.75 02a57555o0603o
57567.481315 -20.893  2.467   -16   39 o  0   0.71 306.74802 -11.81856  7327.86  3276.03 3.64 3.50  30.7 -0.476 18.68 20.22 02a57567o0464o
57567.494240 -21.739  8.700    -7   64 o  0   0.88 306.74802 -11.81856  7347.78  3315.26 3.63 3.42  38.4 -0.493 18.09 19.39 02a57567o0486o
57567.506981 -20.680  1.714   -19   33 o  0   0.82 306.74802 -11.81856  3281.33  7290.39 3.69 3.52 -41.2 -0.457 18.78 20.24 02a57567o0508o
57567.519108 -20.335  2.705   -27   72 o  0   0.49 306.74802 -11.81856  7265.19  3352.30 3.53 3.34  49.6 -0.508 18.24 19.46 02a57567o0530o
57567.531596 -18.710  0.410  -119   49 o  0   0.88 306.74802 -11.81856  3262.25  7236.05 3.61 3.27 -73.2 -0.475 18.22 19.38 02a57567o0552o
57575.463085  21.092  1.158    13   15 c  0   0.96 306.74802 -11.81856  5901.13  4735.72 3.79 3.62 -89.5 -0.426 19.63 21.69 02a57575o0448c
57575.476295 -22.091  2.786    -5   15 c  0   0.91 306.74802 -11.81856  5917.13  4774.30 3.86 3.76  89.4 -0.438 19.59 21.66 02a57575o0472c
57575.489354 -21.198  1.212   -12   15 c  0   1.08 306.74802 -11.81856  4700.71  5814.66 3.85 3.72 -58.9 -0.406 19.57 21.62 02a57575o0496c
57575.502586 -20.735  0.843   -18   16 c  0   0.80 306.74802 -11.81856  4720.41  5701.60 3.86 3.70 -64.6 -0.405 19.56 21.60 02a57575o0520c
57575.515799  21.613  2.042     8   17 c  0   0.72 306.74802 -11.81856  4682.50  5762.67 3.76 3.54 -70.0 -0.417 19.61 21.62 02a57575o0544c
57576.463863  21.360  1.630    10   17 c  0   0.90 306.74802 -11.81856  6429.41  4560.13 3.89 3.81  82.5 -0.444 19.49 21.46 02a57576o0310c
57576.476602  20.447  0.667    24   16 c  0   0.81 306.74802 -11.81856  6445.38  4598.11 3.84 3.64  82.8 -0.451 19.54 21.50 02a57576o0333c
57576.489919  22.820  5.250     3   14 c  0   1.00 306.74802 -11.81856  4170.08  5986.21 3.71 3.54 -53.0 -0.419 19.58 21.54 02a57576o0357c
57576.503166 -21.022  1.098   -14   16 c  0   0.91 306.74802 -11.81856  4189.33  5873.71 3.78 3.56 -50.6 -0.416 19.57 21.54 02a57576o0381c
57576.515747 -21.325  1.452   -11   16 c  0   0.89 306.74802 -11.81856  4151.44  5934.84 3.78 3.57 -61.2 -0.414 19.56 21.53 02a57576o0404c
57577.456809  20.404  0.595    25   15 c  0   0.98 306.74802 -11.81856  6261.07  4712.71 3.69 3.53  82.2 -0.426 19.64 21.67 02a57577o0423c
57577.470046 -22.355  3.417    -4   14 c  0   1.05 306.74802 -11.81856  6279.60  4752.61 3.75 3.59  82.4 -0.417 19.61 21.64 02a57577o0447c
57577.483102 -22.008  2.750    -6   16 c  0   0.83 306.74802 -11.81856  4341.83  5831.45 3.84 3.69 -26.8 -0.395 19.59 21.65 02a57577o0471c
57577.496288 -20.980  1.047   -15   15 c  0   0.77 306.74802 -11.81856  4361.09  5718.51 3.73 3.61 -53.2 -0.407 19.60 21.60 02a57577o0495c
57577.509498 -20.836  0.894   -17   15 c  0   1.10 306.74802 -11.81856  4321.64  5780.77 3.65 3.47 -66.3 -0.420 19.50 21.46 02a57577o0519c
57601.407208  19.719  0.387    47   18 c  0   0.82 306.74802 -11.81856  5494.59  2661.52 4.07 3.64  -4.3 -0.468 19.55 21.55 02a57601o0333c
57601.420243 -23.497 10.250    -1   15 c  0   0.93 306.74802 -11.81856  5036.76  7816.20 3.85 3.60 -75.1 -0.441 19.56 21.55 02a57601o0357c
57601.433426 -21.398  1.714   -10   17 c  0   0.77 306.74802 -11.81856  5091.57  7893.48 3.84 3.56 -73.6 -0.438 19.57 21.56 02a57601o0381c
57601.446615  22.761  5.625     3   16 c  0   0.90 306.74802 -11.81856  5106.45  7779.06 3.84 3.55 -75.4 -0.444 19.55 21.53 02a57601o0405c
57601.459801 -21.193  1.344   -12   16 c  0   0.93 306.74802 -11.81856  5068.97  7837.11 3.95 3.66 -73.9 -0.435 19.52 21.52 02a57601o0429c
57602.405831  22.301  4.300     4   19 c  0   0.95 306.74802 -11.81856  6857.64  2983.24 4.24 3.92  17.8 -0.460 19.52 21.57 02a57602o0311c
57602.418959 -20.328  0.671   -27   18 c  0   0.94 306.74802 -11.81856  3668.69  7475.05 3.97 3.60 -59.0 -0.460 19.54 21.56 02a57602o0335c
57602.432424 -20.817  0.978   -17   17 c  0   0.84 306.74802 -11.81856  3723.43  7553.37 3.98 3.58 -60.1 -0.459 19.54 21.56 02a57602o0359c
57602.445931 -23.762 15.333    -1   17 c  0   0.78 306.74802 -11.81856  3740.91  7438.90 3.96 3.59 -57.8 -0.453 19.54 21.55 02a57602o0383c
57602.459611  20.859  1.023    16   17 c  0   1.00 306.74802 -11.81856  3701.93  7497.87 3.92 3.53 -59.8 -0.465 19.54 21.53 02a57602o0407c
57603.403899 -24.968 47.000    -0   18 c  0   0.92 306.74802 -11.81856  4064.06  8114.28 3.94 3.63 -54.1 -0.447 19.54 21.53 02a57603o0325c
57603.416954 -20.645  0.852   -20   17 c  0   0.79 306.74802 -11.81856  4045.10  8076.18 3.92 3.60 -58.2 -0.447 19.55 21.53 02a57603o0349c
57603.430380 -23.464 12.750    -2   19 c  0   0.90 306.74802 -11.81856  4100.41  8155.29 3.95 3.61 -62.4 -0.444 19.53 21.49 02a57603o0373c
57603.443814  19.848  0.389    42   16 c  0   1.04 306.74802 -11.81856  4117.54  8040.84 3.91 3.58 -61.9 -0.451 19.51 21.46 02a57603o0397c
57603.457409 -20.466  0.797   -24   19 c  0   0.83 306.74802 -11.81856  4079.05  8099.83 3.91 3.56 -60.9 -0.452 19.49 21.42 02a57603o0421c
57608.392643  20.202  0.579    30   17 c  0   0.90 306.74802 -11.81856  4259.36  4785.56 4.41 3.67  -5.5 -0.418 19.50 21.54 02a57608o0222c
57608.418765 -20.722  0.774   -19   14 c  0   1.01 306.74802 -11.81856  4293.34  4823.38 3.78 3.56 -37.4 -0.446 19.58 21.51 02a57608o0257c
57608.432199 -23.073  7.462    -2   16 c  0   0.79 306.74802 -11.81856  4310.85  4709.80 3.82 3.57 -37.0 -0.441 19.57 21.50 02a57608o0275c
57608.444872  22.378  3.280     4   13 c  0   1.15 306.74802 -11.81856  4277.50  4769.98 3.81 3.54 -34.9 -0.440 19.58 21.49 02a57608o0292c
57612.381931  22.324  6.667     4   28 o  0   0.76 306.74802 -11.81856  2576.08  6525.58 4.21 3.91 -25.2 -0.410 18.77 20.68 02a57612o0282o
57612.394007  21.657  3.333     8   26 o  0   1.04 306.74802 -11.81856  2557.48  6489.21 4.00 3.75 -56.0 -0.426 18.82 20.67 02a57612o0305o
57612.407073 -19.501  0.474   -58   27 o  0   0.89 306.74802 -11.81856  2614.62  6569.01 3.90 3.65 -41.0 -0.432 18.83 20.65 02a57612o0328o
57612.419929 -22.715  9.250    -3   28 o  0   0.83 306.74802 -11.81856  2635.55  6453.90 3.64 3.36 -65.6 -0.462 18.94 20.70 02a57612o0351o
57612.433449 -21.420  2.750   -10   27 o  0   0.95 306.74802 -11.81856  2595.91  6514.00 3.87 3.57 -62.5 -0.439 18.89 20.72 02a57612o0374o
57627.357899  20.287  0.573    28   16 c  0   0.87 306.74802 -11.81856  2701.19  5221.09 3.98 3.72  55.7 -0.408 19.55 21.52 02a57627o0228c
57627.369566  20.299  0.627    28   17 c  0   0.79 306.74802 -11.81856  2683.94  5183.19 3.96 3.69  59.4 -0.405 19.54 21.49 02a57627o0250c
57627.381732  20.528  0.717    22   16 c  0   0.94 306.74802 -11.81856  2742.44  5262.55 3.96 3.70  58.7 -0.413 19.53 21.46 02a57627o0273c
57627.394351 -20.054  0.536   -34   18 c  0   0.64 306.74802 -11.81856  2762.38  5149.04 3.89 3.70  69.9 -0.383 19.52 21.44 02a57627o0297c
57627.406942 -19.744  0.367   -46   17 c  0   0.78 306.74802 -11.81856  2725.14  5208.44 3.88 3.70  74.2 -0.389 19.51 21.42 02a57627o0321c
57631.351587  20.763  1.222    18   22 c  0   0.88 306.74802 -11.81856  5694.16  8407.51 4.39 3.81   5.3 -0.426 19.26 21.25 02a57631o0062c
57631.363259  18.802  0.694   109   76 c  0   0.95 306.74802 -11.81856  5677.14  8368.82 3.79 3.67  20.0 -0.432 17.89 19.70 02a57631o0084c
57639.319687  22.291  4.308     4   19 c  0   0.74 306.74802 -11.81856  4280.96  4787.52 3.71 3.69  24.4 -0.382 19.30 20.97 02a57639o0160c
57639.362959 -23.905 17.667    -1   18 c  0   0.81 306.74802 -11.81856  4340.83  4711.54 3.70 3.58 -87.7 -0.387 19.42 21.18 02a57639o0213c
57639.377589 -22.842  6.000    -3   16 c  0   0.87 306.74802 -11.81856  4304.54  4769.67 3.68 3.56 -87.1 -0.393 19.51 21.35 02a57639o0242c
57643.337279  19.762  0.985    45   44 o  0   0.97 306.74802 -11.81856  5470.84  5656.01 3.51 3.35  89.4 -0.444 18.36 19.14 02a57643o0224o
57643.352819  19.016  0.794    90   71 o  0   0.99 306.74802 -11.81856  5453.49  5616.56 3.45 3.28 -85.9 -0.455 17.86 18.19 02a57643o0253o
57643.367669  19.005  0.819    91   74 o  0   0.99 306.74802 -11.81856  5512.81  5694.42 3.38 3.21 -80.6 -0.474 17.78 17.96 02a57643o0281o
57643.382720 -20.987  3.222   -15   47 o  0   0.85 306.74802 -11.81856  5533.09  5578.50 3.38 3.24 -79.6 -0.463 18.29 18.97 02a57643o0310o
57643.398856 -22.341 12.385    -4   52 o  0   0.79 306.74802 -11.81856  5495.37  5637.19 3.36 3.21 -78.1 -0.470 18.29 18.95 02a57643o0341o
57651.329557  19.654  0.747    50   37 o  0   1.02 306.74802 -11.81856  2208.05  7058.90 3.46 3.35  47.6 -0.478 18.49 19.56 02a57651o0213o
57651.344922 -18.850  0.457  -105   48 o  0   1.39 306.74802 -11.81856  2189.75  7019.54 3.50 3.39  58.7 -0.479 18.20 19.06 02a57651o0243o
