mjd,source,band,mag_AB,mag_err,flux,flux_err,flux_unit,meta,note
58362.43447,ATLAS,o,,,-3.2,7.5,uJy,nightly_stack_n4,nondet_3sig_limit_20.52
58364.42785,ATLAS,o,,,16.5,8.6,uJy,nightly_stack_n4,nondet_3sig_limit_19.84
58370.41639,ATLAS,o,,,1.8,6.6,uJy,nightly_stack_n4,nondet_3sig_limit_20.57
58372.40791,ATLAS,o,,,9.8,8.0,uJy,nightly_stack_n4,nondet_3sig_limit_20.08
58376.38137,ATLAS,o,,,-1.3,6.7,uJy,nightly_stack_n4,nondet_3sig_limit_20.64
58377.36624,ATLAS,o,,,-0.3,6.5,uJy,nightly_stack_n4,nondet_3sig_limit_20.68
58378.38523,ATLAS,o,,,11.6,7.5,uJy,nightly_stack_n4,nondet_3sig_limit_20.07
58379.35598,ATLAS,o,,,-6.8,13.6,uJy,nightly_stack_n4,nondet_3sig_limit_19.87
58380.37944,ATLAS,o,,,3.3,18.9,uJy,nightly_stack_n4,nondet_3sig_limit_19.46
58383.36657,ATLAS,o,,,3.9,21.2,uJy,nightly_stack_n8,nondet_3sig_limit_19.33
58384.38052,ATLAS,o,,,-92.8,30.4,uJy,nightly_stack_n4,nondet_3sig_limit_19.00
58385.41901,ATLAS,o,,,19.0,15.6,uJy,nightly_stack_n4,nondet_3sig_limit_19.35
58386.39228,ATLAS,o,,,-34.0,36.0,uJy,nightly_stack_n1,nondet_3sig_limit_18.82
58387.37655,ATLAS,o,,,19.5,15.2,uJy,nightly_stack_n4,nondet_3sig_limit_19.37
58390.36229,ATLAS,o,,,10.1,7.7,uJy,nightly_stack_n4,nondet_3sig_limit_20.09
58392.36626,ATLAS,o,,,-0.8,9.4,uJy,nightly_stack_n4,nondet_3sig_limit_20.27
58394.35294,ATLAS,o,,,0.6,6.3,uJy,nightly_stack_n4,nondet_3sig_limit_20.67
58396.34348,ATLAS,o,,,-28.5,44.1,uJy,nightly_stack_n5,nondet_3sig_limit_18.60
58398.36042,ATLAS,c,,,0.3,6.9,uJy,nightly_stack_n3,nondet_3sig_limit_20.60
58402.34902,ATLAS,c,,,-7.0,6.2,uJy,nightly_stack_n3,nondet_3sig_limit_20.72
58403.31933,ATLAS,o,,,-9.9,9.2,uJy,nightly_stack_n4,nondet_3sig_limit_20.30
58405.30628,ATLAS,c,,,-11.8,6.4,uJy,nightly_stack_n4,nondet_3sig_limit_20.70
58406.31378,ATLAS,o,20.488,0.31,23.2,6.6,uJy,nightly_stack_n4,marginal_3-5sigma
58413.29867,ATLAS,o,,,7.9,11.4,uJy,nightly_stack_n4,nondet_3sig_limit_19.84
58415.31489,ATLAS,o,,,118.0,151.0,uJy,nightly_stack_n1,nondet_3sig_limit_17.01
58416.32122,ATLAS,o,,,-8.9,19.7,uJy,nightly_stack_n4,nondet_3sig_limit_19.47
58417.31803,ATLAS,o,,,9.3,9.8,uJy,nightly_stack_n8,nondet_3sig_limit_19.93
58424.28639,ATLAS,o,,,5.2,10.2,uJy,nightly_stack_n4,nondet_3sig_limit_20.02
58425.28265,ATLAS,c,,,-2.1,4.5,uJy,nightly_stack_n8,nondet_3sig_limit_21.07
58427.25134,ATLAS,o,,,-0.5,7.3,uJy,nightly_stack_n7,nondet_3sig_limit_20.55
58428.28492,ATLAS,o,,,8.5,9.1,uJy,nightly_stack_n4,nondet_3sig_limit_20.02
58429.2729,ATLAS,c,,,-1.5,6.0,uJy,nightly_stack_n4,nondet_3sig_limit_20.77
58430.29517,ATLAS,c,,,-2.7,5.3,uJy,nightly_stack_n4,nondet_3sig_limit_20.89
58431.24144,ATLAS,o,,,3.8,7.8,uJy,nightly_stack_n4,nondet_3sig_limit_20.31
58432.26937,ATLAS,o,,,9.2,11.6,uJy,nightly_stack_n3,nondet_3sig_limit_19.79
58433.25687,ATLAS,c,,,47.1,70.0,uJy,nightly_stack_n4,nondet_3sig_limit_17.88
58434.27779,ATLAS,c,,,-5.8,6.4,uJy,nightly_stack_n4,nondet_3sig_limit_20.69
58435.21524,ATLAS,o,,,-6.4,11.6,uJy,nightly_stack_n4,nondet_3sig_limit_20.05
58437.22258,ATLAS,o,,,-256.2,153.8,uJy,nightly_stack_n4,nondet_3sig_limit_17.24
58438.2644,ATLAS,o,,,-809.0,1822.0,uJy,nightly_stack_n1,nondet_3sig_limit_14.56
58441.21321,ATLAS,o,,,9.6,11.2,uJy,nightly_stack_n4,nondet_3sig_limit_19.81
58442.26644,ATLAS,o,,,-12.2,12.8,uJy,nightly_stack_n4,nondet_3sig_limit_19.94
58443.20204,ATLAS,o,,,-11.7,17.5,uJy,nightly_stack_n4,nondet_3sig_limit_19.60
58444.27295,ATLAS,o,,,0.4,25.7,uJy,nightly_stack_n7,nondet_3sig_limit_19.18
58447.21171,ATLAS,o,,,11.1,8.9,uJy,nightly_stack_n4,nondet_3sig_limit_19.96
58448.25967,ATLAS,o,,,3.7,10.3,uJy,nightly_stack_n4,nondet_3sig_limit_20.05
58449.20063,ATLAS,o,,,1.0,10.6,uJy,nightly_stack_n4,nondet_3sig_limit_20.11
58450.25892,ATLAS,o,,,-3.2,7.9,uJy,nightly_stack_n4,nondet_3sig_limit_20.47
58451.20948,ATLAS,o,,,0.5,8.5,uJy,nightly_stack_n8,nondet_3sig_limit_20.36
58452.25791,ATLAS,o,,,12.4,10.5,uJy,nightly_stack_n4,nondet_3sig_limit_19.79
58453.21737,ATLAS,o,,,8.1,7.3,uJy,nightly_stack_n4,nondet_3sig_limit_20.21
58454.25865,ATLAS,c,,,6.5,8.3,uJy,nightly_stack_n5,nondet_3sig_limit_20.15
58456.25036,ATLAS,o,,,6.6,14.2,uJy,nightly_stack_n3,nondet_3sig_limit_19.67
58460.24518,ATLAS,o,,,-4.0,27.0,uJy,nightly_stack_n1,nondet_3sig_limit_19.13
58462.21337,ATLAS,c,,,-1.3,11.0,uJy,nightly_stack_n4,nondet_3sig_limit_20.11
58590.63183,ATLAS,o,,,-10.5,17.0,uJy,nightly_stack_n2,nondet_3sig_limit_19.63
58591.61628,ATLAS,o,,,22.7,18.5,uJy,nightly_stack_n4,nondet_3sig_limit_19.17
58592.62639,ATLAS,o,,,-29.2,23.9,uJy,nightly_stack_n3,nondet_3sig_limit_19.26
58593.63523,ATLAS,o,,,35.7,24.3,uJy,nightly_stack_n3,nondet_3sig_limit_18.81
58596.63319,ATLAS,o,,,29.0,55.0,uJy,nightly_stack_n1,nondet_3sig_limit_18.18
58604.62695,ATLAS,o,,,-1.0,31.0,uJy,nightly_stack_n1,nondet_3sig_limit_18.98
58612.50703,ATLAS,o,,,9.5,11.2,uJy,nightly_stack_n4,nondet_3sig_limit_19.81
58614.55255,ATLAS,o,,,-4.5,6.9,uJy,nightly_stack_n4,nondet_3sig_limit_20.62
58618.52582,ATLAS,o,,,8.6,8.1,uJy,nightly_stack_n4,nondet_3sig_limit_20.11
58620.48026,ATLAS,o,,,24.9,25.4,uJy,nightly_stack_n4,nondet_3sig_limit_18.89
58621.53466,ATLAS,o,,,4.5,12.2,uJy,nightly_stack_n4,nondet_3sig_limit_19.87
