recno,WDJname,GaiaDR3,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,plx,e_plx,Gmag,RPmag,BPmag,gmag,rmag,Variable,Periodic,Freq,gAmp,rAmp,Class,Note,Simbad
515,WDJ132831.82-054342.06,3631941722659134464,202.13258213204,0.114361,-5.72835399144,0.058414,6.8034,0.1119,16.9385,16.9699,16.8607,16.71335,16.67680,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
516,WDJ134151.71-062613.72,3632261538808897408,205.46544733088,0.120077,-6.43715493345,0.089406,0.9716,0.1192,17.8376,17.8689,17.7732,17.90479,18.21584,True,True,10.3145700697,0.676565150,1.055694100,---,in_SIMBAD_(V*),Simbad
517,WDJ131049.47-045701.17,3635841484244996096,197.70581176482,0.095683,-4.95040654636,0.073411,6.9238,0.1238,17.7475,17.7771,17.7649,17.70559,17.87481,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
518,WDJ143203.22-035638.03,3642258577702062720,218.01382792330,0.060202,-3.94413449741,0.079230,14.2810,0.0762,16.0243,15.9966,16.0482,15.98150,16.15227,False,False,0.0000000000,0.000000000,0.000000000,---,in_MWDD,Simbad
519,WDJ143740.61+030900.68,3656469211440196736,219.41891788554,0.105234,3.15011158992,0.094306,15.8690,0.1327,17.5688,17.2989,17.7363,17.74670,17.58146,True,True,1.0602652614,0.111594175,0.095384770,Spotted_variables,---,Simbad
520,WDJ135247.03-044137.04,3656923687699486720,208.19563186655,0.098937,-4.69368571647,0.067710,7.6479,0.1008,17.4002,17.3841,17.4406,17.35565,17.51317,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
521,WDJ135738.69-025819.41,3657568761722508672,209.41088659031,0.052775,-2.97214129587,0.050221,7.3517,0.0761,16.1435,16.2198,16.1267,16.03533,16.32390,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
522,WDJ141536.41+011718.23,3666166938357148672,213.90152700286,0.087647,1.28844715423,0.069712,2.0283,0.0969,17.0451,17.2047,16.9328,16.89831,17.34146,True,True,2.9042086882,0.095764520,0.175416580,WD-MS_binaries,in_SIMBAD_(V*),Simbad
523,WDJ124138.80-080702.63,3675345219043959680,190.41118897079,0.092816,-8.11741258450,0.047785,11.2980,0.1006,17.4733,16.9673,17.1956,17.13221,17.12821,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
524,WDJ123813.73-033932.97,3681313024562519552,189.55657672217,0.097034,-3.65934754461,0.052845,5.8814,0.1051,17.6635,17.5717,17.7140,17.72395,17.80915,False,False,0.0000000000,0.000000000,0.000000000,---,in_SIMBAD_(CV),Simbad
