ra,dec,rmag,imag,ndet
247.0358710664862,-29.15677596013102,23.65625,99.99,1
247.03268764144582,-29.154994928406033,21.940578,21.390625,15
247.0320732104791,-29.153217653327378,22.721045,21.5,8
247.03328253437405,-29.15445741230567,20.708122,19.015625,15
247.0349136135514,-29.154946847944725,22.061304,21.515625,13
247.03643463398953,-29.155836051795198,20.404545,20.03125,16
247.03594781513166,-29.155156082405124,99.99,22.625,1
247.0400928433756,-29.159318749060922,17.832397,17.507498,16
247.0396142643895,-29.158699901575996,21.46875,21.639,6
247.03925043430357,-29.157304712830037,23.234375,21.9375,3
247.0398602289562,-29.15700330019388,21.965382,21.4375,12
247.04061303987086,-29.15753064032497,22.253052,21.171875,8
247.03766583841292,-29.156022003387015,23.453125,22.625,2
247.0390632317947,-29.15585075141634,20.50064,20,15
247.03739065155642,-29.154959959627256,99.99,22.96875,1
247.0390237605467,-29.155153891337036,20.9183,20.53125,14
247.04180152176738,-29.15685420873852,23.078125,22.4375,2
247.042440258526,-29.156737221314728,99.99,22.65625,1
247.0409213226645,-29.155210440920904,23.125,22.296875,2
247.03508324953785,-29.15299862407619,17.356958,17.015625,15
247.0349611150471,-29.15114455032398,22.852558,22.125,7
247.0372317703883,-29.151883093867703,21.493107,20.640625,13
247.0316673608928,-29.148479194902958,99.99,22.5625,1
247.03211670390573,-29.148499049004396,99.99,99.99,1
247.03434530842387,-29.149585209892845,21.61148,21.09375,14
247.03802067781513,-29.152609136741116,19.77307,19.5625,15
247.03860597774244,-29.15240844265533,21.75,21.046875,3
247.04049988870835,-29.152397177202893,20.187283,19.6875,15
247.04168347121407,-29.150066752289472,21.294584,20.6875,14
247.04275332961996,-29.150369223430697,21.49395,20.8125,15
247.04443551207203,-29.159696176201,22.859375,22.52866,4
247.04611324797466,-29.158279103559142,22.862484,21.375,8
