ra,dec,gmag,rmag,imag,ndet,class_star
247.16560134978673,-29.180255088405897,99.99,99.99,20.53125,2,0.970459
247.16404450562433,-29.17917359590658,99.99,99.99,22.046875,1,0.928223
247.16501343034798,-29.17724258093796,21.12249,99.99,19.84375,6,0.671468
247.1676224974184,-29.177938184424722,22.078125,99.99,21.125,4,0.972656
247.1694440460407,-29.181561938759252,99.99,99.99,21.6875,2,0.832764
247.17285770039817,-29.18255864344876,19.5,99.99,18.125,3,0.983887
247.1709208494849,-29.180615477608768,21.890625,99.99,19.5,3,0.979329
247.1697727271295,-29.178087987276253,99.99,99.99,22.046875,2,0.667236
247.17210993152676,-29.178522398677785,23.21875,99.99,21.765625,4,0.892334
247.16317553520835,-29.176346762230217,20.312172,19.671875,19.234375,8,0.981567
247.16209652469416,-29.175102340857283,21.794022,99.99,20.96875,5,0.954199
247.16393384205773,-29.175153047139172,99.99,22.90625,22.28125,4,0.655151
247.16753246023046,-29.17647072996296,99.99,99.99,22.328125,3,0.768066
247.166135398127,-29.175367774508448,23.282507,22.578125,22.0625,6,0.76123
247.16769379965302,-29.175095122221617,99.99,99.99,22.4375,3,0.569092
247.1628870372026,-29.173970912143453,99.99,99.99,22.390625,2,0.387634
247.16333566521814,-29.173497609777062,99.99,99.99,22.515625,2,0.514038
247.1642296467957,-29.172763826093565,99.99,99.99,22.203125,2,0.712646
247.16470601120363,-29.172510026374084,22.740107,21.749565,21.46875,9,0.73489
247.16567277651683,-29.173692374743094,22.21796,21.571249,21.140625,7,0.91748
247.16618781492195,-29.17282539893244,21.873392,21.29662,20.921875,7,0.945033
247.16969775622312,-29.177728339449917,99.99,99.99,99.99,1,0.206177
247.16967518065252,-29.177608538443135,99.99,99.99,21.34375,2,0.941406
247.16796471051245,-29.172990012309103,99.99,99.99,20.046875,1,0.981445
247.16850134271525,-29.17325490814436,19.796875,18.620024,18.1875,6,0.978434
247.17118966132546,-29.175460220040538,23.140625,22.610252,21.78125,6,0.726644
247.1726736776078,-29.173998171096187,20.421875,19.77439,19.4375,6,0.982422
247.15019104101597,-29.168602517067693,99.99,23.21875,22.133064,6,0.653198
247.15539593032307,-29.169524083039928,99.99,99.99,22.290886,3,0.607585
247.15116585692502,-29.166563518612683,18.48536,18.61736,18.640625,9,0.983453
247.155030375181,-29.1676732674084,20.59375,99.99,99.99,1,0.94043
247.15569170186762,-29.166924953572888,99.99,99.99,22.343155,4,0.632446
247.15693285622586,-29.170103748534615,99.99,22.578125,21.87355,5,0.746875
247.15878396762542,-29.16970589768839,22.338545,21.684645,20.82661,9,0.810113
247.15934280288695,-29.170097853698113,99.99,99.99,22.296875,1,0.431396
247.15990474976692,-29.170367491672216,99.99,99.99,99.99,1,0.622559
247.1560979844858,-29.167807847719427,99.99,99.99,22.381397,3,0.573079
247.15743452870223,-29.166001834349537,23.23093,22.84375,22.046875,7,0.667411
