Image	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
VCAM.2017-05-21T07:29:31.148	57894.312200787	H	6	248.508587473926	-29.3070304697082	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:29:31.148&amp;eso_download=file
VCAM.2017-05-21T07:29:59.233	57894.3125258449	H	6	248.508580146579	-29.3070294313288	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:29:59.233&amp;eso_download=file
VCAM.2017-05-21T07:30:17.072	57894.3127323148	H	6	248.508575492404	-29.3070287717722	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:30:17.072&amp;eso_download=file
VCAM.2017-05-21T07:30:37.511	57894.3129688773	H	6	248.508570159891	-29.3070280160864	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:30:37.511&amp;eso_download=file
VCAM.2017-05-21T07:30:54.575	57894.3131663773	H	6	248.508565707912	-29.3070273851836	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:30:54.575&amp;eso_download=file
VCAM.2017-05-21T07:31:12.821	57894.3133775578	H	6	248.508560947551	-29.3070267105792	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:31:12.821&amp;eso_download=file
VCAM.2017-05-21T07:31:36.124	57894.3136472685	H	6	248.508554867822	-29.3070258490034	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:31:36.124&amp;eso_download=file
VCAM.2017-05-21T07:31:52.192	57894.3138332407	H	6	248.508550675699	-29.3070252549255	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:31:52.192&amp;eso_download=file
VCAM.2017-05-21T07:32:12.640	57894.3140699074	H	6	248.508545340837	-29.3070244989069	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:32:12.640&amp;eso_download=file
VCAM.2017-05-21T07:32:28.661	57894.3142553356	H	6	248.508541160977	-29.3070239065668	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:32:28.661&amp;eso_download=file
VCAM.2017-05-21T07:32:44.674	57894.3144406713	H	6	248.508536983201	-29.3070233145222	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:32:44.674&amp;eso_download=file
VCAM.2017-05-30T05:40:33.061	57903.2365284838	H	6	248.305153033559	-29.2760019070746	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:40:33.061&amp;eso_download=file
VCAM.2017-05-30T05:40:53.530	57903.2367653935	H	6	248.305147594507	-29.2760010186633	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:40:53.530&amp;eso_download=file
VCAM.2017-05-30T05:41:14.598	57903.2370092361	H	6	248.305141996288	-29.2760001042535	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:41:14.598&amp;eso_download=file
VCAM.2017-05-30T05:41:35.610	57903.2372524305	H	6	248.305136412949	-29.2759991922745	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:41:35.610&amp;eso_download=file
VCAM.2017-05-30T05:41:54.442	57903.2374703935	H	6	248.305131408882	-29.2759983749133	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:41:54.442&amp;eso_download=file
VCAM.2017-05-30T05:42:17.605	57903.2377384838	H	6	248.305125253976	-29.2759973695747	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:42:17.605&amp;eso_download=file
VCAM.2017-05-30T05:42:34.659	57903.237935868	H	6	248.305120722364	-29.2759966293839	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:42:34.659&amp;eso_download=file
VCAM.2017-05-30T05:44:51.789	57903.2395230208	H	6	248.305084283981	-29.2759906775609	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:44:51.789&amp;eso_download=file
VCAM.2017-05-30T05:45:08.788	57903.2397197685	H	6	248.305079766981	-29.275989939757	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:45:08.788&amp;eso_download=file
VCAM.2017-05-30T05:45:24.818	57903.2399053009	H	6	248.305075507467	-29.2759892440105	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:45:24.818&amp;eso_download=file
VCAM.2017-05-30T05:45:46.874	57903.2401605787	H	6	248.305069646714	-29.2759882867188	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:45:46.874&amp;eso_download=file
VCAM.2017-05-30T05:46:03.903	57903.2403576736	H	6	248.305065121743	-29.2759875476129	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:46:03.903&amp;eso_download=file
VCAM.2017-05-30T05:46:20.962	57903.2405551157	H	6	248.305060588802	-29.275986807205	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:46:20.962&amp;eso_download=file
VCAM.2017-05-30T05:46:37.977	57903.2407520486	H	6	248.305056067551	-29.2759860687066	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:46:37.977&amp;eso_download=file
VCAM.2017-05-30T05:46:55.046	57903.2409496065	H	6	248.30505153195	-29.2759853278645	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:46:55.046&amp;eso_download=file
VCAM.2017-05-30T05:47:16.066	57903.2411928935	H	6	248.305045946486	-29.2759844155383	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:47:16.066&amp;eso_download=file
VCAM.2017-05-30T05:47:34.014	57903.241400625	H	6	248.305041177318	-29.2759836365452	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:47:34.014&amp;eso_download=file
VCAM.2017-05-30T05:47:51.028	57903.2415975463	H	6	248.305036656333	-29.2759828980903	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:47:51.028&amp;eso_download=file
VCAM.2017-05-30T05:48:11.512	57903.2418346296	H	6	248.305031213295	-29.2759820090279	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:48:11.512&amp;eso_download=file
VCAM.2017-05-30T05:48:28.565	57903.2420320023	H	6	248.305026681947	-29.2759812688803	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:48:28.565&amp;eso_download=file
VCAM.2017-05-30T05:48:49.024	57903.2422687963	H	6	248.305021245551	-29.2759803809028	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:48:49.024&amp;eso_download=file
VCAM.2017-05-30T05:49:06.077	57903.242466169	H	6	248.305016714203	-29.2759796407551	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:49:06.077&amp;eso_download=file
VCAM.2017-05-30T05:49:23.100	57903.2426631944	H	6	248.305012190828	-29.2759789019099	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:49:23.100&amp;eso_download=file
VCAM.2017-05-30T05:49:40.121	57903.2428601967	H	6	248.305007667984	-29.2759781631513	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:49:40.121&amp;eso_download=file
VCAM.2017-05-30T05:49:56.178	57903.2430460416	H	6	248.305003401295	-29.2759774662329	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:49:56.178&amp;eso_download=file
VCAM.2017-05-30T05:50:18.248	57903.2433014815	H	6	248.30499753682	-29.2759765083333	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:50:18.248&amp;eso_download=file
VCAM.2017-05-30T05:50:34.264	57903.2434868518	H	6	248.304993281027	-29.2759758131946	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:50:34.264&amp;eso_download=file
VCAM.2017-05-30T05:50:51.884	57903.243690787	H	6	248.304988599015	-29.2759750484377	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:50:51.884&amp;eso_download=file
VCAM.2017-05-30T05:51:08.955	57903.243888368	H	6	248.304984062884	-29.2759743075089	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:51:08.955&amp;eso_download=file
VCAM.2017-05-30T05:51:26.156	57903.2440874537	H	6	248.304979492209	-29.2759735609375	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-30T05:51:26.156&amp;eso_download=file
c4d_170717_014149_ori.fits.fz 1104ffef01316ba4700c4a98e2221183	57951.0692390858	VR	150	247.342332251551	-29.0547112834345	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/1104ffef01316ba4700c4a98e2221183
c4d_170717_014149_oki_VR_v1.fits.fz 8555ed02080fef788f4af7ac7e0aeaf8	57951.0692390858	VR	150	247.342332251551	-29.0547112834345	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/8555ed02080fef788f4af7ac7e0aeaf8
c4d_170717_014149_ooi_VR_v1.fits.fz 84a079ad07707f8e95aa5d0f8874ca76	57951.0692390858	VR	150	247.342332251551	-29.0547112834345	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/84a079ad07707f8e95aa5d0f8874ca76
c4d_170717_014149_opi_VR_v1.fits.fz a0977c9f147c3e5fa812083c717026b1	57951.0692390858	VR	150	247.342332251551	-29.0547112834345	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/a0977c9f147c3e5fa812083c717026b1
c4d_170717_014448_ori.fits.fz 967291111f586918b0062b1f91e6ffff	57951.0713130834	VR	150	247.342302265002	-29.0547009710576	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/967291111f586918b0062b1f91e6ffff
c4d_170717_014448_oki_VR_v1.fits.fz 5e9dca2e2aac8c671f1e91decba07186	57951.0713130834	VR	150	247.342302265002	-29.0547009710576	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/5e9dca2e2aac8c671f1e91decba07186
c4d_170717_014448_ooi_VR_v1.fits.fz 4b5e69f0c2c7dba9c4c5ac9906591957	57951.0713130834	VR	150	247.342302265002	-29.0547009710576	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/4b5e69f0c2c7dba9c4c5ac9906591957
c4d_170717_014448_opi_VR_v1.fits.fz 599db98042c567a75d944af075e4d3ec	57951.0713130834	VR	150	247.342302265002	-29.0547009710576	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/599db98042c567a75d944af075e4d3ec
20170721094444-21	57955.40608796	u	100	247.282312015857	-29.0332534008633	0330498097	Skymapper	CTIO
2277028p	58253.430787037	CAHK.MP9303	200	250.179166280865	-29.1879110661009	F250.4-29.3	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/2277028p.fits.fz
cpt0m407-kb84-20190417-0217-e00 11431252	58591.0663117767	rp	10	252.206830145905	-29.0720557034263	auto_focus	LCO/cpt_0m4a_kb84	https://archive-api.lco.global/frames/11431252/
cpt0m407-kb84-20190417-0217-e91 11431253	58591.0663117767	rp	10	252.206830145905	-29.0720557034263	auto_focus	LCO/cpt_0m4a_kb84	https://archive-api.lco.global/frames/11431253/
c4d_190428_083626_ori.fits.fz 82c98bff7ffe730c4dfa17b5f95ebfc7	58601.3588169378	Y	30	252.041884184804	-29.0642302362653	DECaPS_27906_Y	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/82c98bff7ffe730c4dfa17b5f95ebfc7
c4d_190428_083626_oki_Y_v1.fits.fz 36240cd512d336bccadba95c026ee3fd	58601.3588169378	Y	30	252.041884184804	-29.0642302362653	DECaPS_27906_Y	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/36240cd512d336bccadba95c026ee3fd
c4d_190428_083626_ooi_Y_v1.fits.fz 5fa370f989b14086cbb89c66bf241c5d	58601.3588169378	Y	30	252.041884184804	-29.0642302362653	DECaPS_27906_Y	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/5fa370f989b14086cbb89c66bf241c5d
c4d_190428_083626_opi_Y_v1.fits.fz efba94dabf2fbcb86f9a5890e77dff71	58601.3588169378	Y	30	252.041884184804	-29.0642302362653	DECaPS_27906_Y	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/efba94dabf2fbcb86f9a5890e77dff71
c4d_190428_083626_ooi_Y_decaps2.fits.fz 22c915a84addc8eacb87e389cb040d83	58601.3588169378	Y	30	252.041884184804	-29.0642302362653	DECaPS_27906_Y	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/22c915a84addc8eacb87e389cb040d83
c4d_190429_082142_ori.fits.fz 3ce90491a4ab8a30a7eafb0bb49bc108	58602.3485826057	i	30	252.024352419256	-29.0630836374432	DECaPS_43778_i	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/3ce90491a4ab8a30a7eafb0bb49bc108
c4d_190429_082142_oki_i_v1.fits.fz 95b038fe2d3fdd30038eb068a41d5df1	58602.3485826057	i	30	252.024352419256	-29.0630836374432	DECaPS_43778_i	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/95b038fe2d3fdd30038eb068a41d5df1
c4d_190429_082142_ooi_i_v1.fits.fz 5a4138f8666d705225195d7e7a269d5c	58602.3485826057	i	30	252.024352419256	-29.0630836374432	DECaPS_43778_i	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/5a4138f8666d705225195d7e7a269d5c
c4d_190429_082142_opi_i_v1.fits.fz 6221be7f4bb6ed2b541f1e1718f29277	58602.3485826057	i	30	252.024352419256	-29.0630836374432	DECaPS_43778_i	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/6221be7f4bb6ed2b541f1e1718f29277
c4d_190429_082142_ooi_i_decaps2.fits.fz 420eca899df1d72595d9c95a5facc69d	58602.3485826057	i	30	252.024352419256	-29.0630836374432	DECaPS_43778_i	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/420eca899df1d72595d9c95a5facc69d
c4d_190429_082241_ori.fits.fz 0e21ea1b9f328fdcb9b7edc79db232e9	58602.3492681003	z	30	252.02434016604	-29.063082818658	DECaPS_43778_z	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/0e21ea1b9f328fdcb9b7edc79db232e9
c4d_190429_082241_oki_z_v1.fits.fz b8bb2be5caffccd25527c1d61386ac0d	58602.3492681003	z	30	252.02434016604	-29.063082818658	DECaPS_43778_z	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/b8bb2be5caffccd25527c1d61386ac0d
c4d_190429_082241_ooi_z_v1.fits.fz 4d06e6a121872cf26e97e9f46c743c49	58602.3492681003	z	30	252.02434016604	-29.063082818658	DECaPS_43778_z	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/4d06e6a121872cf26e97e9f46c743c49
c4d_190429_082241_opi_z_v1.fits.fz 8c5610e247fde1d80683c58ca2868d71	58602.3492681003	z	30	252.02434016604	-29.063082818658	DECaPS_43778_z	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/8c5610e247fde1d80683c58ca2868d71
c4d_190429_082241_ooi_z_decaps2.fits.fz ecf93198d1d16127f7f1e3ba0e6785fd	58602.3492681003	z	30	252.02434016604	-29.063082818658	DECaPS_43778_z	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/ecf93198d1d16127f7f1e3ba0e6785fd
c4d_190429_082340_ori.fits.fz 4e891d3213098987b85084ca863e4dff	58602.3499524998	Y	30	252.024327932399	-29.0630820011808	DECaPS_43778_Y	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/4e891d3213098987b85084ca863e4dff
c4d_190429_082340_oki_Y_v1.fits.fz dfbb613673fc59e7d5ee4586e947fc2d	58602.3499524998	Y	30	252.024327932399	-29.0630820011808	DECaPS_43778_Y	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/dfbb613673fc59e7d5ee4586e947fc2d
c4d_190429_082340_ooi_Y_v1.fits.fz 263b07c6fbb69a814065ed893778176c	58602.3499524998	Y	30	252.024327932399	-29.0630820011808	DECaPS_43778_Y	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/263b07c6fbb69a814065ed893778176c
c4d_190429_082340_opi_Y_v1.fits.fz 06250902882b70d4cb99bb990b446401	58602.3499524998	Y	30	252.024327932399	-29.0630820011808	DECaPS_43778_Y	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/06250902882b70d4cb99bb990b446401
c4d_190429_082340_ooi_Y_decaps2.fits.fz 3125af52f315819e798e7907b014549b	58602.3499524998	Y	30	252.024327932399	-29.0630820011808	DECaPS_43778_Y	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/3125af52f315819e798e7907b014549b
c4d_190430_054803_ori.fits.fz f1aca1b2a36573c0a65735892b904246	58603.2422616653	g	96	252.008297152177	-29.0619959989833	DECaPS_43778_g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/f1aca1b2a36573c0a65735892b904246
c4d_190430_054803_oki_g_v1.fits.fz c70cb57de3b5db3ce2f485a2871b8933	58603.2422616653	g	96	252.008297152177	-29.0619959989833	DECaPS_43778_g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/c70cb57de3b5db3ce2f485a2871b8933
c4d_190430_054803_ooi_g_v1.fits.fz 942568e90cb1800e51b287947d533b36	58603.2422616653	g	96	252.008297152177	-29.0619959989833	DECaPS_43778_g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/942568e90cb1800e51b287947d533b36
c4d_190430_054803_opi_g_v1.fits.fz 1e56ba8a3578d737a46df00d781fe7ee	58603.2422616653	g	96	252.008297152177	-29.0619959989833	DECaPS_43778_g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/1e56ba8a3578d737a46df00d781fe7ee
c4d_190430_054803_ooi_g_decaps2.fits.fz 5733aa1ec1a120964b2ff4896313ad05	58603.2422616653	g	96	252.008297152177	-29.0619959989833	DECaPS_43778_g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/5733aa1ec1a120964b2ff4896313ad05
c4d_190430_055008_ori.fits.fz 376bc07cbb28583bda0a73bd7737afa9	58603.2433260851	r	30	252.008277770867	-29.0619946388913	DECaPS_43778_r	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/376bc07cbb28583bda0a73bd7737afa9
c4d_190430_055008_oki_r_v1.fits.fz 27fe49614ee345021667494aaef4a078	58603.2433260851	r	30	252.008277770867	-29.0619946388913	DECaPS_43778_r	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/27fe49614ee345021667494aaef4a078
c4d_190430_055008_ooi_r_v1.fits.fz b2b81f410261aa5bb0e0e31aff366548	58603.2433260851	r	30	252.008277770867	-29.0619946388913	DECaPS_43778_r	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/b2b81f410261aa5bb0e0e31aff366548
c4d_190430_055008_opi_r_v1.fits.fz 0b595b2fff03ddc23aa20cc3a5dbac32	58603.2433260851	r	30	252.008277770867	-29.0619946388913	DECaPS_43778_r	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/0b595b2fff03ddc23aa20cc3a5dbac32
c4d_190430_055008_ooi_r_decaps2.fits.fz 2ef6937332230717f0ec0f8a08754f9c	58603.2433260851	r	30	252.008277770867	-29.0619946388913	DECaPS_43778_r	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/2ef6937332230717f0ec0f8a08754f9c
c4d_190501_051802_ori.fits.fz b590255c639e605a9179015aa9a13c88	58604.2214149052	g	96	251.990422275496	-29.0607325579042	DECaPS_43778_g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/b590255c639e605a9179015aa9a13c88
c4d_190501_051802_oki_g_v1.fits.fz a4d2c6afb75819740d67401ea04fda6e	58604.2214149052	g	96	251.990422275496	-29.0607325579042	DECaPS_43778_g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/a4d2c6afb75819740d67401ea04fda6e
c4d_190501_051802_ooi_g_v1.fits.fz d2db34098b25e083976e213316e24e07	58604.2214149052	g	96	251.990422275496	-29.0607325579042	DECaPS_43778_g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/d2db34098b25e083976e213316e24e07
c4d_190501_051802_opi_g_v1.fits.fz cb244992211908072ad708b66a5de96f	58604.2214149052	g	96	251.990422275496	-29.0607325579042	DECaPS_43778_g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/cb244992211908072ad708b66a5de96f
c4d_190501_051802_ooi_g_decaps2.fits.fz 3bad670fb01f5a469d310c609cc1d360	58604.2214149052	g	96	251.990422275496	-29.0607325579042	DECaPS_43778_g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/3bad670fb01f5a469d310c609cc1d360
c4d_190501_052007_ori.fits.fz ef22876d6d38f0e015593395b71b11ff	58604.2224824695	r	30	251.99040261452	-29.0607311344851	DECaPS_43778_r	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/ef22876d6d38f0e015593395b71b11ff
c4d_190501_052007_oki_r_v1.fits.fz 57badd3e1103686d0ef0622aa9f82e1a	58604.2224824695	r	30	251.99040261452	-29.0607311344851	DECaPS_43778_r	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/57badd3e1103686d0ef0622aa9f82e1a
c4d_190501_052007_ooi_r_v1.fits.fz 3e9e525b75a0e87829759be2acc12cdd	58604.2224824695	r	30	251.99040261452	-29.0607311344851	DECaPS_43778_r	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/3e9e525b75a0e87829759be2acc12cdd
c4d_190501_052007_opi_r_v1.fits.fz e5e307d1dd659426b81efd3f330e5035	58604.2224824695	r	30	251.99040261452	-29.0607311344851	DECaPS_43778_r	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/e5e307d1dd659426b81efd3f330e5035
c4d_190501_052007_ooi_r_decaps2.fits.fz 8835ffdb9c59acb04e9127b7bc37d83d	58604.2224824695	r	30	251.99040261452	-29.0607311344851	DECaPS_43778_r	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/8835ffdb9c59acb04e9127b7bc37d83d
c4d_190513_074224_ori.fits.fz 128b973554f598008759e87fce12a48a	58616.321636809	g	90	251.751190558811	-29.0396364535805	DELVE field: 12034-01-g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/128b973554f598008759e87fce12a48a
c4d_190513_074224_oki_g_v1.fits.fz 0ff9882afdd9ee4a4ec4fa8a0db50591	58616.321636809	g	90	251.751190558811	-29.0396364535805	DELVE field: 12034-01-g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/0ff9882afdd9ee4a4ec4fa8a0db50591
c4d_190513_074224_ooi_g_v1.fits.fz dd220533db31c2b4224983bb74b31d5c	58616.321636809	g	90	251.751190558811	-29.0396364535805	DELVE field: 12034-01-g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/dd220533db31c2b4224983bb74b31d5c
c4d_190513_074224_opi_g_v1.fits.fz e770da4ecf72f9a02a54029a96cad730	58616.321636809	g	90	251.751190558811	-29.0396364535805	DELVE field: 12034-01-g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/e770da4ecf72f9a02a54029a96cad730
c4d_190513_074224_ooi_g_ls11.fits.fz 82bd417ea3ec2229d91296a617db5274	58616.321636809	g	90	251.751190558811	-29.0396364535805	DELVE field: 12034-01-g	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/82bd417ea3ec2229d91296a617db5274
c4d_190514_051628_ori.fits.fz 21da4151fb093b597e3a6fbd0b26c06f	58617.2202982347	i	90	251.732253687366	-29.037677115034	DELVE field: 12034-01-i	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/21da4151fb093b597e3a6fbd0b26c06f
