ra,dec,mjd,mag_auto,magerr_auto,filter,fwhm,class_star,exposure
247.34355677512647,-29.053442423661043,57455.35027463036,19.758371,0.009809,VR,2.76711,0.348725,c4d_160308_082745_ooi_VR_v1
247.3370434144384,-29.05332982528753,58616.30015933933,22.389456,0.100775,g,1.59421,0.911461,c4d_190513_071213_ooi_g_v1
247.33732339880166,-29.05238688373237,58616.30015933933,20.56606,0.020987,g,1.048656,0.981595,c4d_190513_071213_ooi_g_v1
247.33840043939895,-29.05812271928488,58616.30015933933,18.4285,0.007333,g,1.142196,0.982928,c4d_190513_071213_ooi_g_v1
247.34009821795772,-29.052739877278032,58616.30015933933,22.603373,0.081806,g,1.326165,0.852288,c4d_190513_071213_ooi_g_v1
247.34080706181598,-29.05735395927596,58616.30015933933,22.991692,0.130221,g,1.704877,0.753156,c4d_190513_071213_ooi_g_v1
247.34135285572145,-29.050950054673198,58616.30015933933,21.756065,0.068767,g,2.138597,0.196976,c4d_190513_071213_ooi_g_v1
247.3416111095884,-29.058741694925107,58616.30015933933,22.378016,0.11972,g,1.593928,0.897002,c4d_190513_071213_ooi_g_v1
247.34181530797434,-29.059777821909638,58616.30015933933,19.454596,0.011002,g,1.072351,0.983088,c4d_190513_071213_ooi_g_v1
247.3435576854283,-29.053443206592586,58616.30015933933,21.276756,0.040039,g,2.738534,0.046986,c4d_190513_071213_ooi_g_v1
247.34429787051755,-29.05206702458501,58616.30015933933,20.432426,0.019163,g,1.085555,0.982296,c4d_190513_071213_ooi_g_v1
247.34322730480386,-29.05527916333093,58616.30015933933,21.796833,0.059422,g,1.558768,0.97138,c4d_190513_071213_ooi_g_v1
247.34423129995588,-29.05636456486674,58616.30015933933,17.306082,0.006383,g,1.070935,0.984995,c4d_190513_071213_ooi_g_v1
247.3466912595382,-29.051397827144697,58616.30015933933,23.616207,0.149446,g,1.098735,0.496089,c4d_190513_071213_ooi_g_v1
247.347372468208,-29.059317383416065,58616.30015933933,19.155092,0.009586,g,1.087473,0.983068,c4d_190513_071213_ooi_g_v1
247.3375320379141,-29.054075177153067,58616.30015933933,22.98699,0.120037,g,1.381078,0.781179,c4d_190513_071213_ooi_g_v1
247.33605585896194,-29.058584704855672,58616.30015933933,23.062492,0.180772,g,1.736609,0.607779,c4d_190513_071213_ooi_g_v1
247.3373134293081,-29.052382417741732,58617.20971358009,19.05326,0.010306,i,0.802721,0.983175,c4d_190514_050159_ooi_i_v1
247.3485051514789,-29.05242998218338,58617.20971358009,22.27559,0.157228,i,1.032703,0.893825,c4d_190514_050159_ooi_i_v1
247.3478169043174,-29.059826338446918,58617.20971358009,21.774525,0.035043,i,1.153987,0.93142,c4d_190514_050159_ooi_i_v1
247.34736847473764,-29.059303800459432,58617.20971358009,17.598324,0.004719,i,0.821994,0.987654,c4d_190514_050159_ooi_i_v1
247.34732009715924,-29.05788982259842,58617.20971358009,21.571035,0.146871,i,1.148223,0.660539,c4d_190514_050159_ooi_i_v1
247.34744002888456,-29.05158188867247,58617.20971358009,22.525272,0.138975,i,1.137218,0.869965,c4d_190514_050159_ooi_i_v1
247.34673936920453,-29.051406986940652,58617.20971358009,21.441647,0.069062,i,0.843251,0.975349,c4d_190514_050159_ooi_i_v1
247.34606397810026,-29.055985375714226,58617.20971358009,21.655712,0.11757,i,0.99713,0.919211,c4d_190514_050159_ooi_i_v1
247.34423406906362,-29.056364777937084,58617.20971358009,15.884851,0.003246,i,0.840379,0.998311,c4d_190514_050159_ooi_i_v1
247.34322179151974,-29.055269230108767,58617.20971358009,20.339828,0.032516,i,0.855819,0.975127,c4d_190514_050159_ooi_i_v1
