sdss_id,gaia_dr3,snowwhite_class,group,plx_ok,G,bp_rp,M_G,snr_cat,z_cat,template,v_kms,noise_scale,z_lines,z_abs,z_fake,ew_A,z_visits,visit_mjds,nv,nhi,nlo,zmax
71875316,2835032251946333824,DQ,nonH,True,18.12,0.279,12.97,62.2,13.02,dp500,-400.0,1.58,7.2/9.6/6.3,-3.25,8.29,4.14,12.5/1.0/9.8/4.7/4.0/2.9/0.1/-0.7/3.9/-2.4/2.3/4.2/2.3,59166/59195/59197/59826/59896/60222/60464/60465/60466/60548/60582/60583/60609,13,2,4,12.5
89636823,4499661451598930944,DA,H,True,18.9,0.845,14.3,18.0,7.7,n150,100.0,1.13,4.0/5.9/3.0,2.21,2.35,2.34,-1.8/12.5/10.8,60109/60113/60114,3,2,1,12.5
70289727,2534319124579003008,DA,H,True,19.85,0.745,13.7,17.7,12.46,n150,20.0,1.26,5.3/8.8/7.3,2.44,2.92,4.69,3.7/12.3/-0.6/-1.4/10.5/-2.5,59203/59222/60230/60283/60532/60533,6,2,3,12.3
58212966,958453288184344960,DA,H,True,17.76,-0.137,10.84,56.5,22.33,dp250,0.0,1.07,17.2/12.8/8.8,-6.34,7.34,4.59,1.5/10.8/9.1/6.2/10.9/6.4/2.8/11.7/9.0,59242/59245/59266/59267/59268/59269/59270/59271/59294,9,7,1,11.7
75806436,3212159139636340608,DA,H,True,17.51,0.382,12.82,62.4,5.17,n150,-400.0,1.08,4.7/-0.0/5.1,5.86,4.45,0.35,8.1/-2.0/-0.4/11.6/0.0/0.1,59209/59210/59266/59935/59938/59939,6,2,4,11.6
57654679,886686828506723200,DA,H,True,19.41,0.747,13.8,9.4,11.46,n150,20.0,1.4,4.0/7.4/9.0,2.23,2.36,14.09,11.4/0.8/8.6,60678/60694/60695,3,2,1,11.4
60480205,1320147671184560896,DAO/DA,H,True,19.48,1.03,14.8,27.7,10.61,n150,120.0,1.57,4.1/8.3/5.7,0.7,3.6,6.09,11.4/4.8/3.5/6.6/6.8/0.6/-1.0/3.2/-2.7/2.2/4.0,59296/59300/59301/59302/59304/59328/59329/59383/59384/59385/59387,11,3,3,11.4
70103731,2497581000826499456,DZ,nonH,True,19.08,0.324,13.22,13.6,11.28,dp350,400.0,1.34,6.8/9.5/1.8,-0.91,4.9,12.11,7.0/7.2/11.3/5.5/0.5,59166/59168/59169/59192/59222,5,3,1,11.3
62573158,1666738784509287424,DA,H,True,18.69,-0.56,9.82,20.7,7.86,dp150,-80.0,1.36,6.8/4.0/2.7,0.64,3.36,4.65,0.0/11.2/6.5/0.7/4.5,59280/59309/59340/59380/59381,5,2,2,11.2
57589080,880122224395759488,DZ/DC,nonH,True,19.87,0.976,14.58,11.8,11.4,n150,0.0,1.66,3.2/8.4/8.7,0.41,2.56,18.0,1.2/4.8/9.9/1.9/11.1/4.4/4.2/6.7,59163/59164/59197/59221/59251/59279/59280/60588,8,3,2,11.1
99106964,5549400009052085120,DA,H,True,19.49,0.421,12.38,15.7,7.34,n150,140.0,2.3,4.2/4.1/4.4,0.66,3.19,12.29,10.9/1.4/6.7/6.9/-0.5/-5.3/-0.2,60018/60019/60020/60021/60026/60028/60029,7,3,4,10.9
56947585,772022570479549952,DA,H,True,17.97,-0.093,12.92,55.6,7.73,dp250,140.0,1.0,3.0/7.6/2.0,1.65,4.86,0.87,-0.6/0.3/10.5/7.0/0.1/1.9/0.5/7.9/1.1/0.7/-3.3,59252/59280/59335/59336/59337/59640/59641/59972/60288/60372/60676,11,3,8,10.5
70096227,2496042440461991296,DQ/DC,nonH,True,17.02,0.168,13.01,114.9,10.75,dp350,120.0,2.84,4.2/7.0/7.8,-3.74,10.03,3.73,5.4/8.7/0.2/2.9/2.4/-4.5/0.3/6.7/1.1/4.7/10.4/4.1/1.1/3.3,59166/59168/59169/59192/59222/59846/59874/59931/60225/60563/60624/60635/60662/60697,14,3,5,10.4
71981286,2853697045943764352,DC/DA,nonH,True,19.89,0.189,11.59,15.0,9.54,n150,80.0,1.02,6.9/4.5/5.5,0.08,4.62,7.51,-0.1/-3.9/0.8/4.1/8.2/3.4/3.9/6.1/3.6/10.2/0.8/0.0,59165/59190/59191/59217/59902/60222/60282/60478/60479/60560/60561/60634,12,3,5,10.2
76068287,3246177587019563008,DC,nonH,True,17.35,0.192,12.71,31.0,11.25,n150,260.0,1.06,5.7/8.3/5.1,-1.73,5.24,4.4,-2.7/10.1/2.0/7.4,60256/60264/60583/60584,4,2,1,10.1
70101908,2497234448505140352,DA,H,True,19.42,0.909,14.07,19.7,12.36,n150,-20.0,1.0,5.3/9.4/6.6,2.61,3.74,3.59,0.9/3.5/6.4/4.4/-1.6/10.1/3.0/7.2,59165/59191/59231/59232/59881/59935/60610/60637,8,3,2,10.1
78723151,3609293256300808960,DA:,H,True,19.71,1.07,14.74,18.7,5.78,n150,140.0,1.0,1.1/7.4/0.5,0.87,4.24,1.55,-9.1/2.5/2.2/-0.9/-1.6/5.1/8.2/3.6/3.8/9.9/0.8/-0.7,59245/59246/59247/59249/59250/59276/59278/59279/59355/59360/59362/59382,12,2,5,9.9
57744337,895359119095120128,DZ,nonH,True,19.4,0.212,12.75,27.5,12.43,dp500,120.0,1.71,4.9/13.4/3.1,-2.43,7.62,9.65,9.3/7.5/3.9/4.8/6.6/8.7/9.9/9.2/4.8/4.7/0.6/5.8/3.5/-3.2,59188/59189/59190/59218/59219/59245/59246/59247/59248/59265/59267/59272/59273/60650,14,6,2,9.9
57579592,879014122833562880,DC:,nonH,True,19.69,0.841,14.49,28.9,8.83,n150,0.0,1.46,5.9/5.4/3.8,1.83,2.5,3.7,-0.5/8.6/7.0/9.8/5.0/-0.3/0.3,59164/59199/59222/59252/59281/60593/60594,7,3,3,9.8
61916325,1547829836077671168,DA,H,True,19.82,0.71,13.29,25.3,9.9,n150,60.0,1.4,3.2/8.7/4.8,0.72,1.87,4.38,4.3/3.2/5.0/1.4/9.4/-4.2/2.2/9.7/0.1/3.6/0.3/5.0/2.5/8.8,59256/59291/59335/59336/59338/59364/59365/59366/59370/59731/59975/60052/60298/60706,14,3,4,9.7
64656620,1909031393054730368,DC/DB,nonH,True,19.31,-0.051,11.39,8.0,3.06,dp500,140.0,1.0,1.7/3.5/0.1,3.89,4.44,0.13,9.6/0.0/7.4/-0.1,59211/59212/59214/59215,4,2,2,9.6
78853237,3633094796824116608,DC:,nonH,True,19.79,0.206,12.9,12.1,7.45,dp150,260.0,1.46,5.1/6.1/0.8,1.36,7.03,4.54,2.3/-0.9/9.5/0.5/6.6/5.1/6.7/-0.8/2.2/0.0/4.0/3.1/0.6,59245/59246/59267/59268/59269/59270/59271/59272/59273/59304/59305/59324/60112,13,3,5,9.5
75038556,3130663273365558656,DA,H,True,18.05,0.074,12.55,22.1,7.07,dp500,-60.0,1.0,2.6/7.1/2.8,-1.59,4.27,3.14,6.7/9.5/-3.3/-1.9,59191/59206/59208/59238,4,2,2,9.5
62064711,1575432899396755584,DA,H,True,19.2,0.583,13.17,38.9,13.72,dp500,-120.0,1.2,25.0/-2.3/1.9,6.09,14.46,2.36,3.2/3.3/8.5/8.5/9.1/9.5/5.4/0.8/8.3/-1.3/0.9,59255/59284/59290/59317/59348/59350/59351/59644/59675/60073/60295,11,5,3,9.5
57820419,905356016253570432,DA,H,True,18.49,0.862,13.55,22.5,0.68,n60,140.0,1.09,-0.7/1.1/0.6,5.81,3.81,-3.37,-3.8/8.9/2.5/-8.0/8.3/9.4/-1.3/3.2,59165/59166/59167/59231/59232/59252/59253/60707,8,3,3,9.4
61602078,1488432328158406528,DC/DQ,nonH,True,19.79,0.276,13.39,24.5,7.57,dp500,-400.0,2.55,5.2/3.6/5.2,1.03,6.18,8.11,1.7/4.9/5.2/4.4/4.7/2.6/8.8/7.5/6.7/-1.6/5.0/9.4,59336/59361/59362/59363/59364/59382/59383/59384/59385/59387/59391/59392,12,4,2,9.4
75800001,3211272417868507264,DB/DA,nonH,True,18.94,0.894,14.5,18.7,7.71,n150,40.0,1.28,1.6/6.3/5.5,0.74,2.75,3.25,9.3/7.1/-9.0/4.4/4.2,59209/59210/59266/59935/59939,5,2,1,9.3
55918064,601707227200568448,DQ,nonH,True,19.11,0.316,13.31,12.6,9.61,dp500,-380.0,1.03,3.5/5.8/9.8,0.42,4.37,11.73,9.3/6.1/5.9/0.5,59885/59915/59988/60263,4,2,1,9.3
57450919,865467933421575808,DA,H,True,19.48,0.123,11.6,18.7,15.32,dp500,60.0,1.0,11.4/9.1/7.0,0.32,6.13,7.94,5.4/1.1/-0.1/9.2/0.6/6.8/7.1/0.2/2.4/8.1,59238/59270/59271/59275/59276/59293/59294/60698/60699/60700,10,4,4,9.2
71907349,2840696729694244480,DA,H,True,18.84,0.628,13.38,29.0,8.98,n150,80.0,1.58,3.3/5.0/8.6,0.71,3.69,5.38,9.1/0.7/2.3/9.0,59188/60251/60608/60645,4,2,1,9.1
62891436,1728099367359640832,DB,nonH,True,18.82,0.052,11.56,12.2,7.88,n150,60.0,1.82,3.4/6.5/3.4,0.63,3.31,8.7,2.3/2.6/1.4/4.5/-1.2/6.7/0.8/9.1/7.4/5.5,59306/59308/59325/59326/59329/59355/59358/59359/59360/59391,10,3,3,9.1
110522692,6456582760794423296,DZ:,nonH,True,19.84,0.249,13.24,6.2,9.9,dp350,220.0,1.12,4.4/8.0/4.5,-1.85,5.7,21.72,8.8/7.1/1.3,60171/60173/60174,3,2,1,8.8
57746602,895594517661994624,DBAZ/DZ,nonH,True,19.8,0.031,11.87,16.8,8.3,n150,60.0,1.67,3.2/6.4/4.7,-0.58,5.8,9.02,4.2/6.3/3.5/1.3/0.7/5.5/7.0/3.1/8.6/1.0/5.1/1.0/0.4/0.5,59188/59189/59190/59218/59219/59245/59246/59247/59248/59265/59267/59272/59273/60650,14,3,6,8.6
