night,band,mjd,flux,err,n,snr
58434.0,c,58434.27778825,-5.840952341975486,6.403720219572024,4,-0.9121186032024757
58435.0,o,58435.21523749999,-6.37842008354825,11.571452747768706,4,-0.5512203370296944
58437.0,o,58437.2229795,-252.89068041042125,153.99254977302448,2,-1.6422267231964567
58438.0,o,58438.2644,-809.0,1822.0,1,-0.44401756311745333
58441.0,o,58441.21321375,9.588618850029638,11.19954271231762,4,0.8561616394822769
58442.0,o,58442.26644325,-12.18024438193258,12.789927004076997,4,-0.9523310319167521
58443.0,o,58443.20204375,-11.745575066522328,17.483265695022375,4,-0.6718181414966649
58444.0,o,58444.27294885714,0.4074564924170791,25.690407661342224,7,0.01586025795262881
58447.0,o,58447.211710250005,11.132661628883291,8.866772093336094,4,1.2555484128491525
58448.0,o,58448.259674999994,3.692530819434372,10.282450533677268,4,0.35911000080579314
58449.0,o,58449.200632,0.9531693340219867,10.628189301608677,4,0.0896831348193728
58450.0,o,58450.25891975,-3.201692168088624,7.85121458031154,4,-0.40779577928203553
58451.0,o,58451.209480000005,0.5076244552154204,8.52121919192424,8,0.0595718105334631
58452.0,o,58452.2579065,12.41484394706091,10.482120924762269,4,1.1843828206305944
58453.0,o,58453.21737375,8.134524929444968,7.299789298367759,4,1.1143506472527718
58454.0,c,58454.258649999996,6.464742452124657,8.346223686766987,5,0.7745709550505536
58456.0,o,58456.25035933333,6.567287790271075,14.185254670138088,3,0.46296580096627515
58460.0,o,58460.245185,-4.0,27.0,1,-0.14814814814814814
58462.0,c,58462.21337025,-1.2706185567010315,10.96595011185397,4,-0.1158694453048367
58590.0,o,58590.6318345,-10.500000000000002,16.97056274847714,2,-0.6187184335382292
58591.0,o,58591.61627825,22.745281759196686,18.468462238755727,4,1.2315742082449146
58592.0,o,58592.62639333333,-29.17491125683844,23.90537416477597,3,-1.2204331568182276
58593.0,o,58593.635234999994,35.70727466794179,24.33676707120571,3,1.467215204199789
58596.0,o,58596.633194,29.0,55.0,1,0.5272727272727272
58604.0,o,58604.626954,-1.0,31.0,1,-0.03225806451612903
58612.0,o,58612.507029,9.548672566371685,11.17519376799402,4,0.854452528037525
