###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57472.315180 -14.997  0.018 -3642   64 o  0 103.09 112.33509   9.86854  1479.25   629.33 5.58 3.39 -15.0 -0.518 18.53 19.68 02a57472o0208o
57472.334237  14.658  0.404  4977 2013 o  0   0.27 112.33509   9.86854  1166.71    40.24 6.20 3.43 -15.1 -0.474 18.48 19.59 02a57472o0243o
57472.341151 -16.172  0.030 -1234   37 o  0  35.09 112.33509   9.86854  8094.95 10292.47 3.85 3.54  75.5 -0.504 18.49 19.59 02a57472o0255o
57472.362143 -17.650  0.144  -316   45 o  0  13.42 112.33509   9.86854  7810.12  9699.84 3.79 3.31  83.8 -0.507 18.42 19.45 02a57472o0294o
57472.383220 -16.480  0.069  -929   64 o  0  23.19 112.33509   9.86854  8982.91  9131.57 4.03 3.12  85.2 -0.513 18.36 19.33 02a57472o0333o
57472.404006 -16.750  0.106  -725   77 o  0  14.05 112.33509   9.86854  9141.42  9055.33 4.17 3.29  83.6 -0.510 18.22 19.15 02a57472o0372o
57476.291060 -13.645  0.001 -12652   15 o  0 448.30 112.33509   9.86854  1751.56   292.76 5.61 3.38 -14.1 -0.494 18.94 20.51 02a57476o0159o
57476.306695 -14.018  0.002 -8974   22 o  0 684.65 112.33509   9.86854  8369.90  9954.19 4.09 3.63  77.8 -0.488 18.94 20.56 02a57476o0190o
57476.322513 -14.753  0.007 -4558   33 o  0 293.07 112.33509   9.86854  8079.78  9364.77 3.94 3.38  83.4 -0.503 18.96 20.53 02a57476o0222o
57476.341288 -15.419  0.003 -2469    7 o  0 604.92 112.33509   9.86854  9250.19  8797.53 4.19 3.21  84.9 -0.497 18.99 20.61 02a57476o0260o
57476.362551 -14.181  0.003 -7719   24 o  0 394.99 112.33509   9.86854  9139.04  9053.53 4.15 3.33  84.3 -0.487 18.93 20.55 02a57476o0303o
57480.300189 -15.129  0.003 -3223   10 c  0 174.75 112.33509   9.86854  1366.20   584.44 5.34 3.67 -17.8 -0.484 19.43 21.28 02a57480o0188c
57480.308235  22.313  4.182     4   18 c  0  10.59 112.33509   9.86854  8005.29 10260.68 4.04 3.79  67.0 -0.424 19.49 21.37 02a57480o0204c
57480.330879 -15.641  0.008 -2011   17 c  0 141.30 112.33509   9.86854  7697.36  9670.99 3.96 3.69  75.8 -0.434 19.45 21.33 02a57480o0249c
57480.353718 -17.814  0.067  -272   18 c  0  12.18 112.33509   9.86854  8871.50  9103.00 4.14 3.60  80.1 -0.437 19.42 21.30 02a57480o0294c
57480.376373 -17.534  0.053  -352   19 c  0   6.64 112.33509   9.86854  9143.98  9050.69 4.23 3.69  78.7 -0.423 19.30 21.16 02a57480o0339c
57490.251816 -20.160  0.965   -31   30 c  0  14.40 112.33509   9.86854  1393.04   426.61 5.02 3.76 -23.1 -0.523 18.99 20.48 02a57490o0161c
57490.254725 -19.299  0.385   -69   27 c  0   4.74 112.33509   9.86854  8034.54 10100.92 4.31 4.00  73.6 -0.420 19.04 20.60 02a57490o0167c
