source_id,name,G,ra,dec,southern,bridge,asas_sn_id,asassn_coverage,n_epochs_g,n_epochs_V,baseline_yr,quiescent_mag_g,quiescent_mag_V,mag_floor_mmag,n_outbursts,outburst_amplitudes,outburst_dates,outburst_tier,n_dips,dip_tier,period_verdict,best_period_d,period_evidence,n_neighbors_15as,nearest_neighbor_sep,nearest_neighbor_G,blend_flag,classification_guess,evidence_oneliner
5867211306734113024,eRASS1 1eRASS J135951.2-605759,18.73,209.96295364431884,-60.967,True,False,609885771466,matched,833,213,9.26,13.035,12.196,32.5,0,,,none,0,none,not_screened,,,8,1.547,16.663211822509766,True,coronal_rotator,"quiet: 833 epochs, 9.26 yr baseline, floor 32.5 mmag [BLEND CAUTION: neighbor at 1.55as G=16.66 within 10as and <=1 mag fainter; ASAS-SN match (sep=11.16as) coincides with bright neighbour G=11.30 at 11.16as -- light curve may BE the neighbour -- downgrade to ambiguous]"
5868905890375286912,eRASS1 1eRASS J134421.7-604848,16.091,206.09232957715054,-60.813,True,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,7,1.94,15.725000381469727,True,coronal_rotator_expected,no ASAS-SN counterpart
5873310744454214784,eRASS1 1eRASS J151117.8-641921,17.579,227.81779234031333,-64.324,True,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,16,0.956,17.498065948486328,True,coronal_rotator_expected,no ASAS-SN counterpart
5890007786261623680,eRASS1 1eRASS J152118.1-510315,15.981,230.32647808135232,-51.054,True,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,16,2.305,20.177581787109375,True,coronal_rotator_expected,no ASAS-SN counterpart
5894970608110532736,eRASS1 1eRASS J144332.9-530059,16.71,220.88214396148825,-53.018,True,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,9,6.904,19.46705436706543,True,coronal_rotator_expected,no ASAS-SN counterpart
5930351238703354880,eRASS1 1eRASS J163802.5-541549,15.448,249.5097099067139,-54.265,True,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,30,1.992,20.116151809692383,True,coronal_rotator_expected,no ASAS-SN counterpart
5982813753138370304,eRASS1 1eRASS J155121.2-493459,16.293,237.83780986371372,-49.583,True,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,21,3.654,20.925384521484375,True,coronal_rotator_expected,no ASAS-SN counterpart
5998437847731867136,eRASS1 1eRASS J161148.9-365736,15.739,242.95275345163478,-36.96,True,False,601295529792,matched,1233,362,9.23,17.057,16.352,313.7,0,,,none,0,none,not_screened,,,4,5.148,20.5747013092041,False,coronal_rotator,"quiet: 1233 epochs, 9.23 yr baseline, floor 313.7 mmag"
6006980297150138112,eRASS1 1eRASS J151305.9-390418,14.469,228.27682918397937,-39.073,True,True,558346438657,matched,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,8,0.777,15.43185806274414,True,unclassified_no_lc,ASAS-SN lightcurve fetch failed/unavailable
6031159721800241920,eRASS1 1eRASS J164955.4-292653,17.245,252.47994585495022,-29.449,False,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,29,1.348,19.760047912597656,True,coronal_rotator_expected,no ASAS-SN counterpart
6040793921838324608,eRASS1 1eRASS J154825.8-295833,13.894,237.10901516500755,-29.978,False,False,352188321077,matched,680,435,11.41,14.355,14.083,33.5,0,,,none,0,none,not_screened,,,2,5.148,20.58319664001465,False,coronal_rotator,"quiet: 680 epochs, 11.41 yr baseline, floor 33.5 mmag"
6079794488325548288,eRASS1 1eRASS J124641.4-490634,14.058,191.67241268703918,-49.109,True,False,523986119322,matched,896,166,9.35,14.165,13.878,45.8,0,,,none,0,none,not_screened,,,1,0.827,14.847390174865723,True,coronal_rotator,"quiet: 896 epochs, 9.35 yr baseline, floor 45.8 mmag [BLEND CAUTION: neighbor at 0.83as G=14.85 within 10as and <=1 mag fainter; ASAS-SN match (sep=0.01as) coincides with bright neighbour G=14.85 at 0.83as -- light curve may BE the neighbour -- downgrade to ambiguous]"
6085431723096669568,eRASS1 1eRASS J131227.7-471643,13.375,198.11565164963795,-47.277,True,False,498216701190,matched,844,398,11.1,12.506,12.298,26.9,0,,,none,0,none,not_screened,,,3,1.448,12.558460235595703,True,coronal_rotator,"quiet: 844 epochs, 11.1 yr baseline, floor 26.9 mmag [BLEND CAUTION: neighbor at 1.45as G=12.56 within 10as and <=1 mag fainter; ASAS-SN match (sep=1.46as) coincides with bright neighbour G=12.56 at 1.45as -- light curve may BE the neighbour -- downgrade to ambiguous]"
6088043505593272448,eRASS1 1eRASS J131325.6-452256,16.112,198.35570251576925,-45.38,True,False,438087094320,matched,841,398,11.1,14.933,14.583,52.3,0,,,none,0,none,not_screened,,,5,6.296,20.20684051513672,True,coronal_rotator,"quiet: 841 epochs, 11.1 yr baseline, floor 52.3 mmag [BLEND CAUTION: ASAS-SN match (sep=10.83as) coincides with bright neighbour G=14.42 at 10.84as -- light curve may BE the neighbour -- downgrade to ambiguous]"
6093469664199623168,eRASS1 1eRASS J135106.6-501913,18.088,207.7770404126359,-50.321,True,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,4,8.163,19.819107055664062,False,coronal_rotator_expected,no ASAS-SN counterpart
6127447910691130624,eRASS1 1eRASS J122719.8-500936,13.771,186.8325791107538,-50.161,True,False,412317468346,matched,1742,387,9.36,11.665,11.59,15.0,0,,,none,0,none,not_screened,,,4,4.707,19.612016677856445,True,coronal_rotator,"quiet: 1742 epochs, 9.36 yr baseline, floor 15.0 mmag [BLEND CAUTION: neighbor at 5.12as G=11.68 within 10as and <=1 mag fainter; ASAS-SN match (sep=5.11as) coincides with bright neighbour G=11.68 at 5.12as -- light curve may BE the neighbour -- downgrade to ambiguous]"
6181433377556532608,eRASS1 1eRASS J132002.0-311106,14.906,200.0076134735775,-31.184,True,False,266289050787,matched,1665,869,11.51,15.288,15.066,75.2,0,,,none,0,none,not_screened,,,0,,,False,coronal_rotator,"quiet: 1665 epochs, 11.51 yr baseline, floor 75.2 mmag"
6190046028231983232,eRASS1 1eRASS J132625.4-253542,16.602,201.6088933313105,-25.595,False,False,446676989633,matched,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,1,9.105,20.55734634399414,False,coronal_rotator_expected,ASAS-SN lightcurve fetch failed/unavailable
6291076470920365568,eRASS1 1eRASS J140338.9-184000,15.822,210.910128894269,-18.667,False,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,1,10.79,20.91030502319336,False,coronal_rotator_expected,no ASAS-SN counterpart
6315134987927550592,eRASS1 1eRASS J152614.8-111331,17.528,231.56220224287534,-11.224,False,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,0,,,False,coronal_rotator_expected,no ASAS-SN counterpart
6342358797048816128,eRASS1 1eRASS J195248.1-872256,18.665,298.2047181517224,-87.383,True,True,661425549168,matched,1374,305,11.07,17.555,17.335,293.4,1,2.04,2460130-2460131,candidate-artifact-outburst,0,none,MARGINAL,29.5159,"[outburst-masked, 26 pts removed] FAP=0.000 redNoiseRank=100.0 coherent=False alias=True",3,12.712,17.383365631103516,False,DN_candidate_artifact_tier,"single-camera outburst candidate, amp 2.04 mag -- needs 2nd camera/survey"
6414835064496112640,eRASS1 1eRASS J183831.6-750020,18.915,279.63153058510153,-75.006,True,True,661428996352,matched,193,75,10.4,17.928,17.861,310.3,0,,,none,0,none,MARGINAL,29.5452,"[outburst-masked, 0 pts removed] FAP=0.000 redNoiseRank=100.0 coherent=False alias=True",1,4.317,18.26084327697754,True,marginal_period_followup,"marginal period signal 29.5452 d, [outburst-masked, 0 pts removed] FAP=0.000 redNoiseRank=100.0 coherent=False alias=True [BLEND CAUTION: neighbor at 4.32as G=18.26 within 10as and <=1 mag fainter -- downgrade to ambiguous]"
6482924963452562432,eRASS1 1eRASS J204757.9-451301,14.783,311.9897510573176,-45.218,True,False,420907016494,matched,1166,758,11.13,9.553,9.15,382.9,13,1.73;1.75;1.73;1.67;1.73;1.32;1.32;1.37;1.26;1.35;1.40;1.33;1.26,2458395-2458456;2458563-2458828;2459148-2459199;2459306-2459332;2460474-2460653;2458395-2458456;2458561-2458605;2458643-2458827;2459148-2459192;2459315-2459322;2460269-2460272;2460474-2460567;2460605-2460644,confirmed-outburst,17,present,MARGINAL,0.9975,"[outburst-masked, 1072 pts removed] FAP=0.000 redNoiseRank=100.0 coherent=False alias=True",1,6.463,8.563387870788574,True,DN_candidate_AMBIGUOUS_BLEND,"13 cross-camera-confirmed outburst(s), amp 1.73;1.75;1.73;1.67;1.73;1.32;1.32;1.37;1.26;1.35;1.40;1.33;1.26 mag [BLEND CAUTION: neighbor at 6.46as G=8.56 within 10as and <=1 mag fainter; ASAS-SN match (sep=6.48as) coincides with bright neighbour G=8.56 at 6.46as -- light curve may BE the neighbour -- downgrade to ambiguous]"
6663145471983908608,eRASS1 1eRASS J192110.7-470329,13.95,290.293600958657,-47.056,True,False,395137573191,matched,803,362,11.08,14.399,13.922,43.9,0,,,none,0,none,not_screened,,,5,10.96,17.286462783813477,False,coronal_rotator,"quiet: 803 epochs, 11.08 yr baseline, floor 43.9 mmag"
870823207883023488,eRASS1 1eRASS J071213.0+251110,12.551,108.05449414982503,25.187,False,False,137439833972,matched,737,411,13.05,13.252,12.873,31.6,0,,,none,0,none,not_screened,,,1,5.162,18.861846923828125,False,coronal_rotator,"quiet: 737 epochs, 13.05 yr baseline, floor 31.6 mmag"
