sdss_id,gaia,cls,n,n_rv,rv_mean,rv_chi2,drv_max,drv_sig,med_erv,ew_ha_mean,ew_ha_chi2r,ew_ha_range,ew_he_mean,ew_he_chi2r,ew_he_range
57703607,891044910345346048,DA,2,2.0,1.2,0.8,9.2,0.9,7.4,15.43,0.45,0.22,1.05,5.94,0.67
57806207,902884554632220928,DA,3,3.0,-0.6,0.8,38.4,0.8,14.0,21.08,20.82,4.61,2.22,11.14,1.15
59428207,1154291122433663232,DA,2,2.0,3.2,11.4,79.5,3.4,16.6,11.68,15.21,3.99,0.85,1.99,1.11
61561307,1481027662804935552,DBA,6,6.0,10.9,52.7,74.1,5.3,13.4,2.13,6.6,1.46,3.46,12.99,2.33
61667907,1500004000845782912,DA,5,5.0,0.5,46.0,25.8,5.0,3.9,13.58,9.98,0.94,0.39,0.67,0.21
61730007,1511984378325392896,DA,2,2.0,-1.1,6.1,37.1,2.5,10.6,12.25,0.11,0.17,-0.29,3.95,0.76
61735507,1513052111491193728,DA/DA_MS,2,2.0,-4.2,2.3,31.3,1.5,14.5,-6.79,0.09,0.21,-1.64,1.05,0.49
62395107,1635330929920150912,DA:,4,4.0,11.8,15.7,45.8,3.6,5.0,2.81,78.45,2.61,-0.18,1.35,0.27
62441807,1643246107969374848,DA,2,2.0,-9.2,1.0,27.8,1.0,19.9,17.36,13.52,3.4,1.14,0.0,0.02
62496207,1652788047833370112,DA/DZ,3,3.0,-2.3,1.6,7.0,1.1,4.7,2.09,3.71,0.58,-0.01,1.44,0.29
62644207,1679931584012430336,DAH/DA,4,4.0,-33.7,20.3,133.4,4.1,20.2,-5.23,55.48,6.77,-0.42,3.01,1.37
63276807,1775243608460237696,DA_MS/DC_MS,2,2.0,-8.0,2.4,37.8,1.6,17.1,-25.01,3.19,1.14,-3.18,0.21,0.2
63289607,1777115527005620224,DA,2,2.0,3.3,4.7,60.2,2.2,19.3,14.96,0.01,0.06,0.26,35.54,3.64
63292507,1777570969633346176,DA/DZ,2,2.0,-0.8,4.1,14.0,2.0,4.9,1.83,6.44,0.64,-0.07,0.4,0.13
63293507,1777715207519622912,DA,2,2.0,17.9,2.0,52.7,1.4,24.5,9.35,13.62,4.02,0.14,3.31,1.49
63357807,1786408977241049856,DA,2,2.0,-0.1,1.9,39.9,1.4,20.4,18.99,14.38,3.32,0.42,16.16,2.83
63384607,1789823510603870208,DB:,2,2.0,-5.8,2.6,46.7,1.6,20.2,-0.53,9.98,2.41,3.73,10.42,1.61
63855907,1826483156750228352,DA,2,2.0,-1.2,0.2,8.3,0.5,12.0,16.72,23.61,5.95,2.12,0.05,0.19
64445207,1879147564661258240,DA,2,2.0,-1.0,0.7,12.8,0.8,10.7,15.64,5.33,0.54,0.65,0.3,0.12
65611607,1997463567092056576,DC:,2,2.0,1.1,0.4,15.7,0.6,17.4,-0.81,8.07,2.18,-0.36,7.55,1.56
65920407,2015399281796611584,DZ:,3,3.0,3.9,15.1,131.5,3.8,22.9,2.42,7.06,1.91,0.2,0.29,0.32
67180507,2082230523415549568,DA,2,2.0,2.3,0.1,5.9,0.4,11.0,20.23,6.8,4.24,-0.31,0.12,0.27
67186607,2082697605396564480,DA,2,2.0,-1.2,0.1,4.8,0.4,8.6,9.61,3.35,1.54,0.96,2.41,0.74
67562307,2115751643640408960,DA_MS,2,2.0,-4.7,0.8,16.7,0.9,13.6,8.59,15.16,1.69,1.09,3.29,0.65
67571007,2116814626571334400,DA,2,2.0,1.0,0.0,4.1,0.2,15.1,18.03,3.44,2.03,-0.61,2.02,1.24
67636607,2124039831008458496,DA_MS,2,2.0,5.8,0.0,0.2,0.0,22.9,5.63,35.24,2.55,0.07,0.37,0.21
67823507,2141922253765434112,DA/DZ,2,2.0,0.2,2.0,27.1,1.4,13.2,1.53,0.51,0.18,-0.91,43.31,1.33
68131307,2167406459409378432,DA:,2,2.0,2.1,2.0,35.3,1.4,17.5,2.82,0.01,0.06,0.57,4.03,0.66
68700507,2212561576584712960,DC:,2,2.0,43.1,10.6,139.5,3.3,30.2,-5.55,13.66,4.43,-2.34,0.33,0.46
68941407,2246435472549879168,DA,2,2.0,-0.5,0.3,24.3,0.6,25.2,17.04,16.74,3.23,0.56,12.23,2.4
