sdss_id,snr,uniqueness,worst_region,nearest,gaia,cls,G,plx,e_plx,g_mag,bp_mag,rp_mag,bprp,MG
92721625,21.7,1.03,4990,87504241,4792264314911712512,DC/DA,18.20211,6.472953,0.09982815,18.20211,18.06983,18.47542,-0.4055900000000001,12.257622268123212
79636294,14.7,1.03,8250,57740140,3772963636634067328,DA,18.96732,8.79448,0.3509738,18.96732,19.11985,18.66698,0.4528700000000007,13.688370827945803
94010458,15.3,1.03,4780,86566413,5004981258963810176,DAH/DA,18.83088,3.303137,0.2062936,18.83088,18.80781,18.91178,-0.1039700000000003,11.425512933716131
93778379,14.2,1.02,4990,88417291,4963240881290549888,DQ:,19.08533,7.39364,0.1789565,19.08533,19.42563,18.62014,0.8054900000000025,13.429621503690372
71981655,57.2,1.02,8250,71751564,2853763295814123264,DC,18.76273,17.62046,0.2057951,18.76273,19.34972,18.10518,1.2445400000000006,14.992816209612265
90013343,40.5,1.02,8250,63109238,4531191223145177472,DA,18.53007,4.082758,0.2217549,18.53007,17.59896,16.92169,0.67727,11.584838192317203
79721426,44.5,1.02,3880,62923299,3789963873105946752,DB/DBA,17.47629,8.010397,0.1056806,17.47629,17.47949,17.49269,-0.0132000000000012,11.994560202541509
79062953,13.5,1.02,8250,92695824,3667872216467245312,DA/DC,18.32793,13.19206,0.1571976,18.32793,18.6165,17.88866,0.7278399999999969,13.92949308947463
93684350,39.2,1.02,8250,79919643,4946188108780183296,DZ/DA_MS,19.81166,3.778494,0.5310969,19.81166,18.01956,16.94725,1.072309999999998,12.69825368461632
55766075,72.5,1.02,6400,90517331,577571774444224640,DA,17.45471,4.864572,0.1036935,17.45471,17.40477,17.62117,-0.2164000000000001,10.889933178607592
80849747,32.1,1.02,6400,116744842,4011141872667809792,DC:,18.93579,4.123703,0.2186265,18.93579,18.90251,18.84577,0.0567399999999977,12.0122268935012
76089320,32.6,1.02,8250,76299529,3250149572774793600,DA,18.20153,4.373911,0.1391975,18.20153,18.19906,18.25613,-0.0570699999999995,11.40587970900634
56303016,28.1,1.02,8250,66919948,664103442630068096,DA_MS,18.86161,3.343107,0.21162,18.86161,18.8206,18.68495,0.1356499999999982,11.48236138455707
68457205,55.7,1.02,8250,71097746,2190010593106909568,DA,16.72862,16.6972,0.05515637,16.72862,16.41705,15.7782,0.6388499999999997,12.841838246006509
109798415,10.8,1.02,6400,88579189,6367394809955051008,DQ:,18.72064,8.550903,0.1490039,18.72064,18.81566,18.63162,0.1840399999999995,13.380699899494312
110600288,12.1,1.02,4990,110947171,6466745168812781568,DA/DC,19.43799,2.363875,0.3536621,19.43799,19.33067,19.66282,-0.3321499999999986,11.30611253819174
