sdss_id,n_vis,chi2r,dv,dv_sig,vis,gaia,cls,g_mag,MG,bprp,dr19
70156670,9,5.71,92.3,3.1,59195:-32±11 59197:-30±14 59221:+13±10 59872:-38±28 60234:+49±12 60563:+1±22 60635:+4±13 60704:+54±15 60706:-38±26,2507707502918736512,DA,18.70227,11.54867301184026,-0.1748800000000017,False
70157686,10,1.61,71.6,2.8,59165:-9±17 59195:-17±16 59197:+14±27 59221:+14±10 59872:+12±16 59935:-6±25 60563:+15±17 60635:+13±19 60704:-10±19 60706:-57±19,2507898852301432960,DA,18.90014,11.815056370812613,0.0319399999999987,False
70168263,5,1.4,37.1,1.9,59166:-26±13 59191:+6±14 59203:+11±15 59220:+10±12 59222:+5±13,2510029396598315904,DA,19.04638,9.614917164644552,-0.4281800000000011,False
70168584,10,0.47,48.8,0.8,59166:+5±12 59191:-17±19 59220:-15±21 59820:+19±25 59878:+32±58 60228:+22±19 60539:+4±31 60611:+14±21 60614:-12±30 60675:-11±34,2510095264216433536,DA,19.48795,10.180562372590265,0.1107399999999998,False
70172628,7,1.91,96.8,1.9,59165:+21±22 59195:+34±13 59197:-26±37 59221:-46±28 59872:+12±14 59935:-62±50 60563:-4±22,2510893612737945728,DA,19.55659,12.113701147925294,0.1783099999999997,False
70173210,6,0.52,37.7,0.9,59165:-2±10 59195:+0±18 59197:-15±38 59221:-10±11 59872:-9±15 60563:+22±18,2510986521469852672,DA,19.94209,13.611338307709769,0.0415799999999997,False
70175111,3,6.09,114.6,3.4,60236:-103±31 60593:+11±11 60617:+7±10,2511332111718779264,DA,18.27631,11.875931122188938,0.1047699999999984,False
70259530,3,0.91,26.3,1.1,59912:+15±12 59925:-11±21 60610:-3±12,2528745524044330368,DA,18.90132,10.130077320581156,-0.2180900000000001,True
70261505,7,4.11,103.1,2.3,59845:-36±43 59905:-28±20 60225:+4±55 60285:-16±15 60530:+68±14 60607:-13±22 60668:+9±16,2529159077855409536,DA,19.79691,11.066991514173584,-0.1503699999999987,False
70267355,2,0.23,12.4,0.5,59912:+7±15 59925:-5±22,2530257318172454784,DA,19.2003,11.844630362335398,0.1094100000000004,True
70281655,5,1.55,62.0,2.2,59930:+45±24 59933:+32±28 60211:-17±16 60261:-5±22 60562:+18±18,2532849004518354560,DA,19.78188,11.938743858274156,0.0889000000000024,False
70285950,13,2.2,147.6,2.2,59163:-53±23 59164:-15±10 59192:+38±12 59218:-2±10 59934:-110±66 60211:-75±33 60263:-6±31 60265:+12±35 60281:-27±27 60282:+12±14 60538:+4±26 60609:-2±30 60674:+3±18,2533658451234555136,DA,18.85967,10.321704701614696,0.1018399999999992,True
70289454,8,1.16,101.0,2.5,59203:+2±15 59222:-7±10 60230:+21±26 60283:+71±35 60285:-11±21 60532:+5±16 60533:-30±21 60607:-26±35,2534272597198152832,DA,19.23957,10.327033150083434,-0.1948000000000007,False
70292650,4,0.13,14.7,0.5,59163:+11±18 59164:+3±10 59192:+1±11 60584:+15±30,2534834207121812224,DA,18.93447,13.654699192603744,0.5745399999999989,False
70301915,6,7.16,147.4,4.4,59910:+1±20 59911:+0±10 60284:+90±26 60534:-52±21 60538:+75±24 60608:-57±21,2536443651627449472,DA,19.12618,10.748898883288453,-0.0811399999999977,False
70308372,5,0.99,37.8,1.6,59910:-6±26 59911:+13±11 60225:+6±10 60284:-25±21 60608:-9±10,2537569315310965888,DA,18.34547,12.306613642248962,0.1647000000000034,False
70334851,2,6.29,40.1,2.5,59912:+12±10 59925:-28±12,2542432249083805056,DA,19.14596,10.680169822595357,-0.3014399999999995,True
70334930,3,0.57,30.5,1.1,59912:+16±15 59925:+31±21 60610:+1±19,2542446748892998912,DA,19.0885,11.776948972711253,0.1085200000000021,False
70342699,3,3.96,54.4,1.7,59167:+27±14 59193:-20±11 60675:+35±31,2543663770825935360,DA,19.77491,10.533978627283416,-0.0846599999999995,False
70356499,5,2.88,88.9,3.4,59189:+2±11 59190:-4±15 59844:-53±20 59897:+3±16 60532:+36±17,2546033488965366784,DA,18.94058,11.763610909600471,-0.0850200000000001,False
70361395,4,0.23,28.1,0.8,59882:+0±12 60228:-9±19 60614:-6±34 60677:+19±29,2546923818506210176,DA,19.20087,11.830552317320048,0.0090400000000023,False
70566085,2,0.76,19.0,0.9,60252:-9±19 60641:+10±11,2588832017731337984,DA,18.77957,11.583519939443631,0.1311,False
70574101,11,2.01,82.0,3.7,59199:+1±10 59219:+7±14 60230:-22±20 60281:+1±15 60337:+45±18 60338:-37±12 60558:+7±11 60620:-0±24 60635:+40±31 60702:-26±24 60703:-15±20,2590545396149818240,DA,18.53512,11.919567047171068,0.0786699999999989,False
