sdss_id,mjd,in_stack,xcsao,line,rv,e_rv,snr
55764036,59312,True,140.3,Hb,106.0,15.5,21.0
55764036,59313,True,-2.7,Hb,-29.5,15.3,18.5
55764036,59615,True,20.9,Hb,-51.4,26.2,12.8
55764036,59663,False,386.5,Hb,6.5,34.3,12.7
55764036,59255,True,3.7,Hg,48.4,17.9,23.7
55764036,59256,True,86.0,Hg,37.5,22.0,23.5
55764036,59257,True,-25.4,Hg,-116.0,24.3,16.1
55764036,59305,True,-90.5,Hg,-51.8,26.4,17.2
55764036,59306,True,39.7,Hg,-128.6,30.3,15.5
55764036,59311,False,497.8,Hg,-154.5,38.7,4.8
55764036,59312,True,140.3,Hg,101.5,16.7,21.0
55764036,59313,True,-2.7,Hg,-25.9,20.6,18.5
55764036,59615,True,20.9,Hg,-151.8,43.9,12.8
55764036,59663,False,386.5,Hg,10.5,29.0,12.7
69035736,59952,True,62.3,Ha,20.0,8.1,27.9
69035736,59978,True,-61.5,Ha,-43.6,12.9,20.4
69035736,59952,True,62.3,Hb,19.4,9.0,27.9
69035736,59978,True,-61.5,Hb,-35.6,13.8,20.4
69035736,59952,True,62.3,Hg,15.2,9.4,27.9
69035736,59978,True,-61.5,Hg,-29.2,12.4,20.4
75816443,59872,True,-651.1,Ha,-52.9,27.2,5.9
75816443,59878,True,34.5,Ha,9.4,22.6,7.0
75816443,59872,True,-651.1,Hb,33.1,18.6,5.9
75816443,59878,True,34.5,Hb,-17.5,15.8,7.0
75816443,59872,True,-651.1,Hg,12.5,30.7,5.9
75816443,59878,True,34.5,Hg,-4.2,15.9,7.0
75537046,59186,False,-246.6,Ha,243.3,41.1,2.7
75537046,59208,False,-313.3,Ha,-1.4,74.3,1.6
75537046,59209,True,31.2,Ha,41.0,32.6,6.8
75537046,59210,True,217.5,Ha,-59.9,23.0,7.2
75537046,59211,True,-441.5,Ha,218.3,23.3,5.1
75537046,59212,False,-107.8,Ha,-398.8,45.3,2.8
75537046,59302,True,-369.6,Ha,-105.6,81.9,3.1
75537046,60355,True,-45.4,Ha,-7.3,31.2,3.6
75537046,60371,True,-30.5,Ha,353.8,33.5,4.0
75537046,59186,False,-246.6,Hb,-29.8,25.1,2.7
75537046,59208,False,-313.3,Hb,-406.9,62.7,1.6
75537046,59209,True,31.2,Hb,5.0,18.6,6.8
75537046,59210,True,217.5,Hb,-42.0,26.6,7.2
75537046,59211,True,-441.5,Hb,32.1,51.0,5.1
75537046,59212,False,-107.8,Hb,-63.4,59.1,2.8
75537046,59302,True,-369.6,Hb,52.2,61.3,3.1
75537046,60355,True,-45.4,Hb,-71.7,56.9,3.6
75537046,60371,True,-30.5,Hb,51.3,34.4,4.0
75537046,59186,False,-246.6,Hg,-455.5,34.5,2.7
75537046,59208,False,-313.3,Hg,-252.6,99.0,1.6
75537046,59209,True,31.2,Hg,-12.0,18.3,6.8
75537046,59210,True,217.5,Hg,-23.7,28.2,7.2
75537046,59211,True,-441.5,Hg,-60.8,23.6,5.1
75537046,59212,False,-107.8,Hg,-328.0,44.8,2.8
75537046,59302,True,-369.6,Hg,142.2,31.8,3.1
75537046,60355,True,-45.4,Hg,66.1,23.7,3.6
75537046,60371,True,-30.5,Hg,19.2,47.9,4.0
80025249,59280,True,-145.9,Ha,-59.9,21.4,14.7
80025249,59281,True,258.5,Ha,96.0,33.4,8.7
80025249,59284,True,-127.4,Ha,136.2,23.7,7.9
80025249,59317,True,-20.2,Ha,-67.1,15.3,15.3
80025249,59318,True,62.6,Ha,107.8,46.0,6.3
80025249,59339,True,105.6,Ha,4.8,16.0,14.3
80025249,59340,True,266.2,Ha,70.9,15.4,9.1
80025249,59665,True,82.0,Ha,-1.8,30.7,13.0
80025249,59280,True,-145.9,Hb,-21.1,12.6,14.7
80025249,59281,True,258.5,Hb,170.3,23.0,8.7
80025249,59284,True,-127.4,Hb,97.5,34.6,7.9
80025249,59317,True,-20.2,Hb,-38.4,13.0,15.3
80025249,59318,True,62.6,Hb,160.5,35.7,6.3
80025249,59339,True,105.6,Hb,13.2,14.9,14.3
80025249,59340,True,266.2,Hb,38.3,22.3,9.1
80025249,59665,True,82.0,Hb,-62.8,16.0,13.0
80025249,59280,True,-145.9,Hg,49.1,14.4,14.7
80025249,59281,True,258.5,Hg,74.9,21.8,8.7
80025249,59284,True,-127.4,Hg,227.5,39.3,7.9
80025249,59317,True,-20.2,Hg,-86.9,15.1,15.3
80025249,59318,True,62.6,Hg,21.8,40.4,6.3
80025249,59339,True,105.6,Hg,-19.4,17.6,14.3
80025249,59340,True,266.2,Hg,51.8,26.8,9.1
80025249,59665,True,82.0,Hg,-90.7,15.9,13.0
70285950,59163,True,-585.0,Ha,-75.9,45.3,9.8
70285950,59164,True,-4.2,Ha,-6.0,20.2,15.5
70285950,59192,True,241.7,Ha,61.8,17.7,16.5
70285950,59218,True,135.6,Ha,-0.9,22.0,15.7
70285950,59934,True,135.4,Ha,-232.2,62.8,6.4
70285950,60211,True,0.3,Ha,-135.2,32.6,10.6
70285950,60263,True,172.9,Ha,-64.2,60.1,6.9
70285950,60265,True,-76.2,Ha,35.5,60.4,4.2
70285950,60281,True,254.5,Ha,323.7,106.6,5.7
70285950,60282,True,-441.5,Ha,36.2,38.1,9.2
70285950,60538,True,-239.9,Ha,-46.0,43.4,9.2
70285950,60609,True,31.1,Ha,-46.1,34.1,9.3
70285950,60674,True,104.9,Ha,22.5,34.3,9.9
70285950,59163,True,-585.0,Hb,47.4,19.7,9.8
70285950,59164,True,-4.2,Hb,-18.5,13.5,15.5
70285950,59192,True,241.7,Hb,31.6,16.4,16.5
70285950,59218,True,135.6,Hb,-4.0,10.5,15.7
70285950,59934,True,135.4,Hb,-93.0,33.0,6.4
70285950,60211,True,0.3,Hb,-69.0,16.1,10.6
70285950,60263,True,172.9,Hb,5.6,21.1,6.9
70285950,60265,True,-76.2,Hb,19.9,48.5,4.2
70285950,60281,True,254.5,Hb,-49.7,32.2,5.7
70285950,60282,True,-441.5,Hb,-9.1,24.7,9.2
70285950,60538,True,-239.9,Hb,43.5,22.9,9.2
70285950,60609,True,31.1,Hb,-13.0,24.5,9.3
70285950,60674,True,104.9,Hb,-19.4,22.0,9.9
70285950,59163,True,-585.0,Hg,-30.2,20.2,9.8
70285950,59164,True,-4.2,Hg,-21.1,11.1,15.5
70285950,59192,True,241.7,Hg,20.3,12.8,16.5
70285950,59218,True,135.6,Hg,-2.0,15.6,15.7
70285950,59934,True,135.4,Hg,-4.0,49.0,6.4
70285950,60211,True,0.3,Hg,-19.6,20.3,10.6
70285950,60263,True,172.9,Hg,39.6,38.7,6.9
70285950,60265,True,-76.2,Hg,-18.1,78.7,4.2
70285950,60281,True,254.5,Hg,-3.9,42.8,5.7
70285950,60282,True,-441.5,Hg,7.8,24.9,9.2
70285950,60538,True,-239.9,Hg,15.3,25.7,9.2
70285950,60609,True,31.1,Hg,54.3,25.4,9.3
70285950,60674,True,104.9,Hg,4.6,31.5,9.9
70334851,59912,True,-284.2,Ha,20.2,19.1,8.9
70334851,59925,True,294.3,Ha,-48.2,27.1,5.2
