sdss_id,li_depth,e_li,li_sig,ctrl1_sig,ctrl2_sig,cai_depth,cai_sig,gaia,cls,teff,G,plx,e_plx,g_mag,bp_mag,rp_mag,bprp,MG
100485982,0.1434931018911378,0.0329171437713537,4.359220924143886,-0.8497906974444245,-2.6761377526157517,-0.0233574312276872,-0.5842202078952274,5658647793625164672,DA,20676.56,19.1185,1.908753,0.2562906,19.1185,19.05843,19.34388,-0.2854499999999973,10.522248663242944
57427072,0.1387095321518522,0.0318320740639738,4.357539878585475,-2.315313995557149,-2.054687615321756,-0.0370022548650108,-0.6789101019938611,861610880989822464,DA,16382.04,19.84571,1.681501,0.317186,19.84571,19.76181,19.91839,-0.15657999999999817,10.974195649642962
71493319,0.1145498989991266,0.0262919052506218,4.356850441502996,-1.8472739047965032,-2.2250228732057304,0.2139436794746306,7.0927990434584665,2764263152393704832,DA,13670.76,18.5532,4.897004,0.1778371,18.5532,18.57782,18.56489,0.012930000000000774,12.002852293806853
63189202,0.2111431573867542,0.0484698409716094,4.356175988083564,-0.3995329402008907,-1.3607893606573684,0.0820600522874131,1.1741008926820118,1762681859912632192,DA,21104.83,19.3751,2.143059,0.3114484,19.3751,19.38062,19.46453,-0.08390999999999948,11.03027063827427
71013052,0.03676868019465,0.0084430711781713,4.354894021231442,-2.419742164007865,2.975886287102735,0.0179094248500264,1.591463377712786,2678494751434693120,DA,-9999.0,19.44115,3.256094,0.3345741,19.44115,19.60431,19.1202,0.48411000000000115,12.004634670109198
66970133,0.0781193208988715,0.0179468587055731,4.352813056616576,-2.9535474682536713,1.553904820293196,0.0557930624596003,2.3097400997401283,2069323455191269760,DA,32216.6,18.27863,3.985039,0.1166596,18.27863,18.19066,18.52931,-0.3386499999999977,11.280792880105967
94230283,0.1481320841012522,0.0340726725328001,4.347533465672599,-0.1655699095838218,-2.543035452607793,0.0645532560897571,1.1943587203434587,5046581629294424832,DA,9701.316,19.95157,3.148164,0.3453851,19.95157,20.0791,19.81707,0.2620299999999993,12.44185674175125
110326730,0.286172430177699,0.0658600431710383,4.345160075806663,-2.8293566583938903,-0.9696216903480356,-0.0843345980011558,-1.2417408998607666,6436098927890894464,DA,16570.08,18.91757,2.509201,0.1939173,18.91757,18.95175,18.95669,-0.004939999999997724,10.915247259730588
109627783,0.0690893503251142,0.0159099049785816,4.342536955319604,-0.2259828357414675,0.8688293136067812,0.0728089027191234,3.2723627428468545,6338156493669945728,DA,23074.32,18.70083,2.049124,0.1772873,18.70083,18.65965,18.91798,-0.25833000000000084,10.258671199732468
114786610,0.1357969001161023,0.0312975431320619,4.3388996875281505,-1.2444622314579734,-1.6341733515739747,-0.0032264804132492,-0.0643204174432561,6914352263672298880,DA/DAH,-9999.0,19.37768,3.300503,0.3136232,19.37768,19.47628,19.35949,0.11678999999999817,11.970580659203895
78905815,0.1825828095307997,0.0420858977666791,4.338337049218347,-2.999819051348991,1.6051838256427904,0.3443734832740563,5.982285186323955,3641395731656906880,DA,10354.37,19.86304,3.939798,0.7014499,19.86304,19.94474,19.76348,0.1812599999999982,12.84040977697778
111963763,0.1744959217266031,0.0402378063327084,4.336616173450764,-1.325925575637741,2.6157268391815083,-0.0475528923270658,-0.7789349906902316,6657819334574576512,DA,14427.22,19.21185,2.405716,0.2424485,19.21185,19.14337,19.15273,-0.00935999999999737,11.118071783113828
103862457,0.1057960634378042,0.0244446039312231,4.327992539190657,-2.1734366351205927,-2.788633230761433,0.1202414208054366,3.978666733768724,5889151271055112064,DA,37504.52,19.03256,1.534959,0.2616028,19.03256,18.93211,19.23154,-0.2994299999999974,9.963043898051161
88444339,0.0834881524102948,0.0193644728697044,4.311408473241281,-2.550621934380287,-1.0660696041380713,0.0747349059581923,3.393858569956796,4348186927259899520,DA_MS,-9999.0,16.55879,4.409413,0.05505184,16.55879,16.55027,16.47071,0.07956000000000074,9.780693890843873
110807265,0.0290951028326405,0.0067554270925862,4.306922779844808,1.576700825704204,-1.4550487495522886,0.0582878212996345,7.160094901287097,6490352374951350016,DA,19309.54,17.24625,5.461473,0.06214724,17.24625,17.1778,17.43074,-0.25293999999999883,10.932798954820417
78839878,0.0984152416830174,0.0228516989404905,4.306692554426971,-0.5504603513572721,-0.5810571684863468,-0.0856404571474712,-2.787016815639769,3630846952675757568,DA,24256.82,18.63758,1.784609,0.1820567,18.63758,18.58428,18.81896,-0.2346800000000009,9.895295394276676
62244461,0.0202389533634202,0.0047003197279771,4.305867373862725,-1.234064732522987,-0.6001690837857608,0.0179173934899317,2.696869913438155,1609100838792484352,DA,-9999.0,18.58904,5.166804,0.1335848,18.58904,18.60813,18.55371,0.05442000000000036,12.155149935623648
98243850,0.0396724769103341,0.009227371170563,4.299434386783591,-2.1110991978233713,1.3718488874566357,0.04389370083901,4.047676397820136,5465973365997831296,DA,7426.784,18.30689,9.245646,0.1773373,18.30689,18.47488,18.01882,0.45605999999999725,13.13657630513081
