sdss_id,gaia,nvis,snr_max,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,C_vis,status
95928905,5276355507685170176,3,50.5,0.15,400,-0.48,-200,0.80,400,0.60,-120,-0.4/-0.1/1.0,ok
55060867,487751127681587712,1,27.0,-1.30,400,0.08,10,-0.57,400,0.86,-100,-1.3,ok
109847372,6374601013460040960,1,6.3,0.50,400,-0.32,-200,1.94,400,3.54,-60,0.5,ok
92091221,4698316612595509120,1,13.8,-0.65,250,-0.66,200,0.98,400,0.87,-150,-0.6,ok
92227205,4720753899707034368,3,31.0,0.34,-200,2.45,-200,0.22,400,0.85,80,0.3/-0.2/0.9,ok
75796258,3210658271904603392,1,14.5,1.04,-200,1.57,-180,-0.16,400,1.91,-180,1.0,ok
63262999,1773051598886332288,2,30.1,2.20,400,-1.32,80,7.27,400,1.01,-200,2.1/1.0,ok
62042732,1571197447463852672,1,23.8,0.64,400,-0.87,-200,1.27,400,0.86,-200,0.6,ok
61268702,1431539400353140480,2,10.0,-0.87,220,-1.14,230,-1.10,230,4.54,400,-1.3/-1.3,ok
55744747,573109204641336192,1,27.6,0.91,400,-0.84,260,2.64,400,-0.24,400,0.9,ok
101562044,5757248083688768768,1,16.9,-0.85,400,0.03,170,-0.52,400,1.88,-200,-0.9,ok
116249996,250300351730361472,1,30.4,1.07,400,-0.01,-200,3.99,400,0.81,-190,1.1,ok
59276882,1127654456818737152,1,10.0,1.10,-40,2.62,20,0.86,400,0.42,-200,1.1,ok
83140522,4066181985975476224,1,24.0,-0.43,400,-0.02,30,0.39,400,0.92,-160,-0.4,ok
103121105,5863405759568472448,5,36.6,0.06,0,0.88,0,-0.52,400,1.52,-200,-1.8/-2.0/-1.9/-2.9/-1.2,ok
61181451,1418179960414350848,1,30.3,2.30,400,-0.37,400,2.56,400,0.81,-200,2.3,ok
73490516,3016946248899380352,1,23.0,-0.58,-200,0.20,-200,-1.45,-80,0.69,-50,-0.6,ok
68076453,2165003304944737024,3,30.5,1.17,400,-0.14,-200,2.27,400,1.05,-170,1.0/1.3/1.6,ok
69169766,2288146030264017152,2,9.4,2.60,360,2.78,340,3.54,400,1.42,-120,-1.3/2.5,ok
98399631,5486885321245384960,6,29.6,0.74,400,-0.12,-200,1.88,400,0.72,-130,0.4/1.1/0.6/0.8/0.3/0.8,ok
92031144,4689837385082533376,1,17.6,-1.95,400,-0.81,-200,-0.28,400,4.52,-150,-2.0,ok
58971154,1077728245141596672,1,31.1,0.46,400,-0.62,400,1.36,400,1.37,-200,0.5,ok
74854841,3115167855995516928,2,30.5,-0.30,400,1.06,-200,0.61,400,1.05,-120,-1.0/-0.0,ok
103254475,5867253260000919808,1,12.8,-0.80,400,-0.32,-30,-0.04,400,3.04,-100,-0.8,ok
69071089,2266775097632559872,5,7.6,-0.17,400,0.02,400,0.73,340,0.23,-200,0.1/-2.5/-0.8/-1.0/3.6,ok
98993079,5539656965938391040,1,27.1,-0.19,320,0.86,260,-0.05,400,1.00,10,-0.2,ok
69464215,2352663925176492416,1,5.0,2.36,-70,3.88,-70,1.06,-70,1.79,400,2.4,ok
59544548,1172412001772384640,1,30.8,0.62,400,-0.18,400,0.88,400,0.28,-200,0.6,ok
58044813,939826156756152320,1,17.5,0.94,340,-0.47,400,1.76,210,4.79,400,0.9,ok
106841877,6031868185223757696,1,5.9,-0.83,400,-0.34,400,-0.24,310,0.32,-20,-0.8,ok
95794414,5261612873523666432,1,4.3,0.88,50,1.27,50,2.29,400,0.05,-60,0.9,ok
92383045,4746835896066121216,1,26.6,0.50,400,-0.38,-200,3.11,400,1.14,-160,0.5,ok
65178212,1970694174110953088,1,23.9,0.01,400,0.12,-110,0.08,400,1.49,-160,0.0,ok
61778302,1521938879862178048,1,32.2,-0.32,400,0.11,220,0.35,400,1.06,-130,-0.3,ok
67899538,2150403267985591936,1,32.5,-0.26,400,-0.52,-200,0.58,400,1.02,-190,-0.3,ok
82589747,4060276715235838208,1,14.1,0.30,-200,0.35,-190,0.63,-200,-0.03,120,0.3,ok
86843345,4253237329431317888,2,28.3,0.88,400,0.08,400,1.09,400,0.31,-130,0.8/1.3,ok
110665780,6473605468535303680,1,17.2,-1.38,400,-1.26,400,0.51,400,2.31,-100,-1.4,ok
107548087,6083518366722814976,1,44.4,0.34,-200,1.44,-200,-0.08,400,1.27,190,0.3,ok
79659999,3777587701503756672,1,11.5,-5.13,-200,-1.91,-200,4.10,380,0.70,-150,-5.1,ok
87871390,4307523413856074240,1,13.5,2.17,-200,1.28,-190,1.24,-200,0.41,100,2.2,ok
68438287,2188315562785829760,1,22.8,-0.23,400,-0.62,-200,1.05,400,0.78,-180,-0.2,ok
59133909,1103470389330008320,1,14.3,-0.14,370,-1.40,150,1.65,390,0.08,-200,-0.1,ok
62819177,1713172569298950272,1,4.9,0.31,400,0.73,400,-0.27,-200,-0.46,-130,0.3,ok
75793221,3210106802399223552,3,41.6,-0.37,400,-0.14,-200,0.36,400,0.51,-100,0.1/-2.3/-0.2,ok
95218013,5223743390963767808,2,15.3,-0.11,400,-0.02,-200,0.89,400,0.27,-60,-0.3/0.1,ok
100256887,5637775145919233664,1,29.4,-0.79,400,0.35,-200,0.25,400,1.39,10,-0.8,ok
61909117,1546566875176841600,1,30.6,4.95,400,-0.67,370,10.08,400,0.17,400,4.9,ok
76584893,3336267854652196736,1,24.5,0.75,400,-0.11,400,1.36,400,0.35,-110,0.8,ok
106690939,6025667214519447552,1,22.5,-0.75,140,-0.43,210,0.23,30,0.32,-190,-0.7,ok
94320664,5063199441879178112,1,16.2,-0.29,-200,-0.20,180,0.28,-130,1.43,10,-0.3,ok
62822840,1713887634110332800,1,26.6,2.23,400,0.08,400,2.01,400,1.19,-200,2.2,ok
90952170,4641562811667056128,2,22.0,0.39,370,0.48,-200,0.94,400,2.71,-80,0.8/-0.5,ok
90760022,4610398254090893440,3,110.3,0.71,400,-0.17,-200,1.10,400,0.75,-190,0.7/0.8/0.6,ok
93989941,5000777280550276608,1,30.5,0.18,400,0.01,-200,1.08,400,3.41,-50,0.2,ok
102542424,5833829618400001280,1,10.0,0.07,400,-0.29,400,1.15,340,1.17,70,0.1,ok
95149743,5217503391894253184,1,6.4,-0.50,400,-0.64,400,0.65,150,5.12,-200,-0.5,ok
78934942,3646515371328553088,2,31.3,-1.21,400,-0.52,40,0.71,400,0.50,-60,1.7/-0.7,ok
91822605,4681593453054007552,1,6.0,1.31,400,1.63,400,1.59,400,0.31,90,1.3,ok
92208825,4717669559136849920,2,15.1,0.12,-200,1.50,-200,0.24,400,0.36,-20,0.5/-0.6,ok
82086742,4054719714674862976,1,17.5,3.98,-130,6.03,-90,-0.97,-200,0.32,130,4.0,ok
92087403,4697477375985942272,1,27.8,0.02,400,0.72,120,0.17,400,1.21,-110,0.0,ok
73811587,3040628664213536384,1,19.9,0.79,400,-0.36,400,1.43,400,0.75,-90,0.8,ok
93195582,4865160076111301248,1,11.6,-0.22,-200,1.54,-200,0.15,400,-0.40,-70,-0.2,ok
107162694,6055289741397636992,2,10.9,-2.46,-200,-0.93,350,-0.35,-200,0.39,-30,-2.6/-0.1,ok
90852504,4624397648451741184,3,45.5,0.00,400,0.40,-200,0.28,400,0.69,-60,-0.3/-0.2/-0.0,ok
72222070,2889408466356008448,1,14.6,0.71,400,0.22,400,0.72,400,0.37,170,0.7,ok
77512278,3426248729470155648,1,30.5,0.57,400,0.69,120,0.86,400,0.96,-140,0.6,ok
109972188,6394065113754275712,1,24.3,1.58,400,1.13,350,1.07,400,0.97,-150,1.6,ok
95858978,5269064302481971328,3,30.9,-0.72,400,-0.58,400,-0.31,400,1.14,-40,-1.3/-1.6/0.6,ok
57254842,830718869154219776,1,6.8,-0.19,80,0.05,-200,1.77,400,0.77,20,-0.2,ok
