sdss_id,gaia_dr3_source_id,ra,dec,plx,e_plx,pmra,pmde,g_mag,bp_mag,rp_mag,snr,n_boss_visits,classification,p_da,p_dq,p_hotdq,p_db,p_dah,teff,e_teff,logg,e_logg,result_flags,telescope,ebv,bp_rp,MG,cmd_off,is_control
117229524,389240069855119104,8.024533,46.820656,4.828422,0.17851214,34.132973,-17.723015,18.029902,18.036615,18.12259,21.031204,2,DA,0.9467561,0.0,0.0,0.0,0.041178606,17075.453,195.03314,8.725611,0.034967225,0,apo25m,0.022695525,-0.08597499999999769,11.448928100273005,-0.3073543997270036,False
76039952,3241377183676037120,80.644646,7.872063,15.630166,0.050808597,-7.9603157,-38.162655,15.940437,15.897013,16.065321,51.410603,3,DA,0.8743331,0.004,0.0,0.002,0.006092355,19403.328,63.807545,8.4815035,0.012571783,0,apo25m,0.005165187,-0.16830800000000146,11.910254952316397,0.4256713523164013,False
57760250,897123526019047424,110.69515,35.759678,3.390577,0.3578646,-10.591144,-20.453772,19.626516,19.671547,19.726355,9.592485,3,DA,0.8353521,0.0019731435,0.0039603193,0.0029125188,0.051172413,15286.379,668.62573,8.49692,0.046824124,0,apo25m,0.014362137,-0.0548080000000013,12.277884058261181,0.41875045826118473,False
79081048,3671147588591832960,213.15956,4.4064097,6.375388,0.1966265,-50.436447,11.556487,18.34355,18.409363,18.342382,18.710104,2,DA,0.9845558,0.0,0.0,0.0,0.005972742,11985.807,6.31468,8.593517,0.031626657,0,apo25m,0.013282267,0.0669809999999984,12.366083103280012,0.10504580328001722,False
92833916,4807134591202642304,81.152115,-40.69916,2.1204164,0.32928222,-1.0095845,20.70653,19.992092,19.898638,20.274206,6.450907,2,DA,0.76114815,0.0,0.002,0.004247722,0.03819663,21509.629,475.56317,8.24095,3.05661e-05,1,lco25m,0.008831208,-0.37556800000000123,11.624197772720915,0.8235721727209189,False
89907764,4519630403831822720,287.50388,21.12097,8.321325,0.12658317,26.392029,12.140112,18.426367,18.497093,18.422834,21.931238,4,DA,0.9641579,0.0,0.0,0.0,0.0058931382,10932.197,47.775024,9.021081,0.029269297,0,apo25m,0.010719231,0.07425899999999785,13.027329421340985,0.7422747213409924,False
87797681,4303394468516841216,299.2681,10.945989,8.488383,0.12887402,1.7488574,-17.134356,18.02377,18.089785,18.018583,13.294849,1,DA,0.87398183,0.0,0.0011772151,0.007737773,0.015972743,11807.194,126.553246,8.738058,0.039049227,0,apo25m,0.010102045,0.07120199999999954,12.667894834575963,0.3929282345759635,False
64037052,1839592285956826240,315.20172,23.663088,3.128536,0.40573454,15.692194,13.330652,19.760048,19.867147,19.774637,7.43272,2,DA,0.81697965,0.0,0.0036766229,0.010387723,0.031785868,14573.468,477.06833,8.585093,0.07873551,1,apo25m,0.081995204,0.09251000000000076,12.236753783800232,-0.10852921619977174,False
57413663,859137082906676224,171.50491,59.479313,8.458817,0.22024605,0.1784852,61.753418,19.234217,19.455095,18.852053,30.80787,5,DA,0.61733437,0.0019731435,0.0039822063,0.004736394,0.035516776,6491.862,23.419966,9.489482,0.038793214,0,apo25m,0.0061040088,0.6030419999999985,13.870765147170973,-0.15927345282902294,False
92221602,4719875866657386496,44.31397,-65.47433,8.049324,0.15905261,-9.644476,-43.54707,18.973352,19.239483,18.632505,10.491243,2,DA,0.8459314,0.0,0.0029077698,0.0022678045,0.035931762,7260.255,69.195404,9.49,0.0004229882,0,lco25m,0.0064337812,0.6069780000000016,13.502149044449714,-0.5408783555502925,False
77733969,3443661244145061120,88.10617,29.442646,4.284537,0.41107672,11.856174,-19.212116,19.62059,19.727076,19.572042,6.947425,2,DA:,0.42182207,0.0037139202,0.023279449,0.046019763,0.08768186,7166.137,121.79835,9.217005,0.185254,1,apo25m,0.081389114,0.15503400000000056,12.780109488111375,0.22849728811137204,False
61891810,1543370904111505408,190.9234,48.093044,12.510556,0.058301535,-84.77645,31.37207,16.977076,16.96794,17.025206,18.403183,1,DA,0.9525694,0.0,0.0,0.0,0.025795473,15134.837,295.2633,8.427292,0.02485735,0,apo25m,0.00551367,-0.05726600000000204,12.463459056207366,0.6124368562073723,False
86699823,4245573076153938432,307.10962,4.828515,2.5993857,0.35264984,8.114165,4.7033005,19.406084,19.33425,19.68457,9.700404,2,DA:,0.42610514,0.0045952247,0.010924814,0.048524376,0.06895499,81933.016,5625.921,8.7230215,0.22058055,0,apo25m,0.039120853,-0.35031999999999996,11.480437627119494,0.5964936271194929,False
63748381,1821713711499447040,300.97305,17.219408,3.2148435,0.14770672,15.860963,8.164851,18.462513,18.435171,18.586256,15.512122,3,DA,0.54223794,0.0,0.0039603193,0.040905688,0.007692176,20447.578,212.30801,8.519329,0.04066456,0,apo25m,0.017730478,-0.15108499999999836,10.998312180639115,-0.5431073193608906,False
55923307,602527596018121600,128.7936,11.909805,3.7200694,0.2275944,-25.28383,-15.581059,18.78579,17.962217,17.607292,13.298388,1,DA,0.5811253,4.9261085e-05,0.0016766229,0.010338694,0.017972741,8777.475,74.9154,9.49,0.12120817,0,apo25m,0.009130274,0.35492499999999794,11.638545209834087,-1.5727072901659067,False
94807686,5159828299002029184,45.659286,-11.892432,5.4391785,0.42684695,18.087572,26.61829,19.758123,19.797411,19.510231,6.410159,2,DA,0.57738817,0.0017669217,0.03514047,0.030247625,0.04558727,6853.4907,121.332405,7.538988,0.41236013,1,apo25m,0.008576945,0.2871799999999993,13.43578955744502,0.44809555744502205,False
100572963,5672721714258270848,152.03516,-17.848358,5.431165,0.22876227,-5.201287,8.476383,18.617685,18.67905,18.444653,17.5645,1,DA,0.9824353,0.0,0.0,0.0,0.0039727422,10614.703,41.226738,8.5,0.04352265,0,lco25m,0.01291109,0.2343970000000013,12.292149984779748,-0.5213601152202578,False
67616160,2121486455770725888,274.5786,46.069855,2.6582003,0.19814347,-1.265003,10.185446,19.170069,19.09862,19.401522,12.754119,2,DA,0.97671175,0.0,0.0,0.0,0.005972742,18406.797,192.88663,8.195904,0.04549996,0,apo25m,0.014596455,-0.30290199999999956,11.29300751340838,0.2525841134083784,False
114355931,6863204322778109184,310.0815,-15.109282,5.591812,0.15604407,-48.535156,-37.17209,17.801277,17.854914,17.622677,19.998762,2,DA,0.7219365,0.0,0.0,0.0,0.002,11381.973,67.14291,8.735907,0.025717089,0,lco25m,0.020967422,0.23223700000000136,11.539039808739002,-1.267342291261004,False
93901799,4984982349342542976,19.824238,-40.94523,4.650798,0.3082745,16.165041,-2.4558077,19.841885,19.948223,19.762157,6.5283365,1,DA,0.7003162,0.0,0.00567403,0.014242678,0.023402201,9894.896,109.44149,8.657617,0.08196626,1,lco25m,0.009341626,0.1860660000000003,13.179522385161896,0.5255045851618938,False
109723474,6355136118594792704,327.05823,-78.47189,5.448047,0.08867993,16.706646,-8.383035,17.863302,17.724377,18.157818,7.652542,1,DA,0.6314535,0.0,0.002,0.009539055,0.052260656,37199.016,12.434528,8.326025,0.15229891,1,lco25m,0.008572385,-0.4334409999999984,11.544506227776768,0.9348615277767625,False
79009917,3658885937997488384,208.7852,-0.81211793,2.825658,0.29051983,-6.744865,-15.306652,19.31974,19.455975,19.207674,5.8714643,1,DA,0.7366555,0.0,0.005991103,0.0062375916,0.06534695,10851.431,156.44104,8.766275,0.1567598,1,apo25m,0.024500847,0.24830099999999788,11.575337982005475,-1.2840553179945182,False
76110597,3254119801887062272,65.188324,-0.8850508,4.882119,0.33702073,-9.558886,-19.388563,19.179121,19.214409,19.262203,19.186665,4,DA,0.8725833,0.0,0.0,0.0,0.09175625,15756.653,336.16928,8.651728,0.035261687,0,apo25m,0.01715205,-0.04779399999999967,12.622162804956735,0.7398830049567344,False
