sdss_id,gaia_dr3_source_id,tic_v8_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_db,p_dba,p_dah,teff,e_teff,logg,e_logg,snr,telescope,n_visits,min_mjd,max_mjd
79182352,3687319308692216832,1002746090,200.9592,1.051156,18.5491,5.526712,0.2247903,DA,0.9269082,0.0007149321,0,0.01970929,12523.53,178.7649,8.584782,0.06213562,10.75947,apo25m,1,60359,60359
93231527,4871203163816397952,686068050,67.37465,-32.94297,18.78999,3.50366,0.1430529,DA,0.9940255,0,0,0.004,12022.75,91.56286,8.490712,0.0329289,14.75756,lco25m,1,60612,60612
67436992,2103911964996825472,1716432767,286.209,41.50457,17.42767,7.339816,0.06592183,DA,0.9901936,0,0,0.004,12402.54,93.91204,8.167962,0.03216485,21.77775,apo25m,1,60591,60591
111188246,6549307668740461696,2055875375,349.6961,-38.03246,18.64885,4.443102,0.1974782,DA,0.996174,0,0,0,12278.54,74.25701,8.19053,0.03112029,21.77077,lco25m,1,60613,60613
93714785,4951565884575263232,631871846,35.89647,-39.52898,18.74581,4.55536,0.1785346,DA,0.9021353,0.001830272,0,0,10710.06,60.65478,8.135073,0.03229523,16.18415,lco25m,1,60621,60621
92523320,4763453669994228352,685152629,79.34638,-57.24241,19.23678,5.999134,0.1887839,DA,0.5381094,0,0,0.01991823,12297.39,173.0974,9.067684,0.04032315,11.2833,lco25m,2,60286,60287
63595566,1811360228969665280,1942025315,310.486,17.17638,19.03099,2.519122,0.2231617,DA,0.9782661,0,0,0.007763807,10570.99,54.42898,8.199999,0.07688058,12.32499,apo25m,2,60464,60465
111599118,6628148016866624768,2028373385,339.0867,-21.13033,18.55453,4.870337,0.1914891,DA,0.9943479,0,0,0.002,11585.93,68.32616,8.322477,0.02743142,18.99976,lco25m,4,60533,60585
74228537,3066000891453132160,803234078,125.8415,-4.834862,18.99767,4.638246,0.3355034,DA,0.9216713,0,0.002,0.02559741,10987.45,80.2984,8.5,0.06046246,13.37987,lco25m,2,60321,60322
95220097,5223876848479600128,805523410,136.0312,-67.69962,18.96278,4.170179,0.1859245,DA,0.9631836,0,0.001917991,0.009904504,11078.75,99.22417,7.916046,0.09157826,9.629131,lco25m,2,60399,60401
78947790,3648745245334321664,1102732745,221.3961,-2.092443,19.73846,3.030412,0.4274514,DA,0.9578208,0,0,0.009918959,10529.05,87.25176,8.340236,0.05251777,9.541313,apo25m,3,59636,60089
114797774,6915371991986967936,1997308726,314.4873,-4.146963,18.05969,7.81349,0.1189131,DA,0.9182707,0.0008991498,0.001958137,0.005972742,10155.45,41.63208,8.268385,0.04662126,16.23047,apo25m,1,59872,59872
93341595,4888694233447201536,686287740,62.21849,-29.56211,16.98203,6.458568,0.054064,DA,0.9964941,0,0,0,12321.48,42.74545,7.741185,0.01834555,45.2254,lco25m,1,60609,60609
98985370,5538874491621993600,770358706,118.2621,-38.43386,18.71407,4.615602,0.144388,DA,0.7930279,0.002883605,0,0.02793176,11055.6,119.8623,8.583153,0.08072714,8.040998,lco25m,1,60227,60227
64847710,1939690450160577152,2042187247,358.2626,48.09457,18.52534,3.135572,0.1436353,DA,0.9240791,0.001517215,0.005583438,0.005986277,11700.91,115.7497,8.459268,0.05523906,12.38071,apo25m,2,60585,60586
55772988,578471346753982080,800041301,134.635,3.425017,17.03641,9.560529,0.08568989,DA,1,0,0,0,11485.2,28.94105,8.249507,0.01132771,66.95636,apo25m,3,59305,59664
67234741,2086381244225378816,1881886573,297.138,47.25942,19.50202,5.211575,0.2286997,DA,0.8613872,3.699593E-06,0,0.04892245,12546.65,247.6218,8.781,0.07683211,8.477684,apo25m,2,60445,60448
63172728,1760752079566321536,1937549481,317.067,16.02425,18.73537,4.035054,0.2605907,DA,0.9091391,0.001839128,0.001958137,0.04566492,12617.19,199.6172,8.293819,0.06259928,9.192198,apo25m,1,60256,60256
90231194,4553714027336591360,1506951400,263.2656,18.52287,18.63642,4.302768,0.1652121,DA,0.9903889,0,0,0.00595902,12173.63,88.57649,8.032515,0.03469583,16.77503,apo25m,2,60462,60463
75630770,3184608337477329024,671694620,71.73691,-10.75205,17.19036,10.2599,0.08759375,DA,0.998174,0,0,0,10001.02,19.52125,8.253413,0.01623307,42.8632,apo25m,2,60700,60704
74322917,3074603225614954496,803631177,133.3565,0.08733611,18.28759,5.183451,0.1523968,DA,0.9925219,0,0,0.002,12282.66,42.58717,8.193536,0.01751848,57.79564,apo25m,3,59200,59251
94376953,5074045295155810176,651481716,50.19936,-24.86423,18.10239,6.550837,0.123571,DA,0.9693819,0,0.001958137,0.006,10664.59,69.68597,8.22992,0.04119256,11.7528,lco25m,1,60632,60632
76231349,3284769066467783040,672964550,62.92359,5.398494,17.24162,7.834648,0.08220702,DA,1,0,0,0,11647.58,46.55753,8.096659,0.01719171,35.77707,apo25m,2,60263,60265
86610865,4237439198368608000,1984738540,301.1605,0.7928236,18.21824,5.390752,0.1531811,DA,0.9790154,0,0,0.01197274,12697.18,147.0251,8.07355,0.05032586,14.38338,apo25m,1,59731,59731
69259746,2307452247560650112,2051740445,358.7695,-37.79106,18.53942,4.060386,0.1991234,DA,0.9645889,0,0,0,10727.38,54.51075,8.231421,0.03425451,18.4482,lco25m,1,60615,60615
69550462,2371096623435497088,610332047,10.77047,-15.05309,17.81375,7.45907,0.1250381,DA,0.9407393,0.003830272,0,0.014,10679.67,98.45799,8.599138,0.05240372,10.0963,lco25m,1,60194,60194
59752975,1204873051062881408,1200157560,242.432,20.38653,17.3229,4.749641,0.07421664,DA,0.7610577,0.008048272,0.002323115,0.007731476,10969.9,65.36835,8.105892,0.04580517,23.81144,apo25m,1,60106,60106
56402006,674840998308400768,740240392,116.5915,22.14191,18.41621,5.588138,0.1754218,DA,0.9843479,0,0,0.012,10213.18,40.21677,8.271113,0.03938708,16.21792,apo25m,1,60708,60708
104231764,5912184729630710272,1511162806,263.8975,-61.18896,19.21277,3.133801,0.2921632,DA,0.8424633,0.007904149,0.003754317,0.02268625,13107.99,522.306,7.666927,0.07180477,8.109205,lco25m,1,60056,60056
