sdss_id,gaia_dr3_source_id,tic_v8_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_db,p_dba,p_dah,teff,e_teff,logg,e_logg,snr,telescope,n_visits,min_mjd,max_mjd,TeffHe,loggHe
93142746,4856108316571915776,651101920,54.44045,-39.26313,17.16273,4.848307,0.05630916,DB,0.002314214,0.8869335,0.04080981,0.002,-9999,-9999,-9999,-9999,35.46328,lco25m,1,60614,60614,19879.87,7.946161
76208912,3279453756677568896,672851514,69.31201,2.725387,17.4147,5.562819,0.08327704,DB,1.123715E-05,0.8982921,0.02760328,0,-9999,-9999,-9999,-9999,44.20653,apo25m,3,60623,60625,20344.64,8.206987
67922829,2153171490371192704,1717778826,283.3586,56.37327,19.43509,2.238678,0.2259289,DB/DBA,0.1359453,0.2340129,0.1900456,0.004007034,-9999,-9999,-9999,-9999,13.05853,apo25m,3,59367,59386,23343.13,8.423103
99312238,5568381153160018560,737978129,94.78284,-43.20953,18.36798,2.600591,0.1152455,DB,0.004380417,0.8791063,0.03660882,0,-9999,-9999,-9999,-9999,22.63742,lco25m,1,60702,60702,24486.22,7.933768
110483857,6452090053203922560,2026719623,322.0147,-60.75537,17.94747,2.957067,0.09590423,DB,0.01081818,0.7248418,0.03433135,0.001972742,-9999,-9999,-9999,-9999,20.79089,lco25m,4,60138,60206,27018.55,7.932067
71014144,2678721796291234560,2024673846,334.3718,0.1425802,18.68156,3.126262,0.2278652,DB,0.00018179,0.9424915,0.01660096,0,-9999,-9999,-9999,-9999,56.13313,apo25m,15,59167,60620,22947.87,8.367736
105156464,5949946185176604288,1521612233,262.0777,-48.56078,16.24576,8.864312,0.05183624,DBA/DB,0.01525208,0.3857677,0.499053,0,-9999,-9999,-9999,-9999,35.58334,lco25m,1,60118,60118,20272.48,8.225662
62936019,1734452208106381056,1935301877,313.6327,3.725348,19.62597,2.004177,0.4239164,DBZ/DB,0.0319754,0.2532053,0.07692426,0.002,-9999,-9999,-9999,-9999,8.392756,apo25m,1,59866,59866,21852.02,8.280181
88749680,4392521194594237312,1307342530,253.4988,5.002593,18.92247,2.890064,0.2055849,DBA/DB,0.05172613,0.3759187,0.3952534,0.003877771,-9999,-9999,-9999,-9999,12.53785,apo25m,1,60035,60035,19333.35,8.165731
56459399,682607398690857600,801173425,123.0994,25.81187,19.49194,2.185312,0.4721335,DB,2.471679E-06,0.9554828,0.03263126,0,-9999,-9999,-9999,-9999,28.13744,apo25m,5,59201,60676,27664.81,8.502618
57815231,904435140904831616,801745187,124.7675,35.71546,18.37237,3.228702,0.1720394,DB,0.005038143,0.8341689,0.019434,0.0004887218,-9999,-9999,-9999,-9999,31.97244,apo25m,1,59230,59230,24392.91,8.262702
78981064,3653999948842237568,1002417373,215.077,0.4754359,18.40021,2.573273,0.1890987,DB,0.006927706,0.8628954,0.0426665,0.002,-9999,-9999,-9999,-9999,18.37855,apo25m,2,60032,60049,29995.93,8.127218
110440296,6447629609407849088,1988755624,301.2569,-57.74535,19.11873,0.5204282,0.2891059,DB:,0.07738924,0.2366323,0.1360986,0.006932911,-9999,-9999,-9999,-9999,20.29441,lco25m,2,60094,60095,24458.96,6.400193
58641038,1017275545362167936,802183780,134.8624,51.74385,19.66503,1.422927,0.3739114,DB,0.00210133,0.8957853,0.07199196,0,-9999,-9999,-9999,-9999,26.64496,apo25m,16,59232,60595,21521.44,7.866302
99131583,5552095049489425920,737743422,96.56442,-48.85398,19.28504,1.83419,0.2161285,DB,0.009429895,0.7124031,0.09491676,0.002,-9999,-9999,-9999,-9999,16.05527,lco25m,2,60376,60377,20040.53,7.902331
58229905,960103517699387392,703880153,94.48347,42.2836,17.50928,4.411363,0.1065578,DB,0.002799259,0.8535938,0.02612568,0,-9999,-9999,-9999,-9999,41.01884,apo25m,9,59242,59294,20783.77,8.014628
71005546,2677011334154974720,2024647762,332.9444,-1.240965,17.05601,4.81169,0.09950878,DB,6.577595E-06,0.9637069,0.01537711,0,-9999,-9999,-9999,-9999,71.24946,apo25m,5,59383,60611,25725.84,7.985549
