angDist,source_id,ra,dec,main_id,ra.1,dec.1,coo_err_maj,coo_err_min,coo_err_angle,otype,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,f150w,f200w,f444w
0.203089,1395293935119779584,228.4312709565437,44.57678393513392,BSO 29,228.4313118243,44.5767356127,0.0,0.0,90,WD*,19,15 13 43.51484,+44 34 36.2482,A,2020yCat.1350....0G,WhiteDwarf,*|blu|Opt|UV|V*|WD*|WD?,-23.0,7.0,-7.67e-05,2.33e-05,DA,,2.4166,0.0624,-6.55,10.873,0.061,0.069,90.0,,,,17.2,17.36,,,,,17.128,17.217,17.589,17.902,18.111,,,
0.288238,105601048101988992,30.8455847788714,25.98100285987218,GALEX J020322.9+255852,30.8455971608,25.9810821484,0.0,0.0,90,WD*,6,02 03 22.94332,+25 58 51.8957,A,2020yCat.1350....0G,WhiteDwarf,*|UV|WD*|WD?,,,,,DA,,8.0069,0.1572,-2.504,-17.84,0.17,0.172,90.0,,,,,,,,,,,,,,,,,
0.250855,2780903539324180736,8.054738883255395,16.076395173445263,GALEX J003213.1+160434,8.0547206494,16.0763277302,0.0,0.0,90,WD*,9,00 32 13.13296,+16 04 34.7798,A,2020yCat.1350....0G,WhiteDwarf,*|blu|Opt|UV|V*|WD*|WD?,,,,,DO,,2.4077,0.0531,3.942,15.175,0.063,0.047,90.0,,,,,,,16.7,,,14.999,15.51,16.022,16.409,16.744,,,
0.465682,5057652057822489088,47.878878010780646,-31.88083570057454,2QZ J031130.9-315250,47.8788487522,-31.8807087529,0.0,0.0,90,CV*,13,03 11 30.92370,-31 52 50.5515,A,2020yCat.1350....0G,CataclyV*,*|CV*|MIR|Opt|UV|WD*|WD?|X,,,,,DA,,3.6527,0.0816,5.59,-28.563,0.182,0.206,90.0,,,,,,,,,,,,,20.005,,,,
0.184293,357457350520905216,26.648907016930192,49.24526434957298,ATO J026.6489+49.2452,26.6488576713,49.2453041357,0.0,0.0,90,CV*,16,01 46 35.72584,+49 14 43.0949,A,2020yCat.1350....0G,CataclyV*,*|CV*|EB*|MIR|NIR|Opt|V*|WD*|WD?,,,,,D,,17.6436,0.0822,7.248,-8.952,0.084,0.076,90.0,,,,,,,16.569,16.141,,,17.174,16.975,17.139,17.254,,,
0.618117,381335822504421376,10.255021316804982,41.74135152215778,PSO J010.2550+41.7413,10.2550712652,41.7415191278,0.0,0.0,90,WD*,9,00 41 01.21710,+41 44 29.4689,A,2020yCat.1350....0G,WhiteDwarf,*|Gl?|Opt|WD*|WD?,,,,,DA,,6.8583,0.1234,-8.386,-37.711,0.101,0.098,90.0,,,,,,,,,,18.58,18.114,18.038,18.087,18.144,,,
0.140618,5055036663256963072,49.86843249238185,-31.670234133652716,GALEX J031928.3-314013,49.8684724603,-31.6702149337,0.0,0.0,90,WD?,2,03 19 28.43339,-31 40 12.7738,A,2020yCat.1350....0G,WhiteDwarf_Candidate,*|UV|WD?,,,,,,,4.9965,0.1079,-7.654,-4.32,0.086,0.107,90.0,,,,,,,,,,,,,,,,,
0.066223,5575611644702244992,101.97320821185605,-40.6322485944605,Gaia DR3 5575611644702244992,101.9732095935,-40.6322669598,0.0,0.0,90,WD*,5,06 47 53.57030,-40 37 56.1611,A,2020yCat.1350....0G,WhiteDwarf,*|V*|WD*|WD?,,,,,DO:,,1.1592,0.0801,-0.236,4.132,0.097,0.095,90.0,,,,,,,,,,,,,,,,,
0.073505,1004340654352214656,98.30762274978098,57.93593289817627,GALEX J063313.8+575609,98.3076531683,57.9359453936,0.0,0.0,90,WD*,5,06 33 13.83676,+57 56 09.4034,A,2020yCat.1350....0G,WhiteDwarf,*|UV|V*|WD*|WD?,,,,,DA:,,1.6237,0.1004,-3.633,-2.811,0.077,0.066,90.0,,,,,,,,,,,,,,,,,
4.260786,5139880551029408768,24.63439628296984,-19.912219231762876,G 272-60,24.6333972077,-19.9129392509,0.0,0.0,90,WD*,25,01 38 32.01533,-19 54 46.5813,A,2020yCat.1350....0G,WhiteDwarf,*|blu|HS*|NIR|PM*|UV|V*|WD*|WD?,93.1,1.4,0.0003106,4.7e-06,DA6,,41.0228,0.0314,211.352,162.005,0.03,0.02,90.0,,,,16.3,,,15.232,15.101,15.18,,,,,,,,
