hip,source_id,Sn,Hpmag,pmRA,pmDE,Plx,ra,dec,phot_g_mean_mag,parallax,ruwe,astrometric_excess_noise,non_single_star,dist_pc
102431,2190258605992864896,7,4.6297,-62.32,-236.0,36.64,311.3375057842007,57.57867088856138,4.32131,35.23373573308592,14.96711,5.256139,0,28.38188966323429
50685,1073264537170851840,7,5.9466,-54.28,-33.74,8.11,155.26325619516697,68.74750463579039,5.8277864,7.692737032154326,1.4971057,0.37490317,0,129.99274456154825
58591,1683737616526993920,1,6.7914,-3.9,12.97,10.85,180.21947824873985,70.23791353030687,6.74596,8.830172073045908,7.913291,2.3034332,0,113.24807622407485
73566,6224441294579350784,1,5.8857,81.54,-33.59,9.83,225.5272295450318,-28.06076123503607,5.8000913,8.627032551869043,7.691567,2.2232537,0,115.91471273437475
54029,3758364188096835712,1,5.6682,-81.61,-108.01,9.63,165.8116239885699,-11.303942971638879,5.2645917,10.362226910657014,1.4007156,0.5389198,0,96.50435264755221
96754,4195035162353549184,7,7.6614,67.39,-189.18,17.04,295.02266849674095,-7.980630788532389,7.410208,16.58827503751413,13.912606,2.7554674,0,60.283543511215925
42313,594595517273147648,1,4.1512,-70.19,-7.9,20.34,129.41372353647762,5.703754203252759,4.136101,18.430135068748182,3.3071747,2.1923904,0,54.258962089523216
12272,19757227518759424,1,6.4932,87.92,-39.5,13.55,39.503518313049916,7.695089967359215,6.2924495,14.105098869725817,14.877601,2.5999887,0,70.89634813878044
69160,3723316052370291072,7,8.0856,-92.87,-154.18,17.58,212.36013128226404,10.242865378720944,7.8098555,16.836956892274845,15.449197,2.6852248,0,59.39315556832133
88657,4576646442581655040,1,5.0243,-12.67,-5.83,4.42,271.50785870747734,22.218845094748822,3.955155,5.545070932819421,1.5241909,1.1812196,0,180.34034408493034
84062,1432617510160019200,1,7.1209,-2.71,-66.67,35.08,257.78507886229846,56.65889196470552,6.8092947,35.69019232278293,34.332497,5.3230476,0,28.01890197049029
6567,4935479621439659136,1,12.1493,-256.06,-361.93,29.49,21.09053316824876,-44.13795240546462,11.227906,30.887802658273525,1.4216673,0.18622486,0,32.3752392186481
