PSRJ,RAJ2000,DEJ2000,pmRA,pmDE,Plx,PB,A1,Ecc,OM,medM,minM,BINCOMP,Dist,Assoc
J1045-4509,10 45 50.19,-45 09 54.1,-6.07,5.2,2.2,4.0835292548,3.0,0.00002367,242.3,0.185749,0.158989,He[bhl+94],0.34,""
J1056-7117,10 56 45.98,-71 17 53.4,,,,9.1387994,4.0,0.000013,153.0,0.146842,0.125985,He[nbb+14],5.27,""
J1101-6424,11 01 37.19,-64 24 39.3,,,,9.6117082,10.0,0.0000257,86.0,0.565842,0.474296,CO[ncb+15],7.86,""
J1125-5825,11 25 44.37,-58 25 16.9,-10.0,2.4,,76.40321683,30.0,0.00025724,260.128,0.309648,0.263128,He[bbb+11],2.98,GRS:2FGL_J1125.0-5821[kjb+12]
J1125-6014,11 25 55.22,-60 14 06.6,,,,8.75260353,8.0,7.9e-7,273.0,0.327812,0.278278,He[lfl+06],1.94,""
J1141-6545,11 41 07.01,-65 45 19.1,,,,0.1976509593,2.0,0.171884,42.4561,1.21326,0.988303,CO[abw+11],3.0,OPT:[abw+11]
J1142+0119,11 42 00.00,+01 19 00.0,,,,1.58,,,,,,He[rap+12],2.04,GRS:2FGL_J1142.9+0121[naa+12]
J1157-5112,11 57 08.17,-51 12 56.1,,,,3.5073864,10.0,0.000402,143.4,1.45562,1.175115,CO[eb01b],1.88,""
J1216-6410,12 16 07.34,-64 10 09.2,,,,4.03672718,3.0,6.8e-6,177.0,0.182044,0.155852,He[fsk+04],1.71,""
J1227-4853,12 27 58.72,-48 53 42.7,,,,0.287887519,0.7,,,0.247764,0.211292,MS[dcm+14],2.0,"XRS:XSS_J12270-4859[rbr14],GRS:2FGL_J1227.7-4853[hsc+11]"
J1227-6208,12 27 00.44,-62 08 43.8,,,,6.721013337,20.0,0.0011492,27.116,1.575627,1.266701,CO[btb+15],15.82,""
J1231-1411,12 31 11.31,-14 11 43.6,-60.5,-14.3,,1.860143882,2.0,4e-6,320.0,0.215269,0.183932,He[rrc+11],0.45,GRS:2FGL_J1231.2-1411[naa+12]
J1232-6501,12 32 17.84,-65 01 03.3,,,,1.86327241,2.0,0.00011,129.0,0.166349,0.142552,He[eb01b],10.0,""
J1244-6359,12 44 47.69,-63 59 47.4,,,,17.170748,20.0,0.000179,144.0,0.685806,0.571475,CO[ncb+15],12.05,""
J1300+1240,13 00 03.58,+12 40 56.5,45.5,-84.7,1.3,25.262,0.000003,0.0,0.0,0.0,0.0,ULT[wol94],0.6,XRS[pkgw07]
J1301+0833,13 01 38.26,+08 33 57.5,,,,0.27,,,,,,UL[rap+12],0.91,"GRS:2FGL_J1301.5+0835[naa+12],OPT:[lht14]"
J1302-6350,13 02 47.64,-63 50 08.7,-6.6,-4.4,,1236.724526,1000.0,0.8698797,138.665013,4.139869,3.131578,MS[jml+94],2.3,""
J1311-3430,13 11 45.72,-34 30 30.3,,,,0.0651157335,0.01,,,0.009486,0.00821,UL[rfs+12],3.72,"GRS:2FGL_J1311.7-3429,OPT:[rom12]"
J1312+0051,13 12 00.00,+00 51 00.0,,,,38.5,,,,,,He[rap+12],1.15,GRS:2FGL_J1312.7+0051[naa+12]
J1312+1810,13 12 55.00,+18 10 00.0,,,,255.8,80.0,,,0.352225,0.298595,"",17.2,GC:M53
