HIP,Gaia,RA_ICRS,DE_ICRS,d_pc,dpmRA,dpmDE,chi2,trif_name,trif_n_rv,trif_timespan_d,trif_rvc_std_mps,sep_arcsec
115004,2762224039359326336,349.38513901864,9.693258741,34.836408226966164,-0.0015,0.0008,12490.0,HIP115004,14,70.88022000016645,40.12061483271343,1.8973679211735965
4849,2552288133874677760,15.60380152888,5.06253523835,22.492330115430637,-0.0067,-0.0052,12190.0,HD6101,35,8935.711709999945,378.78803989632394,6.417070583239233
86722,4556066746008265344,265.81460781042,21.60639756833,21.860647118876013,0.0059,0.015,12100.0,HD161198,3,390.8694599997252,387.9754681501568,10.379824396084675
115572,2643710842096990336,351.1630478254,-1.74149898414,69.49946485412062,0.0029,-0.0003,11830.0,HD220554,3,323.0161000001244,552.0229216856246,2.5567182068577177
116559,2640924129876538240,354.32275729593,-1.51998431417,62.634664528736785,0.0005,-0.0003,11750.0,HD222038,4,3307.8668399997987,2202.385986888538,1.2316108327673667
110626,1908880970419883904,336.15870265656,39.43108634784,46.3136639202664,0.0018,-0.001,11700.0,HD212585,4,7.066980000119656,32.83074001095112,3.0350075376340335
94423,4293485158653831168,288.27901520524,4.93558120338,70.88830130363586,0.0,0.0,11060.0,HD179596,6,282.1281799999997,44.332928601661315,0.2208576392668008
22729,3413702683319612288,73.34195789638,24.17727273149,99.24868743610867,0.0,0.0,10670.0,HD31018,13,3469.3495200001635,13.046911627877343,0.43534751040491465
111854,2007288291910064512,339.85632001601,57.32228661076,38.42710186640434,0.0034,-0.0021,10630.0,HIP111854,5,1012.1586400000378,443.49954297383437,5.008688678970141
79364,6043470682894375808,242.96294640789,-25.88381195541,123.59411692003462,-0.0003,0.0005,10200.0,HD145428,8,1838.8418700001203,2641.2729509501087,2.2920771986915103
36906,924370390524853120,113.81706360493,40.50639430786,125.5981612429194,0.0,0.0,10030.0,HD60234,3,2452.247560000047,1101.3798067425848,0.1957866785418965
85653,1362295082910131200,262.56957008653,47.40254319193,21.651770248735538,0.0176,0.0058,9819.0,HD159062,82,6868.120280000381,67.88109916806836,3.0040491199647246
81946,1432108161398528000,251.0858965378,59.96347881404,181.9273382211145,0.0,-0.0002,9796.0,HD151522,15,5531.930840000045,1485.1933221857428,0.47651159469250937
103256,1758463038092175232,313.78119506629,13.1785226422,23.60288616091976,0.0274,0.0119,9270.0,HIP103256,25,3995.9768599998206,1744.5681811125237,11.029523216732057
49350,3773112865272176512,151.11220789053,-7.21933360183,31.301549739727616,0.0002,0.0001,8954.0,HD87359,69,8737.963740000036,118.09289329202062,3.9565773732054295
65312,6193336248058440832,200.79057694272,-24.73408496798,105.66133429132942,-0.0006,0.0004,8917.0,HD116321,33,6466.193889999762,157.9497737417322,1.7825234644849486
8486,2461045711199481472,27.34655595055,-10.70395461818,23.923444976076556,-0.0008,0.0,8717.0,HD11131,15,4670.157120000105,2132.273353495763,2.8310624764513785
101597,1754663916181432704,308.85963170449,11.35877611829,40.9782323629688,0.0011,0.0041,8406.0,HD196201,27,8382.140739999712,654.9423862653288,6.042382760019856
62345,3529518709839090176,191.62722964121,-11.81223453349,31.219755861509164,-0.0044,0.0017,8191.0,HD111031,92,8719.031640000176,42.07047973426485,4.568029114980637
4696,2784702111479778560,15.08834153249,17.22618496596,91.8982502573151,0.0001,-0.0002,8012.0,HD5873,5,2992.9028599997982,2650.0028628118125,0.7537790607752269
64150,3729017810434416128,197.21297766457,5.20420674762,26.40773007074631,-0.0024,0.0162,7756.0,HD114174,66,8045.934060000349,299.60564191708755,11.00716993732234
4041,563920276727925376,12.96237476195,78.62579430747,42.31120739261416,-0.0002,-0.0097,7511.0,HD4741,10,4046.9928500000387,2031.8020816063315,2.934719558633726
75676,1391009653702531072,231.91775798413,42.88015964604,32.194091740283824,0.0002,-0.0031,6909.0,HD138004,21,7262.005720000248,3634.8034490879913,4.181236310554863
39064,670853314448533888,119.89224806024,20.84148129441,23.98829371266822,0.0028,-0.0166,6870.0,HD65430,62,8315.22256999975,682.0946396878201,9.245518450359523
108921,2197988653786178176,330.95083578791,55.84952590969,70.28789923526766,0.0006,0.0003,6341.0,HD209706,5,6231.878820000216,2191.138985580833,1.2687114194552427
20741,3313689422030650496,66.6676790633,16.74677431835,45.76219219205477,-0.0024,0.0005,6294.0,HD28099,3,4618.301199999638,124.61236187607284,1.8116628495732925
473,386653851004022144,1.42675635644,45.81135867264,11.520697509109992,-0.0111,-0.0494,6209.0,HD38A,29,7337.929590000305,10.663735470727657,14.871332589735484
26196,3442723120208243072,83.75456538616,28.09728549409,32.789680431774514,-0.0065,0.0052,5851.0,HIP26196,9,1603.343299999833,597.5118829639383,5.451994523966625
50316,741184091114529792,154.11667380268,28.68204448914,33.34845129792173,0.0017,0.002,5837.0,HD88986,75,9178.811410000082,13.35172033888996,1.9026254216270844
55915,3812756203689026048,171.91027675079,3.97669258416,28.72580927786188,-0.0002,0.0,5684.0,HIP55915,4,752.0292200003751,73.80987522626404,1.588636231344884
53541,732983005681390592,164.29936619845,28.93725094664,27.47298032385149,0.0079,-0.0091,5460.0,HIP53541,6,4965.6566300000995,1183.5660310719327,6.353568699876477
116838,2826159850241446784,355.21539264656,20.3661176195,25.376781767289835,0.0042,-0.0001,5307.0,HIP116838,13,3754.954490000382,120.47041038075571,3.612001277100946
95703,2125809426261599616,291.98892234187,42.77735780318,89.5543774179682,0.0015,0.0019,5234.0,HD183473,25,5580.642969999928,102.31951107571486,2.8121572111042257
104367,6808014821953109504,317.15419427349,-21.68311634266,86.03260635780961,0.0003,0.0,5192.0,HD201203,24,6679.953799999785,354.3554598390193,1.00946253018929
80315,4358441419374546304,245.95776710474,-2.97511585524,41.66145898429363,-0.001,-0.0013,5168.0,HD147752,3,1.8439400000497699,3.3870592456190267,1.128977446368598
54406,3536409383570998144,166.99620577816,-23.85850206308,158.11026609957784,0.0001,0.0,5127.0,HD96683,11,2256.8906600000337,421.31389615448563,0.4698996178302637
72360,1591677019762324224,221.94334244411,49.55948610995,104.01173252342865,-0.0005,-0.0009,5075.0,HD130666,7,1060.1996700000018,229.11792947041386,1.301309356725795
51579,3890713708401628800,158.02300396415,17.98965178448,56.23348141483439,0.0001,-0.0001,5071.0,HD91204,29,8393.960390000138,1187.0518342917865,0.41710493778281504
77052,4423865487962417024,236.0073924582,2.51458255692,14.792746228959167,0.0014,0.0044,4965.0,HD140538A,223,7521.550820000004,11.25604030790411,2.206018339909379
76543,1165262633571848064,234.49729758215,10.23832565463,47.32450888990899,-0.0031,0.0069,4783.0,HD139457,24,8075.950729999691,168.65468677433566,5.942548448336254
44766,1037703444910272512,136.85909096425,58.8746252856,110.21955735825765,0.0,-0.001,4746.0,HD77818,12,5679.370170000009,32.89846190380887,1.5824940931607137
81662,4564397470723536512,250.23471701458,21.948185581,47.432479864912295,-0.0009,-0.0001,4735.0,HD150554,28,7274.995490000118,572.9705296467223,1.5120395387620904
68513,1483085742413652224,210.39216008818,36.22401327497,109.84424086645137,0.0002,-0.0012,4610.0,HD122517,9,1246.6018099999055,2009.8957308187103,2.68388847399434
104239,6885342959337741184,316.79502255366,-13.92315393188,17.38404839719074,0.0188,-0.0003,4553.0,HD200968,44,8061.9952799999155,60.64165299733733,6.2318574507672775
28267,3022685626580347392,89.59006977023,-4.65158561938,24.0751529975973,-0.0112,0.0306,4514.0,HD40397,92,8607.374850000255,66.40549363535077,3.501411549398603
102815,1843877121426321920,312.44395225386,25.77089649623,47.89524352336569,0.0006,-0.0002,4403.0,HD198483,4,406.73139999993145,928.7610447429414,1.1112299438841915
117946,2847644410526748416,358.86182142166,22.19263780455,25.474137382022903,0.0016,-0.0027,4263.0,HIP117946,19,4990.272750000004,26.820830698592708,4.046469227478171
1444,2423292879948720000,4.49710455061,-13.45564190749,26.923915706604706,-0.0109,0.0023,4141.0,HD1388,53,8815.87948999973,138.2449203361359,6.367695232156924
38216,5712673641791603968,117.43844311536,-20.20818653484,50.1713351093986,0.0007,0.0029,4059.0,HD63754,36,9128.143699999899,23.332397135827435,2.0643560290502982
55427,3817499634290280832,170.26061119809,7.06422302159,107.6368333243636,-0.0001,0.0001,4016.0,HD98630,29,5613.612269999925,1841.297429426707,0.8574532662957217
70776,6273218997632055168,217.1240620275,-22.97493490503,91.41854150858876,0.0001,0.0002,3832.0,HD126831,6,293.0661700000055,216.64300724963792,0.6665136657808375
54908,842375204236601216,168.63938963231,52.94672534118,119.98032322699078,0.0004,-0.0005,3797.0,HD97601,15,5172.947059999686,1857.0956885625956,0.7347631256272488
5176,2584834502690477312,16.55339028212,13.25269578145,54.66273095003826,-0.0008,-0.0003,3492.0,HD6512,9,5378.117130000144,50.685138995019486,2.6709048005684237
82059,4563055963458318208,251.43202615499,19.64287610712,59.213642823306486,-0.001,0.0002,3447.0,HD151329,8,644.218039999716,7883.839625327984,2.1745338481116927
63510,3737308025029348608,195.19115786919,12.37559564212,11.507347441341297,-0.0172,-0.0061,3393.0,HIP63510,67,6950.9681900003925,940.219986231549,9.959639369488434
5476,404047781359072640,17.52939089343,51.74264365163,91.86110600771634,-0.0006,-0.0006,3212.0,HD6872B,33,6971.928109999746,2749.378356674927,1.1447372868126355
64194,1556555732153431680,197.3438884384,51.15489963168,123.73481155188202,-0.0005,-0.0004,3173.0,HD114375,7,5960.692989999894,1956.85738357797,1.0338830874921052
63257,3524996177995941632,194.43152190755,-14.46342180371,25.317865805184088,-0.0035,0.002,3143.0,HIP63257,4,351.04839999973774,136.37847743045822,5.8061461855969805
49769,5446332686714616448,152.37996684128,-35.85669612917,31.73223074408908,0.0131,0.008,3041.0,HD88218,44,8072.932610000018,210.59560907403994,7.009224416660314
109169,2301133839569478144,331.70959721246,85.40971939246,72.28724057916537,0.0066,-0.0052,2907.0,HD211681,22,7645.0212600003,430.15514532710785,1.918567711742128
14563,5159658909787243648,47.00597529175,-12.04112444112,98.8982732361493,-0.0022,-0.0004,2812.0,HD19522,11,2123.196690000128,233.22394574976843,2.503431559789532
63762,1728599752525089408,196.02211550292,87.11622913306,25.39843799606324,-0.0254,-0.002,2789.0,HIP63762,7,4382.881180000026,422.3462081159303,3.269690230401839
