run,camcol,field,ra,dec,mjd_r,mjd_g,mjd_i
5224,2,391,214.691868159828,21.3032957025105,53462.2552784401,53462.2585955,53462.25610771
5224,2,392,214.848973124518,21.2718656987357,53462.25569308,53462.25901014,53462.25652234
5224,2,393,215.005993327128,21.2402849843126,53462.25610771,53462.25942477,53462.25693697
5224,2,394,215.162944810712,21.2085607604475,53462.25652234,53462.2598394,53462.25735161
5224,2,395,215.319829526665,21.1766898099466,53462.25693697,53462.26025403,53462.2577662401
5224,2,396,215.476653579088,21.1446672274788,53462.25735161,53462.26066867,53462.25818087
5224,2,397,215.63341915504,21.1124992995293,53462.2577662401,53462.2610833,53462.2585955
5224,2,398,215.790107722468,21.0801910038959,53462.25818087,53462.26149793,53462.25901014
5224,2,399,215.946726154247,21.0477345184482,53462.2585955,53462.26191256,53462.25942477
5224,2,400,216.103273280859,21.0151240508974,53462.25901014,53462.26232719,53462.2598394
5224,2,401,216.259758103951,20.982367642315,53462.25942477,53462.26274183,53462.26025403
5224,2,402,216.416172374467,20.9494609033013,53462.2598394,53462.26315646,53462.26066867
5224,2,403,216.57250737448,20.9163993258664,53462.26025403,53462.2635710901,53462.2610833
5224,2,404,216.728763914075,20.8831836260229,53462.26066867,53462.26398572,53462.26149793
5224,2,405,216.884948051901,20.8498190872401,53462.2610833,53462.26440036,53462.26191256
5224,2,406,217.041071007124,20.8163110773958,53462.26149793,53462.26481499,53462.26232719
5224,2,407,217.197120087851,20.7826580296936,53462.26191256,53462.26522962,53462.26274183
5224,2,408,217.35310980915,20.7488648242934,53462.26232719,53462.26564425,53462.26315646
5224,2,409,217.509022115916,20.7149333391555,53462.26274183,53462.26605889,53462.2635710901
5224,2,410,217.66486718502,20.6808638093601,53462.26315646,53462.26647352,53462.26398572
5224,2,411,217.820642281321,20.6466553901981,53462.2635710901,53462.26688815,53462.26440036
5224,2,412,217.976347625685,20.6123088770065,53462.26398572,53462.26730278,53462.26481499
5224,2,413,218.131965289329,20.5778358349176,53462.26440036,53462.26771742,53462.26522962
5224,2,414,218.28750502622,20.5432221188785,53462.26481499,53462.26813205,53462.26564425
5224,2,415,218.442967357731,20.5084564385195,53462.26522962,53462.26854668,53462.26605889
5224,2,416,218.598346364455,20.4734929196218,53462.26564425,53462.26896131,53462.26647352
5224,2,417,218.753654120061,20.438380241558,53462.26605889,53462.26937595,53462.26688815
5224,2,418,218.908874917745,20.4031162143039,53462.26647352,53462.26979058,53462.26730278
5224,2,419,219.064018222829,20.3676770553354,53462.26688815,53462.2702052099,53462.26771742
5224,2,420,219.219162278289,20.3321554708661,53462.26730278,53462.27061984,53462.26813205
5224,2,421,219.374242121566,20.2965252194451,53462.26771742,53462.27103448,53462.26854668
5224,2,422,219.529258410909,20.2607580462294,53462.26813205,53462.27144911,53462.26896131
5224,2,423,219.68419300484,20.2248424030412,53462.26854668,53462.27186374,53462.26937595
5224,2,424,219.839040066854,20.1887861617479,53462.26896131,53462.27227837,53462.26979058
5224,2,425,219.993802289961,20.1525950273191,53462.26937595,53462.27269301,53462.2702052099
5224,2,426,220.14847989113,20.1162638360902,53462.26979058,53462.2731076401,53462.27061984
5224,2,427,220.303066358593,20.0797808945854,53462.2702052099,53462.27352227,53462.27103448
5224,2,428,220.457563920093,20.0431351503713,53462.27061984,53462.2739369,53462.27144911
5224,2,429,220.612014134524,20.0063499702124,53462.27103448,53462.27435154,53462.27186374
5224,2,430,220.76641560187,19.969449218438,53462.27144911,53462.27476617,53462.27227837
5224,2,431,220.920741836985,19.9324299502532,53462.27186374,53462.2751808,53462.27269301
5224,2,432,221.07497593866,19.8952871006427,53462.27227837,53462.27559543,53462.2731076401
5224,2,433,221.229137867187,19.857995388414,53462.27269301,53462.27601007,53462.27352227
5224,2,434,221.383233916273,19.820565180389,53462.2731076401,53462.2764247,53462.2739369
5224,2,435,221.537305736122,19.7829456364278,53462.27352227,53462.27683933,53462.27435154
5224,2,436,221.691295664613,19.7452007491493,53462.2739369,53462.27725396,53462.27476617
5224,2,437,221.845174022598,19.7073574121986,53462.27435154,53462.2776685901,53462.2751808
5224,2,438,221.99895666879,19.6693897190172,53462.27476617,53462.27808323,53462.27559543
5224,2,439,222.152663515771,19.631293969599,53462.2751808,53462.27849786,53462.27601007
5224,2,440,222.30630722668,19.5930434697437,53462.27559543,53462.27891249,53462.2764247
5224,2,441,222.459886750697,19.554631062169,53462.27601007,53462.27932712,53462.27683933
5224,2,442,222.613383915377,19.5160762200519,53462.2764247,53462.27974176,53462.27725396
5224,2,443,222.766814353666,19.4773722532969,53462.27683933,53462.2801563901,53462.2776685901
5224,3,364,210.507334150256,22.5061624889793,53462.24408337,53462.24740043,53462.24491263
5224,3,365,210.666661386191,22.4788415471477,53462.244498,53462.24781506,53462.24532727
5224,3,366,210.825915609725,22.4513607428225,53462.24491263,53462.24822969,53462.2457419
5224,3,367,210.985112953406,22.4237153632568,53462.24532727,53462.24864432,53462.24615653
5224,3,368,211.144252739691,22.3959135745204,53462.2457419,53462.24905896,53462.24657116
5224,3,369,211.303324094917,22.3679588111401,53462.24615653,53462.24947359,53462.24698579
5224,3,370,211.462336260976,22.3398602506747,53462.24657116,53462.24988822,53462.24740043
5224,3,371,211.621277654337,22.3116075852283,53462.24698579,53462.25030285,53462.24781506
5224,3,372,211.780171307144,22.2831861581677,53462.24740043,53462.2507174901,53462.24822969
5224,3,373,211.938992307485,22.2546069015727,53462.24781506,53462.25113212,53462.24864432
