ra,dec,mjd,mag_auto,filter,class_star
249.49972373147375,-28.93689399339585,56417.25929708313,20.987106,r,0.55018
249.49980866717337,-28.936008389110363,56417.25929708313,19.574287,r,0.976313
249.4988743388436,-28.93591240052502,56417.25929708313,21.659893,r,0.875829
249.49868648877003,-28.93801002044746,56417.25929708313,20.151049,r,0.15054
249.49817368322283,-28.936793333814542,56417.25929708313,16.73944,r,0.98298
249.50031468965497,-28.94324627123131,56417.25929708313,22.384289,r,0.717806
249.4990250910837,-28.943309714297673,56417.25929708313,17.764948,r,0.9838
249.4991899706323,-28.944525124965978,56417.25929708313,20.789825,r,0.973931
249.49765271142365,-28.93519123040258,56417.25929708313,22.960955,r,0.692109
249.4973660974304,-28.93850714935531,56417.25929708313,22.982107,r,0.638282
249.49722002990174,-28.934347338601928,56417.25929708313,22.160732,r,0.873173
249.49601678452072,-28.943597878031305,56417.25929708313,22.334694,r,0.847349
249.49390305103475,-28.9378418999131,56417.25929708313,22.941061,r,0.501604
249.4952520131678,-28.935915172222945,56417.25929708313,22.270174,r,0.363763
249.49458934874127,-28.93615701863437,56417.25929708313,21.97214,r,0.677075
249.50420773507062,-28.939148941341806,58617.20833692234,19.862564,i,0.917012
249.5033120771353,-28.936142255239336,58617.20833692234,20.614218,i,0.007938
249.50324355943522,-28.94120071979119,58617.20833692234,21.257093,i,0.967489
249.5031687185041,-28.939568281515363,58617.20833692234,20.394356,i,0.980982
249.5031516246344,-28.93784559058765,58617.20833692234,20.352503,i,0.981138
249.50261960045594,-28.942551812588928,58617.20833692234,21.467924,i,0.967066
249.50266063433418,-28.93668819826056,58617.20833692234,22.730482,i,0.692072
249.50198514510183,-28.940197361712816,58617.20833692234,19.806053,i,0.983854
249.50196418865116,-28.93599100435887,58617.20833692234,19.6511,i,0.983515
249.50215876722157,-28.93890656539012,58617.20833692234,22.764599,i,0.579474
249.50118418979642,-28.939338079511955,58617.20833692234,20.951124,i,0.976325
249.5003062309963,-28.93814834480208,58617.20833692234,16.141356,i,0.988086
249.49734451156294,-28.938544917784537,58617.20833692234,20.700039,i,0.978607
249.49726376062924,-28.940834625964136,58617.20833692234,21.244337,i,0.94729
249.49981420972088,-28.93601106447199,58617.20833692234,19.214184,i,0.985771
249.49973118715562,-28.936896715241033,58617.20833692234,20.705368,i,0.95526
249.4985778595113,-28.940605548332442,58617.20833692234,16.632303,i,0.989804
249.49886946719053,-28.935907401276747,58617.20833692234,20.93476,i,0.891263
249.49857471982102,-28.939227734991594,58617.20833692234,18.827522,i,0.98468
249.49865758677362,-28.938037046500547,58617.20833692234,19.584215,i,0.216591
249.49816905889833,-28.936784207880187,58617.20833692234,16.324839,i,0.985006
249.498845824855,-28.93436663266404,58617.20833692234,20.848297,i,0.9692
249.50028688026188,-28.93490525421863,58617.20833692234,18.994099,i,0.986435
249.4995600486155,-28.934590379370494,58617.20833692234,22.14082,i,0.939773
249.5004950193537,-28.939881296144907,58617.20833692234,22.11746,i,0.939485
249.50027939755586,-28.943267298628104,58617.20833692234,22.02504,i,0.938616
