ra,dec,mjd,mag_auto,magerr_auto,filter,fwhm,class_star,exposure
244.12548418913815,-26.74538367388666,56353.310142841656,20.131367,0.047391,r,1.687656,0.963819,tu2037331
244.1253312503161,-26.75054316911106,56353.310142841656,20.550383,0.04634,r,1.73774,0.940627,tu2037331
244.12384128282497,-26.742454650222893,56353.310142841656,18.358866,0.008464,r,1.470893,0.982991,tu2037331
244.12328565281976,-26.744531250042375,56353.310142841656,21.862385,0.167132,r,1.642363,0.470555,tu2037331
244.11914955008666,-26.745402019817988,56353.310142841656,19.678446,0.028291,r,1.555709,0.980838,tu2037331
244.1254728778343,-26.745390388398313,57193.214673734736,20.222078,0.019254,r,1.499828,0.980946,c4d_150620_051227_ooi_r_v2
244.1294082764883,-26.7467547804208,57193.214673734736,21.873419,0.095078,r,1.829096,0.884064,c4d_150620_051227_ooi_r_v2
244.12874018169057,-26.74520061474196,57193.214673734736,19.32945,0.009947,r,1.431726,0.982245,c4d_150620_051227_ooi_r_v2
244.12897660093898,-26.743491969988476,57193.214673734736,20.518808,0.024741,r,1.573757,0.973068,c4d_150620_051227_ooi_r_v2
244.12763847170655,-26.744206281940937,57193.214673734736,22.671986,0.181078,r,1.533997,0.676049,c4d_150620_051227_ooi_r_v2
244.12513455358874,-26.746280737528153,57193.214673734736,22.13767,0.089154,r,2.205198,0.79743,c4d_150620_051227_ooi_r_v2
244.1253172839008,-26.75054273240461,57193.214673734736,20.524565,0.023784,r,1.573294,0.980232,c4d_150620_051227_ooi_r_v2
244.1289753756769,-26.743474820854964,56784.29636476841,20.131647,0.119988,i,1.205531,0.882925,c4d_140507_070738_ooi_i_v1
244.12873796064358,-26.745196557851088,56784.29636476841,18.686253,0.04683,i,1.059746,0.978405,c4d_140507_070738_ooi_i_v1
244.1254713684889,-26.745373196270396,56784.29636476841,19.09741,0.059544,i,1.040325,0.973818,c4d_140507_070738_ooi_i_v1
244.12531496838992,-26.75056075124568,56784.29636476841,19.795292,0.101936,i,1.425923,0.877702,c4d_140507_070738_ooi_i_v1
244.12383774251364,-26.74244870946814,56784.29636476841,17.967945,0.029463,i,0.961235,0.981606,c4d_140507_070738_ooi_i_v1
244.1191712151849,-26.745390574487377,56784.29636476841,19.251644,0.078879,i,1.094025,0.812411,c4d_140507_070738_ooi_i_v1
244.12937625127893,-26.746766900473578,58616.287512316834,22.759844,0.137502,g,1.391759,0.887123,c4d_190513_065401_ooi_g_v1
244.12897270238574,-26.743483030366768,58616.287512316834,21.295795,0.03946,g,1.169692,0.980684,c4d_190513_065401_ooi_g_v1
244.12874795613584,-26.745197301523344,58616.287512316834,20.515686,0.021741,g,1.178936,0.982136,c4d_190513_065401_ooi_g_v1
244.12631195294637,-26.74966192262877,58616.287512316834,20.660822,0.028206,g,0.592426,0.88777,c4d_190513_065401_ooi_g_v1
244.12548420659147,-26.745392381254533,58616.287512316834,21.849371,0.076414,g,1.413592,0.95512,c4d_190513_065401_ooi_g_v1
244.12531562451886,-26.750555547043707,58616.287512316834,21.44878,0.043448,g,1.355734,0.976232,c4d_190513_065401_ooi_g_v1
244.12383192887728,-26.742462911390547,58616.287512316834,19.187296,0.00964,g,1.156122,0.98289,c4d_190513_065401_ooi_g_v1
244.12330519690687,-26.744593159661857,58616.287512316834,23.190504,0.194805,g,1.725632,0.625788,c4d_190513_065401_ooi_g_v1
244.1191331970205,-26.74541169243305,58616.287512316834,20.475925,0.021432,g,1.179388,0.981888,c4d_190513_065401_ooi_g_v1
244.12899166155802,-26.743485489072427,56784.29671361437,20.043644,0.028549,i,1.063103,0.981863,c4d_140507_070918_ooi_i_v1
244.12874749307684,-26.7451945401791,56784.29671361437,18.758102,0.010615,i,0.995507,0.983031,c4d_140507_070918_ooi_i_v1
244.1293823731541,-26.746758380340943,56784.29671361437,21.47584,0.083621,i,1.396551,0.484958,c4d_140507_070918_ooi_i_v1
244.12765281422494,-26.74420471885935,56784.29671361437,21.288137,0.098974,i,1.230266,0.758468,c4d_140507_070918_ooi_i_v1
244.12607036404722,-26.74332720192328,56784.29671361437,22.249554,0.162152,i,2.105629,0.351048,c4d_140507_070918_ooi_i_v1
244.1254700398022,-26.74538672348172,56784.29671361437,19.092987,0.01361,i,1.000818,0.98219,c4d_140507_070918_ooi_i_v1
244.12530210776802,-26.75055296644447,56784.29671361437,19.964237,0.02696,i,1.075845,0.981446,c4d_140507_070918_ooi_i_v1
244.12511158424428,-26.7463158336718,56784.29671361437,20.947472,0.058235,i,1.210553,0.976496,c4d_140507_070918_ooi_i_v1
244.12383329275957,-26.742457175938057,56784.29671361437,17.930326,0.006088,i,0.985201,0.983452,c4d_140507_070918_ooi_i_v1
244.12358738010863,-26.746013999032744,56784.29671361437,21.501554,0.081009,i,1.210169,0.945273,c4d_140507_070918_ooi_i_v1
244.1231943554272,-26.744532939336572,56784.29671361437,21.231897,0.077833,i,2.03745,0.031598,c4d_140507_070918_ooi_i_v1
244.12331810930846,-26.747773628846172,56784.29671361437,22.219635,0.116585,i,1.41286,0.655704,c4d_140507_070918_ooi_i_v1
244.11914882216342,-26.74541636080427,56784.29671361437,19.219444,0.015735,i,1.036688,0.982031,c4d_140507_070918_ooi_i_v1
244.1289879797652,-26.74349406851623,56784.298992806114,20.029472,0.027543,i,0.907087,0.983148,c4d_140507_071237_ooi_i_v1
244.1293773615536,-26.746770728549716,56784.298992806114,21.608294,0.089686,i,1.235007,0.638413,c4d_140507_071237_ooi_i_v1
244.12874920347912,-26.745203073168003,56784.298992806114,18.744816,0.010278,i,0.893706,0.983161,c4d_140507_071237_ooi_i_v1
244.12766600572053,-26.744187730348862,56784.298992806114,21.366264,0.11949,i,1.076486,0.91123,c4d_140507_071237_ooi_i_v1
244.12606395222852,-26.743316337809297,56784.298992806114,22.400038,0.215312,i,1.009013,0.584813,c4d_140507_071237_ooi_i_v1
244.1253104117327,-26.750546086041286,56784.298992806114,20.018278,0.026327,i,0.888687,0.982139,c4d_140507_071237_ooi_i_v1
244.1251374259947,-26.74630898462907,56784.298992806114,20.92199,0.055302,i,1.18564,0.980073,c4d_140507_071237_ooi_i_v1
244.1238425804433,-26.742459342901792,56784.298992806114,17.945564,0.006044,i,0.891206,0.983494,c4d_140507_071237_ooi_i_v1
244.12359671567143,-26.74601082812995,56784.298992806114,21.382895,0.073412,i,1.216151,0.927039,c4d_140507_071237_ooi_i_v1
244.1232719976623,-26.744523795374544,56784.298992806114,21.098898,0.100211,i,2.156753,0.012923,c4d_140507_071237_ooi_i_v1
244.1233369783341,-26.747753936248486,56784.298992806114,22.138317,0.139533,i,1.122711,0.720595,c4d_140507_071237_ooi_i_v1
244.11915168509046,-26.745425039767962,56784.298992806114,19.261486,0.015588,i,0.939677,0.982171,c4d_140507_071237_ooi_i_v1
244.1238426722379,-26.742460919896217,56831.0732172844,18.356792,0.006089,r,0.782818,0.983854,c4d_140623_014758_ooi_r_v1
244.12326413529337,-26.744560409992843,56831.0732172844,21.991186,0.063608,r,1.558744,0.041367,c4d_140623_014758_ooi_r_v1
244.12937638265396,-26.746764225217234,56831.0732172844,21.948671,0.060839,r,0.826055,0.984652,c4d_140623_014758_ooi_r_v1
244.12897840509805,-26.743485594286753,56831.0732172844,20.464684,0.018191,r,0.787364,0.982276,c4d_140623_014758_ooi_r_v1
244.1287471541879,-26.745202871104198,56831.0732172844,19.3178,0.008805,r,0.778505,0.986128,c4d_140623_014758_ooi_r_v1
244.12765718721707,-26.744192861432524,56831.0732172844,22.165728,0.06579,r,0.819495,0.976437,c4d_140623_014758_ooi_r_v1
244.12628134630913,-26.751073140228435,56831.0732172844,23.46372,0.159111,r,0.840154,0.630945,c4d_140623_014758_ooi_r_v1
244.1260510031715,-26.743345028414875,56831.0732172844,23.077301,0.180251,r,1.142566,0.934651,c4d_140623_014758_ooi_r_v1
244.1254775146168,-26.745390136363696,56831.0732172844,20.159924,0.014709,r,0.791221,0.983387,c4d_140623_014758_ooi_r_v1
244.1253194016054,-26.750550938684867,56831.0732172844,20.515366,0.018466,r,0.787739,0.982711,c4d_140623_014758_ooi_r_v1
244.1251130375949,-26.746324121255338,56831.0732172844,22.205536,0.067594,r,0.834732,0.980162,c4d_140623_014758_ooi_r_v1
244.1236118021838,-26.746027031489103,56831.0732172844,22.819866,0.09878,r,1.142005,0.794658,c4d_140623_014758_ooi_r_v1
244.12336456091916,-26.74775432322061,56831.0732172844,23.814554,0.180156,r,0.766282,0.672195,c4d_140623_014758_ooi_r_v1
244.12939227905775,-26.746750035942533,56784.30241644895,21.451109,0.12302,i,1.478577,0.714636,c4d_140507_071729_ooi_i_v1
244.12899183890264,-26.743486759709587,56784.30241644895,20.024382,0.0302,i,1.071035,0.982101,c4d_140507_071729_ooi_i_v1
244.12874631920678,-26.74520029624752,56784.30241644895,18.748516,0.011054,i,1.02475,0.983118,c4d_140507_071729_ooi_i_v1
244.127661710575,-26.74418578326999,56784.30241644895,21.452118,0.115665,i,1.334468,0.837832,c4d_140507_071729_ooi_i_v1
244.12547000544163,-26.745401492045833,56784.30241644895,19.073542,0.014201,i,1.049836,0.9828,c4d_140507_071729_ooi_i_v1
244.1251285698599,-26.746297886921326,56784.30241644895,20.821585,0.058609,i,1.334434,0.97601,c4d_140507_071729_ooi_i_v1
244.1252990601511,-26.750543391972275,56784.30241644895,20.00557,0.029429,i,1.060969,0.980834,c4d_140507_071729_ooi_i_v1
244.12383133040547,-26.742459782142397,56784.30241644895,17.932165,0.006323,i,1.02539,0.984033,c4d_140507_071729_ooi_i_v1
244.12361737881395,-26.746024758018144,56784.30241644895,21.402018,0.080189,i,1.288321,0.931878,c4d_140507_071729_ooi_i_v1
244.1232177574834,-26.744515774139128,56784.30241644895,21.194893,0.084696,i,2.06054,0.168022,c4d_140507_071729_ooi_i_v1
244.12332689771782,-26.74776691229769,56784.30241644895,22.175987,0.113214,i,1.24315,0.65068,c4d_140507_071729_ooi_i_v1
244.11914498718886,-26.745426073001386,56784.30241644895,19.259808,0.017028,i,1.084883,0.982196,c4d_140507_071729_ooi_i_v1
244.12940296381137,-26.746772739676008,56353.30865541799,21.96506,0.141488,r,2.051474,0.491239,tu2040740
244.1289985030814,-26.74347406240762,56353.30865541799,20.570366,0.046655,r,1.779503,0.961665,tu2040740
244.12874578164485,-26.74519411214406,56353.30865541799,19.338478,0.018772,r,1.464053,0.982137,tu2040740
244.12549333621698,-26.745382085402174,56353.30865541799,20.3627,0.043072,r,1.634369,0.973249,tu2040740
