ra,dec,mjd,mag_auto,filter,class_star
249.40035718428422,-28.931403424190567,58715.97535911389,18.224867,i,0.981357
249.39788922728516,-28.935051145543554,58715.97535911389,21.091436,i,0.753231
249.40015815768928,-28.934388389965466,58715.97535911389,21.205952,i,0.96441
249.39976172736817,-28.929780423294886,58715.97535911389,20.212091,i,0.981923
249.3993247257564,-28.933081573433647,58715.97535911389,21.594837,i,0.911959
249.39819436271523,-28.933670586955905,58715.97535911389,19.173512,i,0.982465
249.39746364580083,-28.93066996981578,58715.97535911389,19.94887,i,0.981524
249.39682338600906,-28.92711851031069,58715.97535911389,22.206877,i,0.755062
249.39667562996718,-28.926034535065725,58715.97535911389,21.253448,i,0.953193
249.39630988096474,-28.92668433175407,58715.97535911389,21.905762,i,0.798143
249.39563435272885,-28.934959571659924,58715.97535911389,20.39466,i,0.943575
249.3952220659385,-28.935331980372837,58715.97535911389,20.331055,i,0.983266
249.39558984498865,-28.930148218870475,58715.97535911389,21.471975,i,0.964388
249.39492128924982,-28.929102378594532,58715.97535911389,18.623446,i,0.918242
249.39548995320268,-28.927157956884635,58715.97535911389,22.549967,i,0.578395
249.39422293119503,-28.93360572796323,58715.97535911389,20.72878,i,0.97245
249.39363639123096,-28.930325646443936,58715.97535911389,22.53198,i,0.605337
249.39264574056585,-28.929219616822785,58715.97535911389,19.724901,i,0.981641
249.39261583113327,-28.932368442088684,58715.97535911389,19.663496,i,0.982437
249.39192176865737,-28.931765128754904,58715.97535911389,18.852982,i,0.982679
249.3926133695523,-28.927941346411945,58715.97535911389,21.126581,i,0.329222
249.39145387876087,-28.929602035226335,58715.97535911389,20.158773,i,0.876043
249.39144370993273,-28.928670120035452,58715.97535911389,21.02298,i,0.598981
249.39106819798434,-28.930708126072005,58715.97535911389,21.460924,i,0.928803
249.3914958822283,-28.926739747052526,58715.97535911389,21.170769,i,0.962734
249.40176691474957,-28.929215917480455,56814.13543812651,20.976294,r,0.969396
249.39787340685322,-28.925050427852142,56814.13543812651,17.440971,r,0.983678
249.4003782224453,-28.931386130103792,56814.13543812651,18.73025,r,0.982066
249.39788691909263,-28.935089913943937,56814.13543812651,21.768112,r,0.788393
249.40016901582186,-28.93440082785747,56814.13543812651,21.787971,r,0.863501
249.39976242412735,-28.929769114564806,56814.13543812651,20.647554,r,0.975195
249.39818882749984,-28.93365931750208,56814.13543812651,19.642504,r,0.982
249.3980269114347,-28.929433187271673,56814.13543812651,18.607414,r,0.983125
249.39746366696215,-28.930665141190676,56814.13543812651,20.471876,r,0.976384
249.39421918079597,-28.933592096492113,56814.13543812651,21.369295,r,0.884753
249.39261275153913,-28.932351863328932,56814.13543812651,20.13714,r,0.981682
249.39191904530554,-28.93176370472802,56814.13543812651,19.817846,r,0.979886
249.39264232330544,-28.929220548217835,56814.13543812651,20.142641,r,0.974938
249.39150318930012,-28.929550910600067,56814.13543812651,20.477549,r,0.620281
249.39145816913484,-28.928672430627145,56814.13543812651,21.263706,r,0.666334
249.39258746778216,-28.92793744330101,56814.13543812651,21.63042,r,0.133671
249.3966592512627,-28.92604347637366,56814.13543812651,21.907804,r,0.62736
249.39630616122457,-28.926759108727868,56814.13543812651,22.631613,r,0.399323
249.39537871761442,-28.935172527377446,56814.13543812651,20.294382,r,0.415491
249.39495535852788,-28.929111592517092,56814.13543812651,19.136755,r,0.883547
249.4017512424325,-28.929208978484485,56814.30355290463,20.949875,r,0.968398
249.39951865601265,-28.925482036088386,56814.30355290463,20.223246,r,0.898632
249.39787574403888,-28.925050019691867,56814.30355290463,17.44275,r,0.983621
249.40037837053342,-28.93138578871993,56814.30355290463,18.727068,r,0.978306
249.39788256049087,-28.935060823401674,56814.30355290463,21.729109,r,0.39038
249.40014431027672,-28.934409243951144,56814.30355290463,21.728926,r,0.918352
249.39975429454816,-28.929777958502452,56814.30355290463,20.710085,r,0.977423
249.3981736889528,-28.933664988023285,56814.30355290463,19.664042,r,0.981865
249.39801926103223,-28.929431887673832,56814.30355290463,18.621096,r,0.982856
249.3974543185576,-28.930668607291196,56814.30355290463,20.513762,r,0.979244
249.39664573361225,-28.926039183852033,56814.30355290463,22.283573,r,0.580032
249.3963423111873,-28.926670309387383,56814.30355290463,22.365519,r,0.489086
249.3955734093444,-28.930141238883934,56814.30355290463,22.549429,r,0.481018
