gaia,set
1082968689358555136,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1083542256470569600,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1084061775714895744,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1084432242414471808,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1084531061022098816,shahaf2024_nonclassI
1084557861617891840,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1084817896117798144,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1085297180107922816,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1085661633853582720,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1085787867235733248,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1085912769180971648,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1085913628174447104,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1086005914135704448,shahaf2024_nonclassI
108606322618018432,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1086746027195715072,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1086746576951523456,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1086988916186455424,shahaf2024_nonclassI
1087040421434137856,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1087226956157780480,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1087586191518555264,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1087756577165614208,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1088394465707817472,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1088627119792254848,shahaf2024_nonclassI
1088653228897211008,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1088676288577879808,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1088777134409971200,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1089217969853756544,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1089412819633418112,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1089475393013925376,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1089588264754274816,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1090008518714533632,shahaf2024_nonclassI
1090014291151649280,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1090092700074500864,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1090132626090411008,shahaf2024_nonclassI
1090151695745214592,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1090265873154898944,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1090464712961092480,unified:Demoted (failed F#31 phantom RV)|v3_acceleration
1090522677839757312,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1090807210832932224,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1090893178897853184,shahaf2024_nonclassI
1091012682068018048,shahaf2024_nonclassI
1091272098094158208,shahaf2024_nonclassI
1091319651970319744,shahaf2024_nonclassI
1091466574213218816,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1091540138409873920,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1091947988507092992,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1091974754743200640,shahaf2024_nonclassI
1092528565005291392,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1092614636149689856,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
109269710382423552,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1092699951380107776,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1093180334882169984,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1093398519220918272,shahaf2024_nonclassI
1093532556560613120,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1093549839508992128,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1093648967353995648,shahaf2024_nonclassI
1093731185911782016,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1093910685481201152,shahaf2024_nonclassI
1093932229037044736,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1094560977891088000,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1094735387922401536,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1094737552585913600,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1094838845095825792,shahaf2024_nonclassI
1094967762832995584,shahaf2024_nonclassI
1095044862283392,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1095907398600169088,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1095948870802554368,shahaf2024_nonclassI
1096043325723506560,shahaf2024_nonclassI
1096214299780973696,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1096221480966287616,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1096330023379723904,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1096672894911979648,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1096830438608686592,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1097170600018218624,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1097176406814033536,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1097228564897067008,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1097283368679759488,shahaf2024_nonclassI
1097811787096204800,shahaf2024_nonclassI
1098014818789961344,shahaf2024_nonclassI
1098489704734299648,shahaf2024_nonclassI
1098822994196675200,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1099040624482468480,shahaf2024_nonclassI
1099216443264187136,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1099256133058195584,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1099276233505088768,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1099912331045152256,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1099930992679143168,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1100192916964564608,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1100299363434549760,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1100349386916958976,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1100973226624010240,amrf3_halbwachs2023
1101162067745007104,shahaf2024_nonclassI
1101366851786013184,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1101471064872543744,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1101569363787441664,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1101765630909612544,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1101801365037343488,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1101838301756270848,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1101886645908075008,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1101895270202279808,shahaf2024_nonclassI
1101905165807092864,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1102018965260581760,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1102041539608563456,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1102116753077094784,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1102175714388004992,unified:Demoted (failed F#31 phantom RV)|v3_acceleration
1102298035055534080,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1102400663297944960,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1102641529360564352,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1102922832539009280,shahaf2024_nonclassI
1103062470517910528,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1103062745395812224,shahaf2024_nonclassI
1103324429162798848,shahaf2024_nonclassI
1103388063397068672,amrf3_halbwachs2023
1103612776085519360,shahaf2024_nonclassI
1103649094329081088,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1103883908779850368,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1103893525211274880,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1104079346972020096,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1104231182655857152,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1104431156333029120,shahaf2024_nonclassI
1104464897596177152,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1104513069949868800,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1104632813637751808,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
