gaia,n,nnight,base,insts,chi2_const,dof,drv,set
1382036917265605120,2,2,1.0,APOGEE,0.06326954567485081,1,0.07291000000000025,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1382865055679785984,9,9,2540.8687500000015,APOGEE+BOSS,9.133865138707051,8,11.793520000000001,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1384029404134111616,3,3,3.0,APOGEE,50.57332982793581,2,2.0189900000000023,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1384905096425746688,1,1,0.0,APOGEE,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1385754434798376832,5,5,5.0,APOGEE,0.7606731590246949,4,0.24036000000000257,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1387750873036654848,3,3,27.0,APOGEE,4.712887366580635,2,0.5507600000000039,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1392483647822901248,1,1,0.0,APOGEE,3.034910605495458e-28,0,0.0,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1392492375196446208,1,1,0.0,APOGEE,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1392970804489255296,5,5,1114.0,APOGEE,191.5064172578966,4,3.5178200000000004,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1393426655138609408,1,1,0.0,APOGEE,0.0,0,0.0,shahaf2024_nonclassI
1394412058074977792,4,4,16.0,APOGEE,0.565121893420636,3,0.1879400000000011,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1398451423277319424,6,6,1031.0,APOGEE,234.59964169389994,5,3.603065,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1399862195478727424,5,5,1468.0,APOGEE,825.1735336934672,4,5.846429999999998,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1403740550947497984,3,3,6.0,APOGEE,0.023837325424455824,2,0.04346999999999923,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1403938467336316032,1,1,0.0,APOGEE,4.8769332627879734e-27,0,0.0,shahaf2024_nonclassI
1404013779586943488,1,1,0.0,APOGEE,0.0,0,0.0,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1404661705469306624,4,4,20.0,APOGEE,0.30075768255144075,3,0.14747699999999853,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1404748807405744128,3,3,17.0,APOGEE,103.78082726197512,2,3.171599999999998,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1406672265559476736,3,3,4.0,APOGEE,0.3916653988107379,2,0.1979450000000007,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1406784862422256128,3,3,4.0,APOGEE,63.583227430200644,2,6.761003,unified:Demoted (failed F#31 phantom RV)|v3_acceleration
1407847677849579392,12,12,358.0,APOGEE,485.2335070140057,11,5.133929999999999,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
