source_id,nss_solution_type,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,a_thiele_innes,b_thiele_innes,f_thiele_innes,g_thiele_innes,a_thiele_innes_error,b_thiele_innes_error,f_thiele_innes_error,g_thiele_innes_error,arg_periastron,semi_amplitude_primary,semi_amplitude_primary_error,center_of_mass_velocity,parallax,parallax_error,significance,goodness_of_fit
1380924928757097984,Orbital,153.91700187045893,0.13530359,7.148809612343257,2.9562697,0.1709595430620253,0.02258986,1.2667550272271364,-0.4697587529255468,-0.0259451476208799,-0.8585427319983008,0.017465662,0.09954425,0.15141144,0.059463862,,,,,4.437087870394951,0.012819097,91.98328,8.218343
1437423303686502656,SB1,925.5600805902064,141.45648,-351.86295174064367,49.000225,0.1196539087540482,0.10902682,,,,,,,,,37.02888712007341,4.590694061624309,0.32752934,-56.26880841710933,,,14.016131,1.1395369
1461700864025122176,Orbital,282.0546553705911,1.0110704,14.76000399905638,18.048065,0.0742150685329814,0.043712225,-0.0997802332054711,0.3266902235561817,1.0167007223548483,-1.148358569274489,0.39780846,0.4554451,0.048184644,0.13902006,,,,,3.470673881100484,0.02917941,40.459263,0.36434847
1554286816893777792,SB1,1095.6159890877227,61.12226,514.8869432936473,27.592487,0.5563458855460571,0.09826733,,,,,,,,,265.82513397711256,5.717757144804176,0.47079268,-18.59071088356059,,,12.144958,0.1636305
1224586474211820800,Orbital,222.47745446607203,0.30413383,-96.2803348210576,1.5849649,0.4410340691564952,0.036565874,-0.8011704755954824,-0.6742584841507406,-0.0230475220633649,-0.8658783473326602,0.020485016,0.036014255,0.0415618,0.038040094,,,,,3.930775337460655,0.014485912,43.802258,-0.58017343
1356012606612285312,AstroSpectroSB1,164.19688759650808,0.22214672,36.31760293811245,15.8803625,0.0521774929470494,0.02598284,-0.2651822683370005,0.8680446144675478,0.8592632231259861,0.2772602175812501,0.52571344,0.1649638,0.16042821,0.5324111,,,,-7.561572049206593,3.5808173633017004,0.015040511,66.45087,3.236435
1439252822315595392,AstroSpectroSB1,684.3047228709786,3.5722446,-160.99635457986062,5.372339,0.1823165637201303,0.0074675404,2.252481176839055,3.873690823672604,-1.7165881696492866,-2.3729868513866874,0.08700004,0.11251558,0.12292642,0.21113102,,,,-57.769882662642864,7.731348384678457,0.016571328,191.38336,3.503153
1608350460762566400,AstroSpectroSB1,615.0476997568949,1.0642728,163.35697443407398,4.3399024,0.2261042778954077,0.009622684,0.929820665319454,-2.3614911762725512,0.1168752806077726,-1.1392867626312748,0.0137048485,0.052335978,0.046664234,0.11035004,,,,-20.448553711739656,3.4168190980880846,0.012885098,216.16467,2.3309975
1404661705469306624,SB1,974.5510259629176,70.173645,472.9989600584691,35.889145,0.4024382742270296,0.08069303,,,,,,,,,348.86151116237767,4.208814121604752,0.38707325,-6.940776013173936,,,10.87343,0.32669598
1318775068356153088,AstroSpectroSB1,522.3815163714041,0.9906565,175.76996624984673,5.2658587,0.2382193054977099,0.012942003,1.0752822641157325,-1.5552877731294896,-0.715295155245237,-0.2645933001420582,0.041753344,0.02290359,0.06787942,0.0974546,,,,-41.540936484542335,3.4327512542244625,0.012627888,153.67122,5.2395086
1379150557507688960,AstroSpectroSB1,1351.1330332711184,74.693665,483.48353808231354,82.464355,0.0656315848962687,0.02359047,-0.988357415881702,4.399374299903178,-5.585213515192932,3.6207651934182903,2.7543645,1.5276127,0.7995478,2.31598,,,,-23.56082413043517,4.825784851124948,0.016606959,21.55539,2.5923765
1155001299570277248,AstroSpectroSB1,812.1784518414709,6.8485284,-224.36448522657193,16.907942,0.3199105844381285,0.018156573,-2.870765859029962,-3.7572006632288,-2.662253355722771,1.6310887321856242,0.40959173,0.10998406,0.35861924,0.48406684,,,,-70.95978938256172,4.357662188075713,0.031437732,25.564285,1.2082309
1415273057828860928,Orbital,876.9192023890214,88.1682,293.79500851851384,37.48597,0.3655805618729285,0.118604936,-0.247785382944558,0.8120242737432176,-0.7341958401355521,-0.1123140888271074,0.27978325,0.17532074,0.13025004,0.3106523,,,,,0.8493609193488874,0.030284937,7.239915,-0.9549327
1394412058074977792,SB1,1.8404248371113932,0.00019643645,-0.5932391755282547,0.4166752,0.0643779890353266,0.08938501,,,,,,,,,31.89504674052454,4.663864632668845,0.4216951,21.752449809680755,,,11.059803,0.19659178
1435855331385247616,Orbital,491.4406081268284,3.262195,-175.89404600263578,11.686698,0.2939968810988865,0.052894507,-0.1597949497837544,-0.967104763214666,1.0884879685861903,-0.1788906908780279,0.13234417,0.03100806,0.029434048,0.13351715,,,,,1.883023601481423,0.022062529,33.113224,12.185847
1630905631839881472,Orbital,339.5571068670971,0.40451106,33.622585866135296,2.319688,0.3173928523124804,0.013552955,1.6603367889781104,0.4433901058047094,-0.4971141394744994,1.5962698201614882,0.035745125,0.08606245,0.080265075,0.033646956,,,,,4.096019718237744,0.038566623,46.40817,4.947032
1620969693153177472,Orbital,502.7136244626255,6.6428814,-161.918755410593,13.127996,0.3940808876718938,0.069054954,0.4215118995487097,-0.0468724553726415,0.1200674549195774,-0.7025350028285599,0.032788087,0.10715547,0.0730915,0.039016865,,,,,1.2451454399304194,0.02600877,20.48543,1.4266541
1117948827162646272,AstroSpectroSB1,1627.4910224526825,87.53901,63.248918107911855,6.454296,0.3168605928704263,0.029712167,1.5646135769100025,2.1508834663114773,-2.10831127678505,2.0310500805655463,0.104178436,0.08960516,0.12913008,0.16642451,,,,27.90257446414717,1.4329547209052738,0.01581274,20.43406,4.5596905
1605228844172042368,AstroSpectroSB1,339.98059679926195,0.71480095,61.209495302787744,1.7866886,0.1945382740371348,0.007610139,-1.3154532870290037,-3.257175797760244,-2.8582687961149458,1.7642121629013023,0.107206926,0.10241794,0.0971984,0.121524215,,,,-78.7744242351319,8.359733076230418,0.11194245,41.592735,4.7134504
1532066550185228672,Orbital,794.4172601968769,2.0358481,-174.49417303453006,60.982082,0.0259154783970686,0.0030103377,-7.253254967390403,0.0412425370354612,0.5736382477875119,7.897259797312337,0.2560121,3.8215914,3.523317,0.026834361,,,,,8.721096600512737,0.04413661,401.0677,0.69023895
1538567721922127872,Orbital,684.8837703111933,2.322861,-190.7236009364448,13.536755,0.0884440611171955,0.01397998,1.191985180731309,1.859874707080778,-0.5487432370971126,2.297913608244232,0.06651589,0.29001006,0.15014891,0.22909948,,,,,4.053939224720567,0.019034008,165.68674,2.6943111
1443650181631384192,SB1,1016.0460086475885,67.27348,461.88426937298914,44.445896,0.4793351276297076,0.10165215,,,,,,,,,224.8643720707853,3.2498552939254974,0.17737608,-3.4054247993749556,,,18.321835,-0.43563727
1606673568091366528,Orbital,941.1684592909618,55.157486,-349.76363993415373,18.332302,0.4147470796454458,0.08373002,0.7086839613063682,0.2451919250801914,0.5926897263796048,-0.5182404684228088,0.16024168,0.08906968,0.1088557,0.05936756,,,,,0.914798957714084,0.026672726,11.794849,10.5487
1626845895609073536,Orbital,50.829032394604425,0.012353288,-4.592920488062788,8.937962,0.019556647881809,0.018653663,-0.4287648003800839,-0.6951049345368541,1.8942939178976317,-0.2781950621366491,2.099933,0.30533457,0.4740277,0.770055,,,,,12.983235908581571,0.015386135,92.744354,0.919474
1050045394212907520,Orbital,938.5720620448308,38.694565,-395.24442497363503,10.650594,0.5305516060772217,0.051978517,0.0535623318397459,0.6596163789961831,-0.7440699892813718,-0.1581824726175492,0.07809082,0.04289592,0.090647295,0.058947146,,,,,0.8086036554497026,0.021142444,14.954179,1.7761787
1587040447947813760,AstroSpectroSB1,183.82725874957256,0.11871861,31.995363284126295,6.239578,0.0816013337155612,0.01796202,-0.8666409979960985,1.699405162312277,-1.9246638552233604,-0.7920798371372135,0.41276315,0.17429847,0.1899894,0.36556324,,,,-50.00982142117429,7.400730405356066,0.01615816,91.457924,3.8651116
