frame,band,bjd,airmass,exptime,dx,dy,n_comp,f_target,e_target,f_ens,rel,e_rel,bg,note
MTAA11895463,I,2456603.9303955627,1.7196,60.0,-0.03085159431475404,-0.02243140507289354,143,30.0,184.18843371167475,545073.5,5.503844894312418e-05,0.00033791485682513415,1618.285,
MTAA11895470,G,2456603.9311525035,1.72904,60.0,-0.07111339894095181,-0.058008276620057586,143,455.0,219.7734975548841,207529.0,0.002192464667588626,0.0010590013807944148,1341.485,
MTAA11895472,R,2456603.9311535037,1.72904,60.0,-0.01515275290239515,-0.08091783537668107,143,368.0,159.83782120220067,691442.5,0.0005322206835709404,0.0002311657458171875,931.29,
MTAA11895473,I,2456603.9311535037,1.72904,60.0,-0.029667997608612495,-0.083380698991391,143,212.0,179.04417495634982,607296.0,0.0003490884181684055,0.00029482192366877077,,
MTAA11895480,G,2456603.9319124445,1.73837,60.0,0.026060354839955835,0.023356830561397146,143,764.5,222.80098870234693,198147.0,0.003858246655260993,0.0011244227200126519,1335.857,
MTAA11895482,R,2456603.9319134443,1.73837,60.0,-0.002018550785237494,-0.0174098427509648,143,1649.0,163.29137094359885,669243.5,0.002463976116316408,0.00024399395876627692,920.1835,
MTAA11895483,I,2456603.9319144445,1.73837,60.0,0.0037165133101098036,-0.03224616899376542,143,54.0,172.9707930374374,582678.0,9.267554292422229e-05,0.0002968548547181074,1621.425,
MTAA11895490,G,2456603.9326713854,1.7473,60.0,-0.013664358614335015,-0.03366041000424502,143,443.0,201.8551056828305,203949.5,0.002172106330243516,0.000989730819064673,1346.993,
MTAA11895492,R,2456603.9326713854,1.7473,60.0,0.004554868451009497,-0.04368193092290085,143,275.0,160.58716789116954,669403.0,0.00041081381469757383,0.00023989609830127673,967.9078,
MTAA11895493,I,2456603.932672385,1.7473,60.0,-0.016843995831777647,-0.03490704456544336,143,163.0,175.92641902769086,578802.0,0.0002816161658045411,0.0003039492244803765,1633.463,
