sdss_id,gaia_dr3_source_id,ra,dec,g_mag,bp_mag,rp_mag,plx,classification,p_da,teff,logg,snr,bp_rp
104298987,5915605039735712128,259.4531,-59.27788,16.14159,16.09386,16.2582,9.814186,DA,1.0,15781.58,7.934091,41.64674,-0.16433999999999926
55782867,580027263081733888,137.7447,4.826227,18.72332,18.71358,18.83062,3.386638,DBA/DBAZ,0.01706258,-9999.0,-9999.0,41.63117,-0.11703999999999937
61025904,1393580449327149568,228.6962,44.02688,15.36028,15.22984,15.61994,8.413416,DA,0.9960065,29803.57,7.901837,41.62897,-0.39010000000000034
72351200,2901710558361649920,83.58494,-32.47363,16.76527,16.69671,16.93614,6.685067,DA,1.0,19170.85,8.027188,41.62024,-0.23943000000000225
79911133,3826945813562258432,145.1358,-3.264483,17.55056,17.47379,17.63621,4.142751,DB,0.004344525,-9999.0,-9999.0,41.59513,-0.16241999999999734
98182608,5457658270657361920,160.964,-26.69443,17.17101,17.15409,17.26457,5.002919,DA,1.0,15142.34,7.600231,41.5853,-0.11047999999999902
93040768,4838637798361005696,62.55465,-44.18141,16.63778,16.48571,16.95007,3.519432,DA,0.9663138,-9999.0,-9999.0,41.58507,-0.4643599999999992
116391839,265762543233935488,77.3633,52.05989,17.59981,17.54718,17.74713,4.771895,DA,1.0,-9999.0,-9999.0,41.57887,-0.19994999999999763
89883072,4517426471443788160,283.3041,18.14181,16.47517,16.37854,16.68921,5.635362,DA,0.998,26740.01,7.819367,41.53147,-0.3106699999999982
61246423,1428280108586688768,244.4863,53.38178,18.29271,18.267,18.49547,3.641765,DA,1.0,18439.23,7.909256,41.51462,-0.2284700000000015
111043762,6524412152806190336,356.9425,-47.89492,15.87459,15.74775,16.12952,4.051977,DA,0.998,30097.65,7.296887,41.4862,-0.3817699999999995
55830845,588035212424892416,142.7861,8.325207,16.92623,16.79627,17.20217,5.441721,DA,0.9820255,30893.02,8.320255,41.47726,-0.40589999999999904
90165675,4547413795645600000,260.7085,17.49335,16.63834,16.53348,16.87358,4.961732,DA,1.0,28855.62,7.851558,41.44537,-0.3400999999999996
64077373,1844311394160744960,314.769,25.39269,16.84097,16.85811,17.00634,8.08787,DA,0.998,14979.27,8.093032,41.43773,-0.14823000000000164
92700658,4789144175789941888,66.54522,-46.98,16.78021,16.67522,17.0066,5.216827,DA,0.996,24416.67,7.981853,41.38366,-0.33137999999999934
71103363,2690763205257368832,317.9435,1.348207,15.23682,15.19016,15.3558,15.34756,DA,1.0,-9999.0,-9999.0,41.37237,-0.1656399999999998
55806818,583680076932129024,135.2495,6.488973,17.91765,17.84616,18.09294,3.116332,DA,0.994,25449.17,7.832732,41.37177,-0.24677999999999756
87778662,4302247750933025024,294.9796,9.538653,15.28281,15.15476,15.35304,12.14812,DA,0.9960272,22898.88,7.975706,41.30459,-0.19828000000000046
55410293,522810877007178496,15.01148,62.19816,16.68307,16.60295,16.88012,6.472957,DA,1.0,22344.69,7.950727,41.3034,-0.2771700000000017
69280419,2310942857676734848,358.5785,-36.56822,15.22386,15.18795,15.32957,16.3267,DA,1.0,14861.78,7.927306,41.22483,-0.14161999999999964
110118458,6412761037674598656,331.799,-55.92872,18.03031,18.0047,18.14632,4.379648,DA,0.986522,16500.0,8.063728,41.22128,-0.14161999999999964
69082088,2268466696271988608,281.639,75.40076,16.33534,16.24051,16.54323,5.896308,DA,0.8921767,29360.45,7.88743,41.21174,-0.30272000000000077
69558074,2372473658671416960,13.7326,-14.43559,15.11171,14.99338,15.36071,13.55213,DA,0.9920273,25916.36,8.128617,41.18519,-0.36732999999999905
88432213,4345767555000692096,243.5797,-8.55755,13.947,13.79067,14.23902,11.76266,DA,0.9404862,43037.17,7.610512,41.16618,-0.4483499999999996
71055511,2685509498181548032,319.6441,-2.308654,16.20967,16.0971,16.46235,6.725478,DA,0.988,27149.54,7.985168,41.12085,-0.36524999999999963
64422532,1875647956587976576,337.9399,23.85647,16.05999,15.99852,16.22046,9.480536,DA,0.998,-9999.0,-9999.0,41.06846,-0.22194000000000003
67825548,2142145179748734976,292.8516,57.07044,16.27347,16.24056,16.3691,14.35252,DA,0.9881341,15500.0,8.565927,41.05191,-0.128540000000001
80337802,3910382871911470848,173.0145,6.919633,14.99504,14.97292,15.07895,19.44088,DA,1.0,-9999.0,-9999.0,41.04968,-0.10603000000000051
58229905,960103517699387392,94.48347,42.2836,17.50928,17.46158,17.67388,4.411363,DB,0.002799259,-9999.0,-9999.0,41.01884,-0.21229999999999905
110836696,6494065803675703808,346.1395,-55.42167,17.28673,17.24248,17.44558,5.73788,DA,0.9843479,17487.24,8.008329,41.01531,-0.20309999999999917
63220287,1766702297192943488,325.3689,11.77287,15.89059,15.85392,15.99967,11.49442,DA,0.998,16272.19,7.95981,41.00711,-0.1457499999999996
67235091,2086402036171426688,297.6406,47.597,16.74886,16.67972,16.92259,6.723608,DA,0.996,-9999.0,-9999.0,41.00531,-0.24286999999999992
74899544,3118712131726665088,95.57795,-0.4858324,17.71126,17.67219,17.87174,4.930373,DA,1.0,19015.27,7.935447,40.9972,-0.19954999999999856
80562569,3953326257039572864,183.638,21.627,18.03138,17.98993,18.12984,6.435771,DA,0.9940273,15000.0,8.477147,40.96891,-0.13991000000000042
68771976,2222276590747697536,319.3275,67.74779,16.0775,16.05852,16.16097,12.13649,DA,0.9961069,14931.56,8.065158,40.95846,-0.10244999999999749
92658873,4782942513595999872,74.24372,-53.17393,16.7895,16.70657,16.99302,4.283544,DA,0.996,24400.07,7.579183,40.95442,-0.2864500000000021
56111298,636021541993799552,139.3297,19.91076,16.65309,16.5111,16.95622,3.845981,DA,0.9842285,34720.34,7.813146,40.89716,-0.4451199999999993
92654336,4782203646078747648,63.40546,-50.46943,16.37213,16.2981,16.54867,7.130543,DA,0.996,20425.26,7.946841,40.89373,-0.25056999999999974
80121187,3866880552624195584,166.1528,9.306041,16.80911,16.77729,16.89314,5.302491,DA,1.0,16943.89,7.520758,40.88352,-0.11584999999999823
55609179,546025037792943616,40.12984,73.41289,17.71593,17.64062,17.88065,3.788238,DA,0.9500273,30397.57,8.026852,40.8668,-0.24003000000000085
