sdss_id,gaia_dr3_source_id,ra,dec,g_mag,bp_mag,rp_mag,plx,classification,p_da,teff,logg,snr,bp_rp,FUVmag,e_FUVmag,NUVmag,e_NUVmag,fuv_nuv,M_G,locus,locus_sd,resid,sig
74572633,3096615693218532608,123.1217,6.14968,18.57612,18.53457,18.71614,3.165741,DA,0.8750972,16395.19,7.877351,20.28885,-0.1815700000000006,18.2832,0.0621,18.4278,0.0385,-0.1446000000000005,11.078496904381582,-0.14999999999999858,0.15092868000000642,0.005399999999998073,0.032203314248923504
74219979,3065200064734491776,126.1821,-5.442502,18.13451,18.06193,18.2616,3.637233,DA,0.998,18939.69,7.842312,20.2847,-0.1996700000000011,17.6428,0.045,17.7527,0.0341,-0.10989999999999966,10.938365613567612,-0.14999999999999858,0.15092868000000642,0.040099999999998914,0.24884629090424243
57317256,842335346940169984,167.9028,52.44354,17.05522,17.03253,17.16607,6.907512,DA,1.0,15007.57,7.957632,20.27204,-0.13354,17.1854,0.0501,17.115,0.0124,0.0704000000000029,11.251828240312816,-0.10844999999999949,0.1407728699999998,0.1788500000000024,1.1928431593275621
79213034,3692768316520495488,195.7944,3.663441,17.63806,17.6206,17.74015,6.127231,DA,0.9901285,14184.29,8.28194,20.25149,-0.1195500000000002,17.6381,0.0615,17.6822,0.0407,-0.04410000000000025,11.574381268914705,-0.10844999999999949,0.1407728699999998,0.06434999999999924,0.40491931573446305
62602896,1672374090838623872,203.0304,66.91476,17.12313,17.00061,17.37547,3.998658,DA,0.9400563,27511.96,7.958337,20.25003,-0.3748599999999982,15.7264,0.0295,16.1101,0.0216,-0.38369999999999926,10.13270130540834,-0.4347499999999993,0.08094995999999832,0.05105000000000004,0.5747319433826332
60792579,1358738399016354432,255.8046,44.9999,18.13639,18.12678,18.25139,4.047523,DA,0.9900272,16138.27,7.88412,20.24604,-0.1246100000000005,17.975,0.088,18.0601,0.053,-0.08509999999999707,11.172336626527553,-0.10844999999999949,0.1407728699999998,0.023350000000002424,0.1339875612029275
110713908,6478806368987199232,317.0736,-49.67668,18.32219,18.21578,18.45847,3.530299,DA,0.9800386,20268.38,7.885908,20.24079,-0.2426899999999996,17.6053,0.0436,17.4903,0.0284,0.11499999999999844,11.061247448399332,-0.2311999999999994,0.13321161000000292,0.34619999999999784,2.420750970510173
80195346,3882614224715524352,156.9118,11.32206,18.52249,18.46867,18.63179,4.192274,DA,0.9661479,19389.61,8.267016,20.23265,-0.1631199999999992,17.9871,0.0645,18.2464,0.0297,-0.25929999999999964,11.634738298312566,-0.14999999999999858,0.15092868000000642,-0.10930000000000106,-0.6552808850114021
63617395,1813432533510820608,314.3289,19.31339,18.27045,18.25074,18.39602,3.58734,DA,0.9641935,18625.01,7.970437,20.23222,-0.1452799999999996,18.0354,0.0704,18.1985,0.051,-0.16310000000000002,11.0443127003943,-0.10844999999999949,0.1407728699999998,-0.05465000000000053,-0.3303085064571366
75236918,3145799081711798784,120.9406,7.739367,17.72897,17.66729,17.86843,4.590558,DB,0.006746272,-9999.0,-9999.0,20.22892,-0.2011399999999987,17.7783,0.0462,17.3614,0.0249,0.4169000000000018,11.038297394561958,-0.2311999999999994,0.13321161000000292,0.6481000000000012,4.526550700260755
