sdss_id,snr,B,A,sHa,sHb,score,rec
78900087,12.62655258178711,5.0,0.03,1.0526315789473684,1.4912280701754386,1.2528821804461139,False
78900087,12.62655258178711,5.0,0.05,1.0526315789473684,1.631578947368421,1.3105157471567086,False
78900087,12.62655258178711,5.0,0.08,1.0526315789473684,1.8596491228070173,1.3991159324475007,False
78900087,12.62655258178711,5.0,0.12,1.2982456140350878,2.175438596491228,1.6805515810284979,False
78900087,12.62655258178711,10.0,0.03,1.0526315789473684,1.3859649122807018,1.207853647583053,False
78900087,12.62655258178711,10.0,0.05,1.0526315789473684,1.368421052631579,1.2001846579990927,False
78900087,12.62655258178711,10.0,0.08,1.0526315789473684,1.6140350877192982,1.3034509207724005,False
78900087,12.62655258178711,10.0,0.12,1.0526315789473684,1.9473684210526314,1.4317337377616255,False
78900087,12.62655258178711,15.0,0.03,0.9298245614035087,1.3859649122807018,1.1352110890411773,False
78900087,12.62655258178711,15.0,0.05,0.8596491228070176,1.3859649122807018,1.091532647740511,False
78900087,12.62655258178711,15.0,0.08,1.0175438596491226,1.3859649122807018,1.1875521404049436,False
78900087,12.62655258178711,15.0,0.12,1.2105263157894737,1.43859649122807,1.319643478532736,False
78589835,27.98748779296875,5.0,0.03,1.5121951219512197,1.5609756097560978,1.5363917802949878,False
78589835,27.98748779296875,5.0,0.05,1.5121951219512197,1.5609756097560978,1.5363917802949878,False
78589835,27.98748779296875,5.0,0.08,2.073170731707317,2.3658536585365852,2.214682496517441,True
78589835,27.98748779296875,5.0,0.12,2.9268292682926833,3.439024390243903,3.1726073251725078,True
78589835,27.98748779296875,10.0,0.03,1.5121951219512197,1.5121951219512197,1.5121951219512197,False
78589835,27.98748779296875,10.0,0.05,1.6829268292682928,1.7804878048780488,1.7310201316028295,False
78589835,27.98748779296875,10.0,0.08,2.1219512195121952,2.4878048780487805,2.2976075806986707,True
78589835,27.98748779296875,10.0,0.12,2.658536585365854,3.536585365853659,3.066291177039688,True
78589835,27.98748779296875,15.0,0.03,2.0,1.5609756097560978,1.7669044171975448,False
78589835,27.98748779296875,15.0,0.05,2.3170731707317076,2.1219512195121952,2.217366961135016,True
78589835,27.98748779296875,15.0,0.08,2.878048780487805,2.9268292682926833,2.902336542564589,True
78589835,27.98748779296875,15.0,0.12,3.634146341463415,4.024390243902439,3.824293801670984,True
70831782,19.680524826049805,5.0,0.03,0.9444444444444444,0.9722222222222222,0.9582326839255745,False
70831782,19.680524826049805,5.0,0.05,1.0972222222222223,0.9722222222222222,1.032832913476567,False
70831782,19.680524826049805,5.0,0.08,1.4027777777777777,0.9722222222222222,1.167823500532106,False
70831782,19.680524826049805,5.0,0.12,1.8055555555555556,1.1944444444444444,1.4685488764318113,False
70831782,19.680524826049805,10.0,0.03,0.8472222222222221,0.9722222222222222,0.9075727362613634,False
70831782,19.680524826049805,10.0,0.05,1.0555555555555556,1.1388888888888888,1.0964307975550305,False
70831782,19.680524826049805,10.0,0.08,1.347222222222222,1.486111111111111,1.4149635732343948,False
70831782,19.680524826049805,10.0,0.12,1.7222222222222223,1.9305555555555556,1.82341593691959,False
70831782,19.680524826049805,15.0,0.03,0.9722222222222222,1.0972222222222223,1.032832913476567,False
70831782,19.680524826049805,15.0,0.05,1.0833333333333333,1.1944444444444444,1.1375330683024039,False
70831782,19.680524826049805,15.0,0.08,1.2916666666666667,1.4305555555555556,1.3593384147907857,False
70831782,19.680524826049805,15.0,0.12,1.597222222222222,1.8888888888888888,1.7369442445403869,False
79301958,20.171972274780273,5.0,0.03,1.0185185185185184,0.8148148148148149,0.9109906574999143,False
79301958,20.171972274780273,5.0,0.05,1.2962962962962963,0.8148148148148149,1.0277360685564154,False
79301958,20.171972274780273,5.0,0.08,1.7037037037037035,1.0185185185185184,1.3172903143539805,False
79301958,20.171972274780273,5.0,0.12,2.259259259259259,1.3703703703703702,1.759551632625141,False
79301958,20.171972274780273,10.0,0.03,0.9259259259259258,1.0925925925925926,1.0058130084444643,False
79301958,20.171972274780273,10.0,0.05,1.0555555555555556,1.3333333333333333,1.186342028003479,False
79301958,20.171972274780273,10.0,0.08,1.259259259259259,1.7222222222222223,1.4726589149682254,False
79301958,20.171972274780273,10.0,0.12,1.7222222222222223,2.222222222222222,1.9563129846287788,False
79301958,20.171972274780273,15.0,0.03,0.7777777777777778,1.2037037037037037,0.967581516860232,False
79301958,20.171972274780273,15.0,0.05,0.9444444444444443,1.462962962962963,1.1754519313006184,False
79301958,20.171972274780273,15.0,0.08,1.2962962962962963,1.8518518518518516,1.5493704195075473,False
79301958,20.171972274780273,15.0,0.12,1.796296296296296,2.388888888888889,2.0715096580451866,True
69962684,13.330316543579102,5.0,0.03,1.02,1.06,1.0398076745244766,False
69962684,13.330316543579102,5.0,0.05,1.22,1.22,1.22,False
69962684,13.330316543579102,5.0,0.08,1.5,1.48,1.489966442575134,False
69962684,13.330316543579102,5.0,0.12,1.9,1.8199999999999998,1.859569842732453,False
69962684,13.330316543579102,10.0,0.03,1.1199999999999999,0.9800000000000001,1.0476640682967036,False
69962684,13.330316543579102,10.0,0.05,1.24,0.9800000000000001,1.1023611023616535,False
69962684,13.330316543579102,10.0,0.08,1.5,1.08,1.2727922061357855,False
69962684,13.330316543579102,10.0,0.12,1.86,1.3599999999999999,1.5904716281656834,False
69962684,13.330316543579102,15.0,0.03,0.96,0.9800000000000001,0.9699484522385713,False
69962684,13.330316543579102,15.0,0.05,1.1,1.1400000000000001,1.1198214143335536,False
69962684,13.330316543579102,15.0,0.08,1.34,1.4,1.3696714934611145,False
69962684,13.330316543579102,15.0,0.12,2.08,1.7399999999999998,1.9024195120950582,False
55796531,14.65595531463623,5.0,0.03,1.0689655172413794,0.896551724137931,0.9789703149364407,False
55796531,14.65595531463623,5.0,0.05,1.0689655172413794,0.9310344827586208,0.9976190442406506,False
55796531,14.65595531463623,5.0,0.08,1.1896551724137931,1.206896551724138,1.1982448519926934,False
55796531,14.65595531463623,5.0,0.12,1.5517241379310345,1.620689655172414,1.5858320396644028,False
55796531,14.65595531463623,10.0,0.03,1.0689655172413794,0.896551724137931,0.9789703149364407,False
55796531,14.65595531463623,10.0,0.05,1.1379310344827587,1.0344827586206897,1.0849746705208465,False
55796531,14.65595531463623,10.0,0.08,1.2758620689655173,1.3448275862068966,1.309891028498109,False
55796531,14.65595531463623,10.0,0.12,1.4827586206896552,1.7586206896551724,1.614809582616289,False
55796531,14.65595531463623,15.0,0.03,1.0689655172413794,1.0,1.0339078862458586,False
55796531,14.65595531463623,15.0,0.05,1.0689655172413794,1.1724137931034482,1.1194953848791673,False
55796531,14.65595531463623,15.0,0.08,1.0689655172413794,1.4310344827586208,1.2368211334111003,False
55796531,14.65595531463623,15.0,0.12,1.206896551724138,1.8103448275862069,1.4781403620243316,False
92830500,18.711347579956055,5.0,0.03,1.2692307692307692,0.7692307692307692,0.9880948137434714,False
92830500,18.711347579956055,5.0,0.05,1.5192307692307692,0.7692307692307692,1.081036101735015,False
92830500,18.711347579956055,5.0,0.08,1.8076923076923077,0.8269230769230769,1.222629332711718,False
92830500,18.711347579956055,5.0,0.12,2.1923076923076925,1.3846153846153846,1.7422694850624807,False
92830500,18.711347579956055,10.0,0.03,1.0576923076923077,1.0769230769230769,1.0672643788855083,False
92830500,18.711347579956055,10.0,0.05,1.0576923076923077,1.3076923076923077,1.1760680654938966,False
92830500,18.711347579956055,10.0,0.08,1.3269230769230769,1.673076923076923,1.4899813350167257,False
92830500,18.711347579956055,10.0,0.12,1.7499999999999998,2.1730769230769234,1.950098616835727,False
92830500,18.711347579956055,15.0,0.03,1.0576923076923077,0.7692307692307692,0.9020030307352749,False
