tid,mjd,fid,diffmaglim
ztf,60660.10679400014,1,18.9662
ztf,61162.482222199906,3,18.5532
ztf,61162.48451389978,2,18.9531
ztf,61192.45783559978,3,19.1169
ztf,61200.46112270001,1,19.8956
ztf,61205.45549769979,1,20.3665
ztf,61207.45743060019,3,19.4166
ztf,61210.36767360009,3,18.7138
ztf,61210.3681481001,3,18.9157
ztf,61212.45834490005,3,19.5943
ztf,61218.350567100104,3,18.9299
ztf,61219.439919000026,1,19.2577
ztf,61220.49094909988,2,18.5471
ztf,61222.41920140013,3,18.8923
ztf,61223.35789350001,2,19.0434
ztf,61223.4190508998,1,19.2054
ztf,61227.495509299915,1,18.3
