mjd,fid,magpsf,sigmapsf,ra,dec,isdiffpos,distnr,magpsf_corr,band,yr
60119.419803199824,1,19.785765,0.16329364,326.8283574,-13.4747216,1,11.821088,,g,2023
60119.420277799945,1,19.9761,0.24706,326.8283393,-13.4746502,1,3.84788,,g,2023
60119.44211809989,2,19.310926,0.09854686,326.8283587,-13.4746553,1,0.5453847,19.207994,r,2023
60121.41679400019,1,19.190847,0.11687113,326.8283174,-13.4747082,1,11.930123,,g,2023
60121.43574069999,1,20.2823,0.261739,326.8282112,-13.474799,1,4.13848,,g,2023
60123.38369210018,1,20.4173,0.297281,326.8284058,-13.4747069,1,4.13686,,g,2023
60123.43890050007,2,20.2831,0.291552,326.8283473,-13.4746936,1,0.414644,20.046515,r,2023
60123.46329860017,2,19.848787,0.18200484,326.8283297,-13.4746906,1,0.5360182,19.708422,r,2023
60123.48458330007,1,19.5826,0.238995,326.8282961,-13.474701,1,11.9825,,g,2023
60145.3817592999,1,19.704212,0.1419375,326.8283223,-13.4746613,1,12.06908,,g,2023
60145.39784719981,2,18.804712,0.12310029,326.8283333,-13.4746666,1,0.44028166,18.739006,r,2023
60146.31635419978,2,19.349176,0.11677803,326.8283,-13.4746587,1,0.6090088,19.258492,r,2023
60146.37702549994,2,18.933294,0.08080624,326.828337,-13.4746625,1,0.48403332,18.870653,r,2023
60147.44232639996,2,18.767714,0.10908601,326.8283242,-13.4747142,1,0.30644956,18.704145,r,2023
60148.42089120019,1,19.559357,0.15532178,326.828353,-13.4746993,1,4.024133,,g,2023
60149.36893519992,1,19.258186,0.10570997,326.8283197,-13.4747085,1,11.928723,,g,2023
60149.408993099816,2,19.09953,0.113227025,326.8283062,-13.4746692,1,0.38529843,19.014112,r,2023
60150.40069440007,1,19.777164,0.18719387,326.8283395,-13.4747422,1,4.142062,,g,2023
60151.40196759999,2,19.35713,0.143901,326.8283194,-13.4746565,1,0.44882968,19.249939,r,2023
60151.446041699965,1,19.612116,0.13414489,326.8283446,-13.4746679,1,12.015995,,g,2023
60152.33648149995,1,19.4687,0.17819,326.8281839,-13.4747637,1,3.98752,,g,2023
60152.39844910009,2,19.498405,0.15384157,326.8283337,-13.4747347,1,0.59130144,19.394978,r,2023
60155.37184030004,2,19.225136,0.16414918,326.8283245,-13.4746584,1,0.52240586,19.143885,r,2023
60156.37435190007,2,18.51088,0.14316528,326.8283831,-13.47469,1,0.52438396,18.460398,r,2023
60160.314085599966,1,19.213175,0.19214366,326.8283017,-13.4746455,1,3.770391,,g,2023
60160.4216781999,2,19.391693,0.19991416,326.8283499,-13.4747009,1,0.4010232,19.281204,r,2023
60162.3357406999,2,19.10529,0.1411233,326.8283972,-13.4746951,1,0.56163394,19.019436,r,2023
60162.35008100001,2,19.059027,0.094410226,326.8283217,-13.4746981,1,0.5682432,18.98894,r,2023
60162.39263889985,1,18.933287,0.099059284,326.8283133,-13.4746881,1,12.002565,,g,2023
60168.337233799975,2,18.98066,0.10730232,326.8283057,-13.4746532,1,0.44480115,18.903795,r,2023
60168.37583329994,1,19.691395,0.14235766,326.8283423,-13.4746656,1,3.9145699,,g,2023
60168.394594899844,1,19.64652,0.15471798,326.8284086,-13.4746459,1,11.99151,,g,2023
