mjd,m,dm,uJy,duJy,filter,err,chiN,ra,dec,mag5sig,obs
58779.336835,21.004,0.950,14,14,o,0,0.91,334.24962,-18.20795,19.55,01a58779o0336o
58780.290452,-22.560,3.730,-3,13,o,0,0.70,334.24962,-18.20795,19.56,01a58780o0147o
58780.293679,20.549,0.550,22,12,o,0,0.78,334.24962,-18.20795,19.55,01a58780o0154o
58780.299307,-23.384,7.111,-2,11,o,0,0.98,334.24962,-18.20795,19.59,01a58780o0166o
58780.309464,21.484,1.109,9,10,o,0,0.92,334.24962,-18.20795,19.64,01a58780o0188o
58781.330156,-21.093,1.025,-13,14,c,0,0.81,334.24962,-18.20795,19.47,02a58781o0320c
58781.333396,21.406,1.250,10,12,c,0,1.19,334.24962,-18.20795,19.49,02a58781o0327c
58781.338507,23.985,12.500,1,12,c,0,0.94,334.24962,-18.20795,19.53,02a58781o0338c
58781.348166,22.358,2.704,4,11,c,0,1.00,334.24962,-18.20795,19.55,02a58781o0359c
58783.356726,-21.684,1.533,-8,12,o,0,0.89,334.24962,-18.20795,19.53,01a58783o0217o
58783.360492,-22.058,2.092,-6,11,o,0,1.20,334.24962,-18.20795,19.50,01a58783o0225o
58783.361884,20.986,1.151,15,17,o,0,1.01,334.24962,-18.20795,19.53,01a58783o0228o
58783.364773,21.789,2.086,7,15,o,0,0.80,334.24962,-18.20795,19.49,01a58783o0234o
58783.366156,-21.205,1.033,-12,12,o,0,1.01,334.24962,-18.20795,19.43,01a58783o0237o
58783.377696,22.579,4.216,3,14,o,0,0.87,334.24962,-18.20795,19.47,01a58783o0262o
58783.382029,20.899,0.917,16,14,o,0,1.37,334.24962,-18.20795,19.45,01a58783o0271o
58785.310084,22.267,3.107,4,14,c,0,0.67,334.24962,-18.20795,19.58,02a58785o0251c
58785.313764,-21.232,1.000,-12,12,c,0,1.18,334.24962,-18.20795,19.58,02a58785o0259c
58785.319253,20.764,0.692,18,12,c,0,0.93,334.24962,-18.20795,19.60,02a58785o0271c
58785.330355,-23.113,5.538,-2,11,c,0,1.02,334.24962,-18.20795,19.55,02a58785o0295c
58787.263283,20.792,0.660,18,12,o,0,0.82,334.24962,-18.20795,19.65,01a58787o0181o
58787.266672,-21.509,1.131,-9,10,o,0,0.82,334.24962,-18.20795,19.63,01a58787o0188o
58787.274505,-23.195,6.350,-2,12,o,0,0.70,334.24962,-18.20795,19.59,01a58787o0204o
58787.285799,22.117,1.825,5,9,o,0,1.00,334.24962,-18.20795,19.68,01a58787o0227o
58789.285285,20.440,0.563,24,14,o,0,0.78,334.24962,-18.20795,19.35,02a58789o0133o
