ra,dec,glon,glat,instrument,filter,depth95,mjd
148.90890949888916,-29.24891329839386,262.9167026589187,19.64860216623985,c4d,r,23.532,57784.23245408945
141.21857763714297,-29.248803612674728,257.83070593419296,15.016911795833575,c4d,g,23.895687,57753.25573226064
146.98652956554088,-29.2487582729022,261.590846736664,18.533495319557936,c4d,g,23.69483,57784.217363700736
148.90910404988972,-29.24859202015137,262.91661497171924,19.64895602227636,c4d,g,23.692516,57784.23108361196
145.0645716153556,-29.2485882981903,260.3020763869086,17.38933787996904,c4d,g,23.63366,57784.214621061925
141.2178744007515,-29.24839511577952,257.82996116197506,15.016750854617372,c4d,r,23.750685,57753.25710440334
139.2970692641603,-29.24830537457816,256.6472517116484,13.793442502932193,c4d,g,23.848654,57753.25297771534
143.1416156203992,-29.24829811996654,259.0485537154243,16.21673289727715,c4d,r,23.373142,57784.207753590774
139.29588112162645,-29.247836976668836,256.6461749500561,13.792994653483763,c4d,r,23.738808,57753.25434992276
143.14320840176038,-29.247541398415436,259.0490199405812,16.21825064161023,c4d,g,23.508476,57784.20636645146
109.85692184946876,-29.196105149090027,242.05048731467932,-7.341369044909255,c4d,i,22.799084,56659.35327164084
241.97912495454932,-29.193159297777747,346.469610930768,16.623756513762093,c4d,i,22.73234,56785.26026744209
242.59890138113545,-29.17247644229693,346.8850069495023,16.257024530449723,c4d,i,22.721466,56785.25800237758
242.29583749095235,-29.049426443786977,346.78023757030564,16.531155526798678,c4d,i,22.686354,56785.25574352918
242.00643811400863,-28.982734357404183,346.64169719201396,16.75671247738329,c4d,i,22.73748,56785.261402600445
281.29710816243926,-28.972589517805716,6.120240963885234,-11.516241430095707,c4d,r,22.265198,57546.2222261196
281.2985080280802,-28.97047387487867,6.122725120957982,-11.516466684677765,c4d,g,22.58991,57546.21510545863
281.3090548109506,-28.95678622280699,6.13935485999493,-11.51910849208254,c4d,r,22.323498,57546.22371484013
281.30906256347316,-28.956060904129792,6.14002985073563,-11.518810684857277,c4d,g,22.728779,57546.2168891374
281.3219901324107,-28.94146740398621,6.15839061245979,-11.52296623813128,c4d,r,22.439585,57546.225208207965
281.3221314185179,-28.940483427263157,6.159355285204262,-11.522666175095504,c4d,g,22.577366,57546.21866787458
281.33343583333976,-28.926188815997467,6.176832357528064,-11.525659348551097,c4d,r,22.444042,57546.22668263829
281.33335069191105,-28.92610406842777,6.1768790232744415,-11.5255561760957,c4d,g,22.644585,57546.22044560686
104.14479614645344,-28.79069238978279,239.4713353959453,-11.660448508733714,c4d,i,23.029146,56659.34654429788
242.4436984568298,-28.785331826861444,347.0704425582147,16.62673146391399,c4d,i,22.74966,56785.2568726684
141.1214065393815,-28.689913506856108,257.35088117666993,15.341162454651837,c4d,i,22.592878,56678.35469815321
141.126293837326,-28.68518846081428,257.3503946635402,15.34752544176534,c4d,i,22.217169,56702.22881396115
141.12618036931724,-28.684740800006217,257.3499871533381,15.347761826214311,c4d,r,22.239822,56702.22778304014
141.29458740620422,-28.616598605059412,257.40455451759175,15.501766501076297,c4d,i,22.58352,56678.35263948189
141.2931733050409,-28.61427666409522,257.4019219051277,15.502471387784354,c4d,i,23.516075,56678.35572911892
141.2948191021489,-28.61286429324397,257.40189660336614,15.504491692257291,c4d,i,23.509394,56678.35992747173
141.30053796496207,-28.611736018487267,257.40464651713506,15.50890266367384,c4d,i,23.50741,56678.364114079624
141.29908509072203,-28.61114006706608,257.403285248521,15.508391404126575,c4d,i,23.659887,56679.22832658095
141.29616265008556,-28.61056231701124,257.40101333664427,15.506934204380723,c4d,r,22.491234,57821.048105061986
141.29698124549788,-28.61028025202492,257.40131643775294,15.507648839333957,c4d,i,22.395624,57821.04913808266
141.30017721898423,-28.61024999597917,257.40330395678063,15.509699511964095,c4d,r,23.69496,56679.22145860595
141.29732805848198,-28.610105740899822,257.4014035546926,15.507989584211796,c4d,g,22.086159,57821.047079193406
141.29988554769992,-28.60994799505756,257.402893761315,15.50972277283422,c4d,i,23.687082,56679.23252132768
141.29787186430207,-28.609852146700323,257.40155520447337,15.508510039619283,c4d,r,22.976028,56702.230887702666
141.29839855145056,-28.609785450787506,257.4018364104001,15.50889059132188,c4d,r,22.92849,56702.23433823604
141.3013581133008,-28.6097211356119,257.4036497032638,15.510814617947316,c4d,r,22.169167,56702.22161387419
141.29634304625304,-28.60968140436535,257.4004654190449,15.507656931267606,c4d,i,22.988863,56702.24116563937
141.29780948762323,-28.609675803644727,257.4013835749826,15.508592166746402,c4d,i,22.172623,56702.22265599249
141.30052507527392,-28.609615584656964,257.4030464654845,15.510358432112076,c4d,i,22.633204,56679.23670862615
141.29992526634783,-28.60944929817136,257.4025443369744,15.510092296436502,c4d,r,23.214516,56679.21801977977
