cls,source_id,sig,P_d,M2_msun,G,bp_rp,simbad_main,otype,sp_type,has_HD,has_HIP,has_GJ,has_TYC,named_ids
BD,6506582811548406528,24.79977035522461,693.8114152331337,0.0798,12.04744815826416,1.2914209365844727,,,,false,false,false,false,""
BD,1543883104727682176,24.597396850585938,593.2586577326256,0.057,11.400900840759277,0.924774169921875,TYC 3456-251-1,Em*,G7,false,false,false,true,""
BD,2047188847334279424,23.83953094482422,449.9997576028038,0.0138,7.280155658721924,0.9235005378723145,HD 185501,**,G5,true,true,true,true,GJ 4118|HIP 96576|BD+33  3529|HD 185501
BD,4617906887715392256,23.660476684570312,740.0838861240948,0.0703,12.455994606018066,1.078263282775879,UCAC4 032-000591,SB*,"",false,false,false,false,""
BD,1202126574095380992,23.178722381591797,316.7595682327285,0.0785,12.178211212158203,1.0684127807617188,UCAC4 555-055678,SB*,"",false,false,false,false,""
BD,5271515801094390912,23.061635971069336,622.0150694362203,0.0298,12.158358573913574,2.0081520080566406,PM J08400-6831,PM*,"",false,false,false,false,""
BD,1946887995017221888,22.956254959106445,237.23939164833027,0.0587,12.05810546875,1.902125358581543,Gaia DR3 1946887995017221888,*,"",false,false,false,false,""
BD,2025708959984470016,22.689525604248047,449.19782940037516,0.0719,11.66899299621582,0.9897279739379883,TYC 2133-1455-1,PM*,"",false,false,false,true,""
BD,1094180924823720832,22.617237091064453,165.82857152287968,0.0796,11.786914825439453,1.2804365158081055,UCAC4 791-020584,SB*,"",false,false,false,false,""
BD,551891619522796672,22.456247329711914,377.1230895253509,0.052,12.949308395385742,2.151797294616699,,,,false,false,false,false,""
BD,6809946212909914752,22.416677474975586,299.1017910728045,0.0712,11.884653091430664,1.0987968444824219,UCAC3 124-593953,SB*,"",false,false,false,false,""
BD,402252377651956096,21.86589241027832,517.2617473149362,0.0784,10.992361068725586,1.2657604217529297,TYC 3266-1354-1,SB*,"",false,false,false,true,""
BD,6522700384998507264,21.671586990356445,618.4745905953332,0.0469,12.513203620910645,0.9276504516601562,,,,false,false,false,false,""
BD,525056285903005056,21.666656494140625,550.2856338126812,0.0787,10.160168647766113,0.8181486129760742,TYC 4025-769-1,SB*,"",false,false,false,true,""
BD,2267886497730309760,21.584138870239258,556.3427206227392,0.0573,10.600104331970215,0.7671575546264648,TYC 4442-633-1,PM*,"",false,false,false,true,""
BD,6003213988796751360,21.520875930786133,324.18365552669206,0.0692,9.551188468933105,1.2916955947875977,CD-39  9978,SB*,"",false,false,false,true,""
BD,2052469973468984192,21.50649642944336,209.31568456899032,0.0292,10.690556526184082,2.3546667098999023,Ross 1063,SB*,M2V,false,false,true,true,GJ 4113
BD,1134772007902420736,21.49947166442871,604.1012127099094,0.0755,10.597498893737793,0.7436084747314453,BD+83   329,*,G5,false,false,false,true,BD+83   329
