MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,snr
57538.587664,-20.911,1.694,-16,27,c,0,0.92,313.22651,-14.84044,320.12,10451.98,4.21,3.9,-46.1,-0.427,19.14,20.66,02a57538o0672c,-0.5925925925925926
57538.595292,20.656,1.25,20,25,c,0,1.31,313.22651,-14.84044,1404.99,569.27,4.89,3.5,-18.3,-0.5,19.1,20.6,02a57538o0686c,0.8
57538.599927,-20.54,2.12,-22,47,c,0,0.59,313.22651,-14.84044,9960.67,10496.5,4.52,3.72,81.0,-0.415,19.16,20.7,02a57538o0695c,-0.46808510638297873
57538.600411,-22.833,10.0,-3,27,c,0,1.14,313.22651,-14.84044,264.2,10372.33,4.3,3.92,-48.2,-0.432,19.12,20.64,02a57538o0696c,-0.1111111111111111
57538.607773,20.344,0.952,26,25,c,0,1.07,313.22651,-14.84044,9164.57,9859.81,4.26,3.71,76.9,-0.416,19.0,20.46,02a57538o0710c,1.04
57538.611786,-20.735,1.585,-18,29,c,0,1.15,313.22651,-14.84044,10000.1,10435.56,4.61,3.75,80.4,-0.417,18.96,20.34,02a57538o0718c,-0.6206896551724138
57538.612272,19.543,0.917,55,51,c,0,0.87,313.22651,-14.84044,244.77,10488.79,4.38,3.96,-48.4,-0.416,18.92,20.27,02a57538o0719c,1.0784313725490196
57538.617631,21.349,4.227,10,44,c,0,1.27,313.22651,-14.84044,1425.99,628.26,4.81,3.42,-17.9,-0.519,18.49,19.51,02a57538o0730c,0.22727272727272727
57538.621019,19.317,1.355,68,92,c,0,1.24,313.22651,-14.84044,284.64,10427.26,4.42,3.96,-47.2,-0.438,18.16,18.9,02a57538o0737c,0.7391304347826086
57539.553899,-20.627,1.0,-20,20,c,0,0.95,313.22651,-14.84044,10216.99,9579.24,4.62,3.62,81.1,-0.403,19.36,21.13,02a57539o0308c,-1.0
57539.567414,21.819,3.2,7,22,c,0,0.99,313.22651,-14.84044,521.39,9566.02,4.39,3.96,-49.3,-0.421,19.33,21.09,02a57539o0333c,0.3181818181818182
57539.567897,20.195,0.586,30,18,c,0,1.21,313.22651,-14.84044,10237.22,9619.34,4.57,3.6,79.5,-0.423,19.39,21.15,02a57539o0334c,1.6666666666666667
57539.581361,20.648,1.0,20,20,c,0,1.04,313.22651,-14.84044,541.05,9602.41,4.28,3.84,-55.0,-0.416,19.37,21.11,02a57539o0359c,1.0
57539.581844,-20.327,0.73,-27,20,c,0,1.02,313.22651,-14.84044,10179.15,9537.69,4.52,3.59,80.7,-0.426,19.4,21.16,02a57539o0360c,-1.35
57539.595328,21.123,1.581,13,20,c,0,0.8,313.22651,-14.84044,483.76,9522.34,4.28,3.78,-56.5,-0.429,19.38,21.12,02a57539o0385c,0.65
57539.595811,24.074,21.0,1,18,c,0,1.13,313.22651,-14.84044,10160.46,9653.41,4.52,3.62,80.3,-0.413,19.4,21.16,02a57539o0386c,0.05555555555555555
57539.608498,-22.343,5.4,-4,23,c,0,1.03,313.22651,-14.84044,467.28,9640.03,4.23,3.83,-53.7,-0.423,19.24,20.84,02a57539o0411c,-0.17391304347826086
57539.608982,-22.231,4.273,-5,20,c,0,1.24,313.22651,-14.84044,10202.87,9595.73,4.52,3.59,81.1,-0.422,19.23,20.83,02a57539o0412c,-0.25
57539.621367,-18.954,1.169,-95,111,c,0,0.87,313.22651,-14.84044,505.77,9578.08,4.18,3.8,-56.1,-0.46,18.09,18.68,02a57539o0437c,-0.8558558558558559
