ra,dec,id,otype,catalog,source_id,pulled_utc
160.213333,15.192778,DO_Leo_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
93.829167,15.516667,V344_Ori_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
113.157083,-13.518889,V667_Pup,NL,ritter_kolb,,2026-06-01T01:35:02Z
352.252083,-29.779444,VY_Scl_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
92.64,-48.740556,V347_Pup_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
36.400417,28.0975,RW_Tri_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
128.274167,-22.809167,WX_Pyx_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
121.39375,7.341389,J0805+0720,CV,ritter_kolb,,2026-06-01T01:35:02Z
344.035,59.908333,J2256+5954,NL,ritter_kolb,,2026-06-01T01:35:02Z
82.355833,-32.818056,TV_Col_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
355.447083,57.516667,V705_Cas_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
165.81625,-58.457222,V365_Car_1,Nb,ritter_kolb,,2026-06-01T01:35:02Z
268.327917,-29.288056,J1753-2917,DN,ritter_kolb,,2026-06-01T01:35:02Z
277.707917,-12.538611,J1830-1232,NL,ritter_kolb,,2026-06-01T01:35:02Z
306.345417,15.766111,EZ_Del_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
7.20375,59.289444,V709_Cas_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
328.54625,-9.022778,DM_Cap,CV,ritter_kolb,,2026-06-01T01:35:02Z
165.66125,-54.386111,CN_Vel_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
6.045,-72.105556,NGC_104-W120,CV,ritter_kolb,,2026-06-01T01:35:02Z
244.700833,-60.463611,NR_TrA,N,ritter_kolb,,2026-06-01T01:35:02Z
81.709583,-70.023333,N_LMC_1995,N,ritter_kolb,,2026-06-01T01:35:02Z
94.18,15.403333,CZ_Ori_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
289.159167,0.126944,FO_Aql_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
24.230833,7.275,AY_Psc_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
4.562083,66.303889,V513_Cas_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
101.321667,-16.859722,HL_CMa_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
117.8225,14.740278,PQ_Gem_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
140.53125,31.054167,AR_Cnc_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
272.589167,-23.091667,V5588_Sgr,Na,ritter_kolb,,2026-06-01T01:35:02Z
310.585,19.161111,HR_Del_1,Nb,ritter_kolb,,2026-06-01T01:35:02Z
222.038333,-60.006944,AR_Cir_1,Nb,ritter_kolb,,2026-06-01T01:35:02Z
291.52125,27.366389,PW_Vul_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
187.835833,-64.440278,AP_Cru_1,N,ritter_kolb,,2026-06-01T01:35:02Z
120.845,-28.474722,HZ_Pup_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
287.717083,-59.966944,NGC_6752-CV1,GC,ritter_kolb,,2026-06-01T01:35:02Z
269.79875,-26.411111,J1759-2624,DN,ritter_kolb,,2026-06-01T01:35:02Z
271.05875,67.903333,EX_Dra_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
16.148333,41.299444,RX_And_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
124.045,45.502778,J0816+4530,DN,ritter_kolb,,2026-06-01T01:35:02Z
135.069167,43.021667,J0900+4301,DN,ritter_kolb,,2026-06-01T01:35:02Z
244.1575,-49.979167,J1616-4958,NL,ritter_kolb,,2026-06-01T01:35:02Z
332.03125,2.272222,2205+0201,,ritter_kolb,,2026-06-01T01:35:02Z
280.010833,-33.448889,V4745_Sgr_1,Nb,ritter_kolb,,2026-06-01T01:35:02Z
24.154167,32.011111,TW_Tri,DN,ritter_kolb,,2026-06-01T01:35:02Z
271.962083,-35.173611,V617_Sgr_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
296.91875,-42.007222,V3885_Sgr_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
284.34,13.241389,V446_Her_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
