mjd,ra,dec,mag,filter,id,exposure,obscode
57890.15344452299,250.97588055794202,-21.394437252493802,15.526926,Y,134244_30016,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.97678709283468,-21.395876188253688,16.159563,Y,134244_30011,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.97615009013464,-21.39641844600373,18.212194,Y,134244_30012,c4d_170517_034420_ooi_Y_v1,W84
57890.15344452299,250.97546405515885,-21.401498789369512,20.32028,Y,134244_31396,c4d_170517_034420_ooi_Y_v1,W84
57890.15758444974,250.98358961345423,-21.39959860677084,16.708117,Y,134244_29970,c4d_170517_035017_ooi_Y_v1,W84
57890.15758444974,250.9823967750845,-21.40023547942525,19.660137,Y,134244_29981,c4d_170517_035017_ooi_Y_v1,W84
57890.15758444974,250.98629370670477,-21.395322062366464,17.98404,Y,134244_29960,c4d_170517_035017_ooi_Y_v1,W84
57890.15758444974,250.98618170414528,-21.39613087101958,18.663866,Y,134244_29961,c4d_170517_035017_ooi_Y_v1,W84
57890.15758444974,250.98512854337054,-21.39479150512565,19.804688,Y,134244_29967,c4d_170517_035017_ooi_Y_v1,W84
57890.15758444974,250.98450953816746,-21.394925742901798,19.889296,Y,134244_29973,c4d_170517_035017_ooi_Y_v1,W84
57890.15758444974,250.9837916931965,-21.398005049772525,20.794153,Y,134244_31814,c4d_170517_035017_ooi_Y_v1,W84
57890.15758444974,250.9825897196515,-21.39551358178238,21.57081,Y,134244_31815,c4d_170517_035017_ooi_Y_v1,W84
57890.16171870334,250.98515624420918,-21.394802157328726,19.67081,Y,134244_29967,c4d_170517_035615_ooi_Y_v1,W84
57890.16171870334,250.98448950633997,-21.394917906377383,19.771559,Y,134244_29973,c4d_170517_035615_ooi_Y_v1,W84
57890.11913857702,250.98513753125852,-21.39480863869811,19.442434,Y,134244_29967,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.9844863276454,-21.39491560511342,19.63691,Y,134244_29973,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.98628881815355,-21.39532171430336,17.977478,Y,134244_29960,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.98617593800992,-21.396133721579073,18.67033,Y,134244_29961,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.98358730680508,-21.399596577807635,16.694181,Y,134244_29970,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.98236676572952,-21.400244378257646,19.626162,Y,134244_29981,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.98148933075018,-21.402309541522232,19.368065,Y,134244_29984,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.98096435421385,-21.403420248633495,19.083359,Y,134244_29988,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.9804134052138,-21.3953572492623,18.482203,Y,134244_29992,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.9802811698645,-21.399301261551383,20.080038,Y,134244_29995,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.9803628364641,-21.39329789835846,21.041716,Y,134244_31823,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.9790627419451,-21.40328398026023,19.468765,Y,134244_30002,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.9780171194161,-21.402760285982644,20.770945,Y,134244_31392,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.97719747361853,-21.403959760625995,16.14124,Y,134244_30006,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.97713911653423,-21.397280596556925,18.806248,Y,134244_30009,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.97670830711078,-21.395933178622766,16.020823,Y,134244_30011,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.9758788001038,-21.394439016227295,15.531416,Y,134244_30016,c4d_170517_025456_ooi_Y_v1,W84
57890.11913857702,250.97546263982036,-21.40149177772448,20.244036,Y,134244_31396,c4d_170517_025456_ooi_Y_v1,W84
57890.15551470313,250.98514571282644,-21.394797019105578,19.72954,Y,134244_29967,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.98451658994756,-21.394925225898326,19.833265,Y,134244_29973,c4d_170517_034719_ooi_Y_v1,W84
