ra,dec,mjd,mag_auto,filter,fwhm,class_star,objectid,measid,exposure
256.62625887767757,-26.919023097885947,57084.35139210569,20.868153,r,1.074461,0.945426,142957_94912,c4d.417636.45.409,c4d_150303_082805_ooi_r_v1
256.62886135229775,-26.930956709290673,57084.35139210569,17.439499,r,2.418461,0.898134,142957_94074,c4d.417636.45.25898,c4d_150303_082805_ooi_r_v1
256.6284347117512,-26.92341529943048,57084.35139210569,18.483273,r,1.569633,0.982426,142957_94612,c4d.417636.45.25925,c4d_150303_082805_ooi_r_v1
256.62848179495876,-26.929541031034784,57084.35139210569,20.446934,r,1.104188,0.893659,142957_94184,c4d.417636.45.26014,c4d_150303_082805_ooi_r_v1
256.6279921291611,-26.928755021712146,57084.35139210569,20.574453,r,1.057427,0.961329,142957_94248,c4d.417636.45.26104,c4d_150303_082805_ooi_r_v1
256.6307469977498,-26.92515778808878,58258.38775153272,20.395641,g,1.607132,0.978784,142957_94503,c4d.748676.60.5311,c4d_180520_091821_ooi_g_v1
256.6319409599149,-26.926354722282028,58258.38775153272,22.399818,g,0.852876,0.548155,142957_94416,c4d.748676.60.5314,c4d_180520_091821_ooi_g_v1
256.63147136246056,-26.92584838173743,58258.38775153272,19.880825,g,1.021954,0.983046,142957_94456,c4d.748676.60.5315,c4d_180520_091821_ooi_g_v1
256.6289545346106,-26.922110915660237,58258.38775153272,22.188873,g,1.013587,0.609517,142957_94706,c4d.748676.60.5604,c4d_180520_091821_ooi_g_v1
256.6284256753958,-26.923418328461782,58258.38775153272,19.06814,g,1.781268,0.942718,142957_94612,c4d.748676.60.5624,c4d_180520_091821_ooi_g_v1
256.62805355568594,-26.92669299546783,58258.38775153272,20.46019,g,1.122854,0.978698,142957_94392,c4d.748676.60.5636,c4d_180520_091821_ooi_g_v1
256.6322014481064,-26.920990218190806,58258.38775153272,18.364304,g,1.050864,0.983185,142957_94781,c4d.748676.60.5371,c4d_180520_091821_ooi_g_v1
256.6318564986287,-26.921763889460188,58258.38775153272,20.042782,g,1.153564,0.9814,142957_94729,c4d.748676.60.5372,c4d_180520_091821_ooi_g_v1
256.63108743651134,-26.926851239949254,58258.38775153272,18.967834,g,1.792782,0.920827,142957_94389,c4d.748676.60.5430,c4d_180520_091821_ooi_g_v1
256.63053399561903,-26.92628624597667,58258.38775153272,22.755138,g,0.963717,0.691433,142957_94427,c4d.748676.60.5431,c4d_180520_091821_ooi_g_v1
256.63151923553835,-26.919855284379565,58258.38775153272,21.875824,g,1.162507,0.749964,142957_94862,c4d.748676.60.5456,c4d_180520_091821_ooi_g_v1
256.6309318390506,-26.920446861692554,58258.38775153272,20.859318,g,1.122769,0.975958,142957_94816,c4d.748676.60.5473,c4d_180520_091821_ooi_g_v1
256.6302256990335,-26.923778946574707,58258.38775153272,21.305595,g,1.121646,0.940569,142957_94590,c4d.748676.60.5520,c4d_180520_091821_ooi_g_v1
256.6302481782381,-26.921789171725003,58258.38775153272,22.597118,g,0.983986,0.510783,142957_94727,c4d.748676.60.5534,c4d_180520_091821_ooi_g_v1
256.6297615915968,-26.92800373752694,58258.38775153272,22.320438,g,1.185418,0.579062,142957_94299,c4d.748676.60.5550,c4d_180520_091821_ooi_g_v1
256.6293065040448,-26.92792762283427,58258.38775153272,22.031914,g,1.245919,0.769066,142957_94303,c4d.748676.60.5551,c4d_180520_091821_ooi_g_v1
256.62915447634134,-26.92000432023513,58258.38775153272,18.3913,g,1.062755,0.982896,142957_94846,c4d.748676.60.5552,c4d_180520_091821_ooi_g_v1
256.62939159450906,-26.92067206651405,58258.38775153272,21.089424,g,1.128073,0.957387,142957_94802,c4d.748676.60.5553,c4d_180520_091821_ooi_g_v1
256.62945291987154,-26.925182862525187,58258.38775153272,20.652775,g,1.488671,0.662353,142957_94504,c4d.748676.60.5573,c4d_180520_091821_ooi_g_v1
256.6275674406682,-26.925684097232114,58258.38775153272,19.612831,g,1.022488,0.980794,142957_94467,c4d.748676.60.5684,c4d_180520_091821_ooi_g_v1
256.62742924382377,-26.919190137327487,58258.38775153272,18.96219,g,1.074536,0.983103,142957_94907,c4d.748676.60.5685,c4d_180520_091821_ooi_g_v1
256.62751329443427,-26.920353044551874,58258.38775153272,20.985538,g,1.168137,0.97044,142957_94819,c4d.748676.60.5697,c4d_180520_091821_ooi_g_v1
256.62656918861524,-26.920523275345,58258.38775153272,20.159035,g,2.882747,0.898368,142957_94815,c4d.748676.60.5698,c4d_180520_091821_ooi_g_v1
256.6268353137281,-26.923871094687303,58258.38775153272,21.538086,g,1.25037,0.808843,142957_94582,c4d.748676.60.5760,c4d_180520_091821_ooi_g_v1
256.6249424734818,-26.92523170859171,58258.38775153272,19.745148,g,1.035257,0.981717,142957_94499,c4d.748676.60.5794,c4d_180520_091821_ooi_g_v1
256.62509998023916,-26.927859792737113,58258.38775153272,21.649796,g,1.306556,0.723057,142957_94307,c4d.748676.60.5800,c4d_180520_091821_ooi_g_v1
256.6264677950189,-26.926643692378345,58258.38775153272,21.048378,g,1.233322,0.964131,142957_94398,c4d.748676.60.5801,c4d_180520_091821_ooi_g_v1
256.62558770525317,-26.926632549245046,58258.38775153272,18.184666,g,1.025707,0.982979,142957_94400,c4d.748676.60.5802,c4d_180520_091821_ooi_g_v1
