# Subset of vw_below_ms.csv with |b|>10 deg, -0.5<G-W1 excess<1.8, w1_amp>0.15, W1<15.5 (226 rows): input to vw_pipeline.py.
designation,ra,dec,vartype,confidence,variability_snr,period1,period2,period_significance,suspect_period,w1_amp,w2_amp,n_obs,w1mag,w2mag,w3mag,jmag,hmag,kmag,gmag,bpmag,rpmag,plx,e_plx,simbad_type,known_extragalactic,blended_source,latent_artifact,cat,bprp,MG,d_ridge,env,gw1_exc,b
VarWISE J161456.76-324656.9,243.73652,-32.7825,rr,0.6672,4.287,1.7665,0.611625,6.431,0,0.235,0.606,232,14.636,14.785,12.3,15.67,14.96,14.75,18.68,18.9,16.96,3.2347,0.3972,,0,0.05,0.3,varwiseext,1.9399999999999975,11.229170042664808,2.9240523844974273,9.965539678017544,1.1840000000000035,13.01683415238558
VarWISE J052637.32-634502.8,81.65551,-63.7508,cv,0.978,4.919,0.391275,767.0,5.534,0,0.227,0.519,1425,14.465,14.57,13.91,15.95,15.79,15.36,19.22,20.09,17.84,3.9387,0.2274,,0,0.06,0.04,varwiseext,2.25,12.196764515233449,2.922780721969275,10.818578184495482,1.388333333333332,-33.45834095773973
VarWISE J170359.41-081743.4,255.99757,-8.2954,cv,,3.359,,,,0,0.36,0.862,256,15.38,15.36,11.45,16.72,16.04,15.48,20.23,21.53,18.85,4.5633,0.8805,,0,0.07,0.14,varwiseext,2.6799999999999997,13.52639510527222,2.893969800456544,11.77694615594772,0.8300000000000001,19.398624857732905
VarWISE J175345.91-470227.9,268.4413,-47.0411,cv,0.5008,4.685,6.28625,4.792925,6.43,0,0.225,0.473,270,14.385,14.36,12.65,15.42,14.8,14.66,18.69,18.89,16.96,3.1048,0.3372,,0,0.05,0.17,varwiseext,1.9299999999999995,11.150168148659796,2.8724141671627805,9.979758852129883,1.4600000000000015,-10.52653207520737
VarWISE J160617.00-372152.9,241.57086,-37.3647,ew,0.9659,3.861,5.5439,0.1147,6.233,0,0.301,0.868,264,15.002,15.106,12.59,16.16,15.42,15.04,18.74,19.42,17.45,3.1854,0.5553,,0,0.06,0.02,varwiseext,1.9700000000000024,11.255819878624,2.8626770217403923,10.121928426365248,0.832999999999994,10.953828218493888
VarWISE J184104.07-273054.0,280.26699,-27.515,rr,0.751,5.075,1.061325,1.76205,8.508,0,0.232,0.673,131,14.296,14.43,,,,,17.95,18.48,16.6,4.0491,0.6654,,0,0.08,0.15,varwiseext,1.879999999999999,10.986792513024458,2.845856914879308,10.050854722691602,0.8840000000000012,-10.075933347935102
VarWISE J173207.38-134406.7,263.03075,-13.7352,ew,0.9229,5.063,0.39855,0.117725,8.72,0,0.3,0.591,160,14.64,14.911,11.94,15.5,15.05,14.59,18.17,18.9,16.96,3.9442,0.4521,,0,0.05,0.25,varwiseext,1.9399999999999975,11.149794643787745,2.844676985620362,9.965539678017544,0.6700000000000044,10.660720113512957
VarWISE J052043.17-692244.4,80.17989,-69.379,cv,0.4839,5.228,764.0,385.0,7.762,0,0.153,0.224,1440,13.41,13.385,13.62,14.49,13.96,13.64,17.8,18.52,16.37,6.1565,0.1775,,0,0.05,0.41,varwiseext,2.1499999999999986,11.746669419038684,2.8058197995021104,10.712945159617911,1.1900000000000026,-33.20420308967276
VarWISE J122207.55-733732.8,185.53147,-73.6258,cv,0.9652,4.805,10.72345,11.3959,4.922,0,0.332,0.583,467,15.023,14.879,12.79,16.08,15.73,15.22,19.88,21.21,18.43,5.9292,0.3859,,0,0.06,0.11,varwiseext,2.780000000000001,13.744980499685209,2.7986374274696413,12.01578830609786,0.6869999999999976,-10.87358946415476
VarWISE J182503.92-350255.6,276.26635,-35.0488,lpv,0.7805,4.846,8.3172,9.16505,5.415,0,0.18,0.34,268,13.841,13.853,12.54,15.53,14.73,14.4,18.09,18.89,16.76,5.1736,0.7615,,0,0.05,0.28,varwiseext,2.129999999999999,11.6589642396953,2.779126755052646,10.731228150935394,1.0823333333333354,-10.2651161916067
