# eRASS:3 (Ramos-Ceja+2026, J/A+A/712/A171/dr2mg) Gaia counterparts with matchflag=1, 0.05<=pany<0.5, parallax>2 mas at >5 sigma, M_G>4.5, below the main sequence or on the WD side, separation <3in (243 rows); 'known' = VSX/SIMBAD/Downes/Ritter-Kolb/Gentile Fusillo+2021 matches.
GaiaDR3,IAUName,RAGdeg,DEGdeg,Plx,e_Plx,pmRA,pmDE,RUWE,Gmag,BPmag,RPmag,pany,pi,SepGDR3ERO,MLFlux1,DetLike0,Pstar,PQSO,UIdDR1,bprp,MG,d_ridge,env,known
3471720609087644672,3eRASS J123345.1-294410,188.43858608597,-29.73591842547,4.40633,0.819664,-25.60428,11.14284,1.066521,20.37736,20.92558,19.02395,0.293664,1.0,1.663315,7.2182e-14,54.7005,0.999991,0.0,118712000028,1.9016300000000008,13.59774509663414,5.397621865850967,10.0200986490866,
3513017956589117056,3eRASS J122637.8-230413,186.65766017705,-23.07064974499,3.9585,0.383534,-51.51495,7.44985,0.977119,19.53599,20.73584,18.46489,0.381404,1.0,1.124503,2.54114e-14,12.1077,0.999895,0.0,118611400228,2.270949999999999,12.523643246378656,3.1808935518600396,10.826812026134222,SIMBAD:Gaia DR3 3513017956589117056 [HighPM*]
3516111569992627840,3eRASS J124030.0-184034,190.12538094728,-18.6759498253,2.47881,0.397244,15.82901,-9.50807,1.057262,19.71448,20.95532,18.46898,0.477568,0.979442,1.180533,2.52601e-14,10.9254,0.999968,0.0,118910800599,2.486340000000002,11.685696197546465,1.6650155679293306,11.328053073132846,
3517891163921921664,3eRASS J121723.4-202026,184.34708805299,-20.34097826144,4.08715,0.598812,-35.40643,2.40805,1.092633,20.08113,21.50248,18.6642,0.34733,0.970632,2.131266,2.4558e-14,9.82018,0.999993,0.0,0,2.8382799999999975,13.138232883905244,2.018467028751884,12.12414342261786,
3531153610614756608,3eRASS J111357.0-283657,168.48767885643,-28.61626893955,2.80107,0.452029,-6.8209,-2.94294,1.086998,19.74212,20.95133,18.45465,0.357086,0.886667,1.413693,1.78442e-14,7.41437,0.999996,0.0,0,2.496679999999998,11.978739810868763,1.9210641570229523,11.34347985100411,
3537117430403448320,3eRASS J110157.8-234729,165.4915454026,-23.79088483098,5.59988,0.406588,-39.62557,-39.84603,0.981865,19.70076,19.92023,19.52484,0.14631,1.0,2.621913,6.04744e-14,26.83,0.999927,0.0,116711400086,0.395389999999999,13.441653602980807,0.4280706762180877,13.963977671883448,SIMBAD:GALEX J110157.9-234724 [WhiteDwarf_Candidate]; GF21:WDJ110158.02-234726.55
3566920212765386752,3eRASS J120116.2-183706,180.31777646992,-18.61843422392,7.22697,1.390192,3.77951,-58.76001,1.136289,20.64714,21.41234,19.17361,0.201479,0.999635,0.33034,2.06254e-14,8.65006,0.999996,0.0,0,2.2387300000000003,14.94192125957211,5.705481687687037,10.80667334259178,
3595509915974394624,3eRASS J115210.3-063812,178.04268652562,-6.63751947803,7.06242,0.500053,-62.15676,14.22794,1.051514,19.3679,21.25438,17.92512,0.474098,1.0,2.610596,1.9988e-14,6.17987,0.999992,0.0,0,3.3292600000000014,13.612667706788566,1.182182655116648,12.990111125662075,SIMBAD:2MASS J11521032-0638151 [Low-Mass*]
3609383111312393344,3eRASS J131621.2-132357,199.08898036406,-13.39925510376,2.90897,0.458885,-17.50338,-22.31951,1.003451,19.56556,20.1983,17.9495,0.375279,0.582821,1.253037,3.6195e-14,14.8877,0.979162,1e-06,0,2.2487999999999992,11.884256212110788,2.614270028931351,10.817310588196952,
3684432403474199296,3eRASS J130911.5-024834,197.29848919921,-2.80972135085,2.21307,0.243251,-70.57226,-36.49779,1.020771,18.83281,19.93493,17.93215,0.200748,1.0,1.768049,2.13775e-14,6.26053,0.999999,0.0,0,2.0027800000000013,10.557785754979571,2.065218663462833,10.40155481127722,
3722765398907757568,3eRASS J140439.5+091824,211.16400112157,9.30627878874,3.46251,0.397547,-31.00399,12.83074,1.025057,19.63866,21.14198,18.37218,0.42927,1.0,2.536393,2.13223e-14,7.23842,0.999961,0.0,0,2.7698,12.33561518175393,1.4196240722351003,11.99682430149072,
3773593622437245440,3eRASS J100721.1-060148,151.83786413017,-6.03086821426,4.62879,0.504754,-25.57168,-32.11786,1.051575,19.73161,20.53545,18.378,0.177119,1.0,2.924734,1.83773e-14,6.45381,0.999992,0.0,0,2.1574500000000008,13.0589473902934,4.093279274814112,10.720814819971292,
3810054390086540800,3eRASS J111539.5+001143,168.91461759978,0.19561065941,4.50555,0.303893,-63.07056,43.85291,1.062937,19.22528,20.87729,17.92385,0.44221,0.981236,0.849987,2.66852e-14,6.02229,0.999962,0.0,0,2.953439999999997,12.494019068013053,1.0040522012523,12.332032974520516,
4040721003309923840,3eRASS J175416.2-352641,268.56747436523,-35.44434738159,3.83095,0.127697,14.25805,-35.78152,0.997592,17.97779,18.2399,17.54628,0.115608,0.864567,2.11829,6.75543e-14,21.8088,0.000965,0.983768,0,0.6936199999999992,10.89432241892635,6.8483621229396165,14.490118605745003,VSX:OGLE-BLG-DN-0254 [UGSU+E]; SIMBAD:OGLE BLG-DN-254 [CataclyV*]; RKcat:J1754-3526 [DN]; GF21:WDJ175416.18-352639.08
4041983178121844224,3eRASS J180018.7-353316,270.07730102539,-35.55435180664,3.91589,0.231454,-14.68979,-30.46886,1.046586,19.00354,18.72493,18.14285,0.07267,0.30244,2.690446,9.22906e-14,31.9314,0.999077,0.0,127112600096,0.5820800000000013,11.967692418382796,8.373199860497312,14.354809528903994,VSX:TCP J18001854-3533149 [UGSU]; SIMBAD:TCP J18001854-3533149 [Star]
4058647170238696064,3eRASS J172945.1-295800,262.43881225586,-29.96668624878,7.16434,1.100197,-2.53894,-1.2098,1.062444,20.23467,21.674,18.52419,0.072773,0.263458,2.913267,3.55332e-14,9.12927,0.999994,0.0,0,3.1498099999999987,14.51055094047739,2.4693228669432816,12.720996693655517,
4107290939047483008,3eRASS J171442.4-294346,258.67767333984,-29.72925376892,5.66528,0.098135,20.02698,-8.81408,1.182345,17.216,17.18262,17.10476,0.231539,0.841098,2.663527,1.18231e-13,64.211,0.999999,0.0,125912000085,0.0778600000000011,10.98210689619554,-1.005388114788209,13.856525035181283,VSX:V4341 Oph [UGWZ]; SIMBAD:PNV J17144255-2943481 [CataclyV*]; RKcat:J1714-2943 [DN]; GF21:WDJ171442.62-294345.17
4111991385628196224,3eRASS J170818.9-254833,257.07943725586,-25.80906867981,9.20631,0.036608,-21.80067,-58.95016,1.084061,15.36948,15.50144,14.88414,0.261993,0.930224,2.453242,2.17729e-13,185.131,0.000924,0.939867,125811700043,0.6173000000000002,10.189907973049756,6.489064382802312,14.405503729826057,VSX:V2051 Oph [UGSU+E]; SIMBAD:V* V2051 Oph [CataclyV*]; Downes:; RKcat:V2051 Oph [DN]; GF21:WDJ170819.09-254831.70
4126696971340040064,3eRASS J164933.6-213832,252.3902542079,-21.64233057943,3.08694,0.343562,-4.043,2.53345,1.297686,18.97306,19.71512,17.81888,0.069675,0.662544,0.838369,1.86256e-14,6.9709,0.99999,0.0,0,1.8962399999999988,11.420700941511305,3.2353267324534674,10.027762783933156,
4631744035391159936,3eRASS J005845.5-795600,14.69450564818,-79.93337263753,5.44116,0.26823,-2.05516,17.65409,1.00677,19.64574,21.16021,18.28303,0.33212,0.995986,2.928832,2.02517e-14,10.4998,0.999987,0.0,0,2.877179999999999,13.324197483688172,2.0811464375618502,12.194494809418858,
4634938941303791744,3eRASS J011545.4-782904,18.94313578367,-78.48431600539,3.68704,0.580066,6.60274,-8.41787,1.049289,20.42472,21.74123,19.15535,0.358043,0.912998,2.895989,1.0589e-14,6.63009,0.999994,0.0,0,2.585880000000003,13.25810924605207,2.90643522852824,11.521865297692964,
4648521792556692864,3eRASS J054220.7-750507,85.58552851216,-75.08468481855,2.86436,0.253802,-1.50318,47.08268,1.047255,19.52424,19.51023,19.41712,0.48583,0.987386,2.581038,1.57343e-14,22.5339,0.999999,0.0,109016500624,0.0931099999999993,11.809378001468357,-0.2543846547386845,13.762115723697953,SIMBAD:Gaia DR3 4648521792556692864 [WhiteDwarf_Candidate]; GF21:WDJ054220.53-750505.62
4656810426626781568,3eRASS J054831.5-714531,87.13124247126,-71.75894554305,5.09996,0.221189,9.38402,-12.73961,3.270622,17.80353,18.76035,16.29181,0.11937,0.605318,1.068163,1.46152e-14,40.0842,0.997667,0.0,108616201099,2.4685399999999973,11.341363849266738,1.3843690447241652,11.301496337532392,
4660085867450146560,3eRASS J054006.9-651805,85.02894142706,-65.30189983779,6.62775,0.043603,-43.5035,69.31469,1.041042,16.50295,16.41784,16.6723,0.453126,0.669118,1.75607,5.40401e-15,28.5564,5e-05,0.0,108715602475,-0.2544599999999981,10.609780591925873,-0.3199341581138011,12.910205481124434,SIMBAD:GALEX J054007.0-651807 [WhiteDwarf]; GF21:WDJ054007.06-651807.95
4665788969835958656,3eRASS J035902.4-713541,59.75977268506,-71.5944903023,2.51019,0.262155,-2.39959,6.9158,1.040732,19.50929,20.68887,18.13243,0.362128,0.642211,1.72485,1.40081e-14,8.9764,0.999992,0.0,0,2.556440000000002,11.507822975589663,1.240848130891825,11.440770244562655,
4678916515901893504,3eRASS J042725.7-584627,66.85624206641,-58.77410457307,2.78087,0.257598,-0.7711,-42.04926,0.982734,19.63522,20.78813,18.40705,0.384509,0.868255,2.427102,8.35299e-15,9.13193,0.999988,0.0,0,2.381079999999997,11.856123434787747,2.1642544897305047,10.98715935350193,
4689393727843899648,3eRASS J000309.1-733036,0.78778186323,-73.5095190369,2.35578,0.39061,5.95921,-11.13512,1.110395,19.93262,20.67894,18.62901,0.17928,0.59136,2.064495,3.96584e-14,31.0288,0.999969,0.0,100516500298,2.04993,11.793293652037086,3.1577170222972786,10.803762988476716,
