night,band,n,flux,err,snr
58401.5,c,2,3.895027624309392,6.689647316224497,0.5822470812269469
58402.5,o,4,0.3986790512831903,7.8827903210927674,0.05057587923103892
58404.5,c,4,-12.212462931169034,4.328883288922073,-2.8211578174033045
58405.5,o,4,-11.146868250539956,5.112133535741904,-2.180472824625121
58408.5,o,2,5.0744966442953015,21.08779983813918,0.24063660899880215
58412.5,o,4,-22.380096983331356,12.64252130134578,-1.7702241862902002
58415.5,o,4,23.718996038064724,24.549854812193555,0.9661562652616521
58416.5,o,4,2.268705090196472,9.924593842396567,0.22859425042714196
58423.5,o,4,8.922528372883413,8.428249085937686,1.058645548073611
58424.5,c,3,-5.350515463917528,6.092076990801715,-0.8782744328405807
58426.5,o,4,-1.366927102763891,8.93254725486918,-0.15302769341844474
58427.5,o,4,-6.348623853211009,8.238642446289203,-0.7705910160078031
58428.5,c,4,6.8878529047401695,5.329343664331231,1.2924392455378486
58429.5,c,4,-5.988950276243093,4.73029498104873,-1.266083891223907
58430.5,o,4,-0.43104296071342857,8.092164487277977,-0.053266707738218726
58433.5,c,3,2.5921136508514713,6.298294876383374,0.41155800128874287
58434.5,o,4,-8.325071990845391,8.193055565783972,-1.0161132100229795
58435.5,o,4,-0.22213178641808287,13.331216041407606,-0.016662529939363926
58441.5,o,4,-0.1375687916306934,11.159372029851516,-0.012327646328368162
58442.5,o,4,-5.129898152943206,12.263294817986456,-0.41831320449209414
58446.5,o,4,-16.022314280293465,14.17659101626819,-1.130195140842198
58447.5,o,4,-21.688456144206093,11.41536971757409,-1.8999346215494424
58448.5,o,4,-5.875793156387861,6.174709350064124,-0.9515902406526779
58449.5,o,4,-6.180002645152758,6.440185963054564,-0.9596000302794981
58450.5,o,4,-4.566936577746722,7.693414237607872,-0.5936163628655368
58451.5,o,4,-8.569658690635247,7.935118901966095,-1.0799660088914271
58453.5,c,4,2.4830507155788175,5.329466578343407,0.4659098014928617
58454.5,o,4,-19.443875044498093,7.185158725682641,-2.706116285921128
58455.5,o,4,0.1543427200221996,9.199234775016738,0.016777778130129175
58460.5,c,4,3.330675184649769,7.689363804337775,0.4331535442205045
