mjd,jd,survey,band,diff_flux_nJy,diff_flux_err_nJy,science_flux_nJy,science_flux_err_nJy,template_flux_nJy,diff_mag_AB,science_mag_AB,sep_from_mean_as,note
60307.09720372495,2460307.597203725,ZTF_ZFPS_nightly,ZTF_r,-2767.7,2969.2,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=5; SNR=-0.93
60308.103004950986,2460308.603004951,ZTF_ZFPS_nightly,ZTF_r,-1246.1,7291.5,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=2; SNR=-0.17
60309.05086465279,2460309.5508646527,ATLAS_FP_nightlystack,ATLAS_o,16506.0,23142.0,,,,20.856,,0.0,n=3 exposures; SNR=0.71
60318.087115607195,2460318.587115607,ZTF_ZFPS_nightly,ZTF_r,-613.8,10492.5,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=2; SNR=-0.06
60420.14190252047,2460420.6419025203,ATLAS_FP_nightlystack,ATLAS_o,13940.0,8811.0,,,,21.039,,0.0,n=4 exposures; SNR=1.58
60423.13296649422,2460423.632966494,ATLAS_FP_nightlystack,ATLAS_o,-2647.0,19201.0,,,,,,0.0,n=5 exposures; SNR=-0.14
60424.14149217003,2460424.64149217,ATLAS_FP_nightlystack,ATLAS_o,38274.0,61001.0,,,,19.943,,0.0,n=2 exposures; SNR=0.63
60425.15672059407,2460425.656720594,ATLAS_FP_nightlystack,ATLAS_o,-12582.0,11528.0,,,,,,0.0,n=4 exposures; SNR=-1.09
60428.60816912105,2460429.108169121,ATLAS_FP_nightlystack,ATLAS_o,3809.0,10682.0,,,,22.448,,0.0,n=8 exposures; SNR=0.36
60436.141423963265,2460436.6414239635,ATLAS_FP_nightlystack,ATLAS_c,9441.0,6254.0,,,,21.462,,0.0,n=4 exposures; SNR=1.51
60441.49140049983,2460441.9914005,ZTF_ZFPS_nightly,ZTF_i,-4786.7,13854.8,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.35
60442.3557211536,2460442.855721154,ATLAS_FP_nightlystack,ATLAS_o,5831.0,8092.000000000001,,,,21.986,,0.0,n=4 exposures; SNR=0.72
60443.14166700595,2460443.641667006,ATLAS_FP_nightlystack,ATLAS_c,-6871.0,5744.0,,,,,,0.0,n=4 exposures; SNR=-1.2
60445.09435789577,2460445.5943578957,ATLAS_FP_nightlystack,ATLAS_c,-6770.0,13375.0,,,,,,0.0,n=4 exposures; SNR=-0.51
60449.12561046045,2460449.6256104605,ATLAS_FP_nightlystack,ATLAS_c,-2136.0,4930.0,,,,,,0.0,n=5 exposures; SNR=-0.43
60451.07837558656,2460451.578375587,ATLAS_FP_nightlystack,ATLAS_o,17288.0,11836.0,,,,20.806,,0.0,n=4 exposures; SNR=1.46
60452.11649891531,2460452.6164989155,ATLAS_FP_nightlystack,ATLAS_o,-10221.0,12176.0,,,,,,0.0,n=4 exposures; SNR=-0.84
60456.098939197385,2460456.5989391976,ATLAS_FP_nightlystack,ATLAS_o,-8494.0,11101.0,,,,,,0.0,n=4 exposures; SNR=-0.77
60457.11558712088,2460457.615587121,ATLAS_FP_nightlystack,ATLAS_o,6132.0,10483.0,,,,21.931,,0.0,n=4 exposures; SNR=0.58
60457.44366900018,2460457.943669,ZTF_ZFPS_nightly,ZTF_i,9218.7,10444.6,,,,21.488,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.88
60461.3553141691,2460461.855314169,ATLAS_FP_nightlystack,ATLAS_o,10252.0,8866.0,,,,21.373,,0.0,n=4 exposures; SNR=1.16
60462.59757853934,2460463.0975785395,ATLAS_FP_nightlystack,ATLAS_o,224.0,5146.0,,,,25.524,,0.0,n=6 exposures; SNR=0.04
60463.42697919998,2460463.9269792,ZTF_ZFPS_nightly,ZTF_i,2854.5,9426.3,,,,22.761,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.30
60464.42099539982,2460464.9209954,ZTF_ZFPS_nightly,ZTF_r,1101.0,4274.0,,,,23.796,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.26
60464.584857135225,2460465.084857135,ATLAS_FP_nightlystack,ATLAS_o,6449.0,6762.0,,,,21.876,,0.0,n=4 exposures; SNR=0.95
60466.59648952737,2460467.0964895273,ATLAS_FP_nightlystack,ATLAS_c,-3559.0,6315.0,,,,,,0.0,n=4 exposures; SNR=-0.56
60468.56673358907,2460469.066733589,ATLAS_FP_nightlystack,ATLAS_o,2198.0,6762.0,,,,23.045,,0.0,n=4 exposures; SNR=0.33
60469.46054399991,2460469.960544,ZTF_ZFPS_nightly,ZTF_i,4168.1,7212.3,,,,22.35,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.58
60469.58850327068,2460470.088503271,ATLAS_FP_nightlystack,ATLAS_o,5648.0,6805.0,,,,22.02,,0.0,n=4 exposures; SNR=0.83
60474.45590279996,2460474.9559028,ZTF_ZFPS_nightly,ZTF_g,-103.7,3590.2,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.03
60474.59008857189,2460475.090088572,ATLAS_FP_nightlystack,ATLAS_o,-8610.0,5833.0,,,,,,0.0,n=4 exposures; SNR=-1.48
60476.04548780436,2460476.5454878043,ATLAS_FP_nightlystack,ATLAS_o,-11662.0,8102.0,,,,,,0.0,n=4 exposures; SNR=-1.44
60479.43847220018,2460479.9384722,ZTF_ZFPS_nightly,ZTF_g,-841.1,4038.5,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.21
60481.38520829985,2460481.8852083,ZTF_ZFPS_nightly,ZTF_i,8482.5,9134.5,,,,21.579,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.93
60482.38146989979,2460482.8814699,ZTF_ZFPS_nightly,ZTF_r,-14861.2,8065.1,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-1.84
60482.43804399995,2460482.938044,ZTF_ZFPS_nightly,ZTF_g,12991.5,9225.9,,,,21.116,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=1.41
60482.537295796894,2460483.037295797,ATLAS_FP_nightlystack,ATLAS_o,2531.0,21178.0,,,,22.892,,0.0,n=2 exposures; SNR=0.12
60483.996375452654,2460484.4963754527,ATLAS_FP_nightlystack,ATLAS_o,1741.0,23492.0,,,,23.298,,0.0,n=4 exposures; SNR=0.07
60484.39643519977,2460484.8964352,ZTF_ZFPS_nightly,ZTF_g,-583.0,11409.7,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.05
60484.99818299184,2460485.498182992,ATLAS_FP_nightlystack,ATLAS_o,-36298.0,26298.0,,,,,,0.0,n=4 exposures; SNR=-1.38
60489.11866950502,2460489.618669505,ATLAS_FP_nightlystack,ATLAS_o,52161.0,16655.0,,,,19.607,,0.0,n=4 exposures; SNR=3.13
60489.3995833001,2460489.8995833,ZTF_ZFPS_nightly,ZTF_r,1707.2,6262.0,,,,23.319,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.27
