sdss_id,gaia_dr3_source_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_dah,p_dahe,p_dbh,p_mwd,p_cv,teff,logg,snr,telescope,run2d,v_astra,release,filetype,source,spectrum_pk,min_mjd,max_mjd,n_visits
79980103,3839626962201614208,142.7273,-1.445254,19.2251,5.627814,0.273237,DAH:,0.2057615,0.4276222,0.001999175,0,0.0159739,0.01494889,-9999,-9999,15.55518,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,2686157,10365383,59308,59308,1
59714707,1199447137276626048,239.6955,16.96083,18.28335,8.002258,0.1457151,DAH,0.3670522,0.5501616,0,0,0.002,0.007851326,-9999,-9999,15.33937,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,3169446,12410751,60088,60088,1
110590871,6465559379883395328,323.6513,-52.2129,19.08797,2.991514,0.2386249,DA,0.6233353,0.2977009,0,0,0.003996429,0.007230188,34395.57,9.49,14.98672,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,2148685,12270148,60547,60548,2
79854973,3816350369761411200,165.9226,5.580173,18.7057,7.310026,0.2076732,DAH:,0.2633516,0.4877734,0.002,0,0.007994642,0.01303451,-9999,-9999,14.74037,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,460945,8177124,60383,60399,2
94010458,5004981258963810176,6.052803,-35.80715,18.83088,3.303137,0.2062936,DAH/DA,0.3365967,0.3374829,0,0,0.003996429,0.01757332,-9999,-9999,14.59899,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,1163753,7742015,60611,60611,1
86656865,4241409569220727424,297.5246,1.960531,18.2264,10.08616,0.1495838,DA/DAH,0.4139117,0.2946508,0,0.001997528,0.007994642,0.01896014,-9999,-9999,14.42718,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,443306,10216939,59821,59840,2
110942752,6509200198978273152,330.2968,-54.34499,18.72318,3.618003,0.1522488,DA/DAH,0.3231863,0.2957384,0,0.001835616,0.005647708,0.01768906,-9999,-9999,13.88325,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,3057756,11098896,60532,60533,2
91813325,4680104332056706304,59.70669,-60.87592,18.697,3.347587,0.1229375,DAH/DA,0.4230549,0.4340297,0,0,0,0.01371935,-9999,-9999,13.85608,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,2144725,11479483,60314,60316,2
117133411,375892788968158848,12.03027,43.66131,19.12114,4.329974,0.2160804,DAH,0.3598073,0.5456946,0,0,0.005998214,0.008305712,-9999,-9999,13.8241,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,176334,8812074,60594,60595,2
110113191,6412133010376770560,329.403,-57.72367,18.64476,6.910507,0.1760851,DAH,0.304091,0.5466479,0,0,0.005996428,0.005898715,-9999,-9999,13.28268,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,42824,10910425,60492,60493,2
55810408,584319855260594560,136.6363,8.120807,18.73622,6.938348,0.2042058,DA/DAH,0.4275597,0.3026568,0,0,0.003996429,0.02019729,-9999,-9999,13.21825,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,369870,11399058,60375,60380,2
60731208,1350726601382165632,269.973,46.8714,18.93757,5.728842,0.1852961,DA,0.59846,0.3096319,0,0,0.002,0.011828,23838.45,9.49,12.69295,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,1346353,11671206,60437,60438,2
86511923,4227485598775156352,313.1397,-0.2695713,18.64441,5.648188,0.2028261,DA/DAH,0.3576514,0.3023351,0,0,0.009889326,0.01075572,-9999,-9999,12.65427,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,2144974,7765194,59797,59797,1
92784135,4800536829945050752,80.407,-42.90848,19.52465,2.973661,0.2514535,DA/DAH,0.4847851,0.3324311,0,0,0,0.01559486,-9999,-9999,12.25837,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,2373535,10548427,60706,60706,1
